,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,HJT,300,500,Q,
20100107,HJT,145,345,Q,
20100112,HJT,200,200,Q,
20100113,HJT,2147,2647,Q,
20100114,HJT,200,200,Q,
20100115,HJT,727,1527,Q,
20100119,HJT,1100,1950,Q,
20100120,HJT,800,1000,Q,
20100121,HJT,200,200,Q,
20100122,HJT,1860,3460,Q,
20100126,HJT,200,700,Q,
20100129,HJT,200,700,Q,
20100203,HJT,200,1200,Q,
20100204,HJT,278,278,Q,
20100205,HJT,100,3300,Q,
20100210,HJT,1000,1000,Q,
20100211,HJT,400,600,Q,
20100217,HJT,1327,2327,Q,
20100218,HJT,100,1863,Q,
20100219,HJT,580,980,Q,
20100222,HJT,100,500,Q,
20100223,HJT,1230,2207,Q,
20100224,HJT,700,1400,Q,
20100225,HJT,100,100,Q,
20100226,HJT,600,900,Q,
20100301,HJT,500,7000,Q,
20100302,HJT,400,3650,Q,
20100303,HJT,700,4000,Q,
20100304,HJT,5300,6200,Q,
20100305,HJT,239,889,Q,
20100308,HJT,150,721,Q,
20100309,HJT,800,1600,Q,
20100310,HJT,1130,1330,Q,
20100315,HJT,400,500,Q,
20100318,HJT,300,700,Q,
20100323,HJT,600,1295,Q,
20100324,HJT,600,700,Q,
20100325,HJT,691,2391,Q,
20100326,HJT,700,2269,Q,
20100329,HJT,1000,1000,Q,
20100330,HJT,1000,1200,Q,
20100408,HJT,800,800,Q,
20100409,HJT,700,1037,Q,
20100412,HJT,400,500,Q,
20100414,HJT,216,316,Q,
20100420,HJT,800,1002,Q,
20100421,HJT,200,600,Q,
20100422,HJT,602,902,Q,
20100423,HJT,1115,1314,Q,
20100427,HJT,146,346,Q,
20100428,HJT,200,200,Q,
20100429,HJT,400,600,Q,
20100503,HJT,500,800,Q,
20100504,HJT,680,2280,Q,
20100510,HJT,1400,1500,Q,
20100517,HJT,100,100,Q,
20100521,HJT,1000,1100,Q,
20100524,HJT,300,962,Q,
20100526,HJT,100,100,Q,
20100528,HJT,250,250,Q,
20100601,HJT,800,800,Q,
20100602,HJT,6600,8100,Q,
20100603,HJT,1100,4200,Q,
20100604,HJT,2000,3000,Q,
20100607,HJT,400,400,Q,
20100608,HJT,300,1000,Q,
20100609,HJT,400,2400,Q,
20100610,HJT,2300,11000,Q,
20100611,HJT,2900,4400,Q,
20100618,HJT,500,2000,Q,
20100621,HJT,300,1300,Q,
20100622,HJT,100,430,Q,
20100623,HJT,500,500,Q,
20100624,HJT,400,1100,Q,
20100628,HJT,100,100,Q,
20100630,HJT,100,600,Q,
20100701,HJT,521,621,Q,
20100702,HJT,1290,2420,Q,
20100706,HJT,1190,1400,Q,
20100707,HJT,928,3128,Q,
20100709,HJT,980,2030,Q,
