,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HQH,5528,40132,Q,
20100105,HQH,2250,29003,Q,
20100106,HQH,6000,38288,Q,
20100107,HQH,12782,38728,Q,
20100108,HQH,7092,38934,Q,
20100111,HQH,13874,90618,Q,
20100112,HQH,5209,56579,Q,
20100113,HQH,12319,74029,Q,
20100114,HQH,4965,52238,Q,
20100115,HQH,16662,62978,Q,
20100119,HQH,24380,81400,Q,
20100120,HQH,14190,50943,Q,
20100121,HQH,11130,71975,Q,
20100122,HQH,8932,47294,Q,
20100125,HQH,6150,57620,Q,
20100126,HQH,13672,64772,Q,
20100127,HQH,3242,45486,Q,
20100128,HQH,11887,40709,Q,
20100129,HQH,7740,42681,Q,
20100201,HQH,12225,54908,Q,
20100202,HQH,4360,47229,Q,
20100203,HQH,4119,33064,Q,
20100204,HQH,13235,53140,Q,
20100205,HQH,7847,40366,Q,
20100208,HQH,2850,37802,Q,
20100209,HQH,8700,30322,Q,
20100210,HQH,1238,32199,Q,
20100211,HQH,7971,42153,Q,
20100212,HQH,4318,15325,Q,
20100216,HQH,10800,62654,Q,
20100217,HQH,3197,21660,Q,
20100218,HQH,10038,44985,Q,
20100219,HQH,2036,32213,Q,
20100222,HQH,300,38917,Q,
20100223,HQH,20600,63318,Q,
20100224,HQH,5851,24293,Q,
20100226,HQH,200,12175,Q,
20100301,HQH,5348,64385,Q,
20100302,HQH,8681,53572,Q,
20100303,HQH,3890,27260,Q,
20100304,HQH,10950,30449,Q,
20100305,HQH,5633,63806,Q,
20100308,HQH,3100,23845,Q,
20100309,HQH,12780,45794,Q,
20100310,HQH,2600,40248,Q,
20100311,HQH,2395,20713,Q,
20100312,HQH,4980,35486,Q,
20100315,HQH,6600,41274,Q,
20100316,HQH,9555,50819,Q,
20100317,HQH,8994,57163,Q,
20100318,HQH,4667,45551,Q,
20100319,HQH,13829,69860,Q,
20100322,HQH,32538,115308,Q,
20100323,HQH,8613,45515,Q,
20100324,HQH,4005,49428,Q,
20100325,HQH,10514,56610,Q,
20100326,HQH,3965,40521,Q,
20100329,HQH,4994,50253,Q,
20100330,HQH,14027,54706,Q,
20100331,HQH,10985,44811,Q,
20100401,HQH,5160,42506,Q,
20100405,HQH,9736,65340,Q,
20100406,HQH,21910,82137,Q,
20100407,HQH,19341,85172,Q,
20100408,HQH,21460,74424,Q,
20100409,HQH,9368,39321,Q,
20100412,HQH,18127,38287,Q,
20100413,HQH,17777,65575,Q,
20100414,HQH,17555,43879,Q,
20100415,HQH,16562,51572,Q,
20100416,HQH,18605,64802,Q,
20100419,HQH,8875,31984,Q,
20100420,HQH,12223,44948,Q,
20100421,HQH,11761,30410,Q,
20100422,HQH,6458,27770,Q,
20100423,HQH,7995,38864,Q,
20100426,HQH,21149,57675,Q,
20100427,HQH,9676,40485,Q,
20100428,HQH,6000,23573,Q,
20100429,HQH,6554,51016,Q,
20100430,HQH,6700,35177,Q,
20100503,HQH,1800,35805,Q,
20100504,HQH,5391,40244,Q,
20100510,HQH,8190,32331,Q,
20100511,HQH,6125,34708,Q,
20100512,HQH,12448,35553,Q,
20100513,HQH,11302,35522,Q,
20100517,HQH,12794,74219,Q,
20100518,HQH,17788,45546,Q,
20100519,HQH,17549,57777,Q,
20100520,HQH,12002,68575,Q,
20100521,HQH,12360,51777,Q,
20100524,HQH,9660,27659,Q,
20100525,HQH,7150,40497,Q,
20100526,HQH,4777,32427,Q,
20100527,HQH,600,26855,Q,
20100528,HQH,1970,10695,Q,
20100601,HQH,7200,49856,Q,
20100602,HQH,6967,50567,Q,
20100603,HQH,8316,28472,Q,
20100604,HQH,5289,15210,Q,
20100607,HQH,11400,37692,Q,
20100608,HQH,23590,53519,Q,
20100609,HQH,12699,51467,Q,
20100610,HQH,7057,22979,Q,
20100611,HQH,4950,22171,Q,
20100614,HQH,21622,65380,Q,
20100615,HQH,15590,46104,Q,
20100616,HQH,7101,29213,Q,
20100617,HQH,3559,11188,Q,
20100618,HQH,7787,21079,Q,
20100621,HQH,8705,30039,Q,
20100622,HQH,14488,31670,Q,
20100623,HQH,8935,64385,Q,
20100624,HQH,16422,61554,Q,
20100625,HQH,4933,41656,Q,
20100628,HQH,6150,27707,Q,
20100629,HQH,10535,49038,Q,
20100630,HQH,10745,31202,Q,
20100701,HQH,6725,45853,Q,
20100702,HQH,16555,56777,Q,
20100706,HQH,4889,45412,Q,
20100707,HQH,19365,60871,Q,
20100708,HQH,3300,22584,Q,
20100709,HQH,4850,15654,Q,
20110804,HQH,21506,86530,,0.0
