,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HRPpD,1100,134875,Q,
20100105,HRPpD,5498,9506,Q,
20100106,HRPpD,4000,9788,Q,
20100107,HRPpD,3200,88360,Q,
20100108,HRPpD,400,2686,Q,
20100111,HRPpD,1063,4563,Q,
20100112,HRPpD,3661,9660,Q,
20100113,HRPpD,1661,4590,Q,
20100114,HRPpD,10013,14410,Q,
20100115,HRPpD,3025,7175,Q,
20100119,HRPpD,3638,18663,Q,
20100120,HRPpD,5350,14810,Q,
20100121,HRPpD,4964,9534,Q,
20100122,HRPpD,4730,17997,Q,
20100125,HRPpD,5046,14346,Q,
20100126,HRPpD,6548,22377,Q,
20100127,HRPpD,12027,27442,Q,
20100128,HRPpD,6700,12800,Q,
20100129,HRPpD,2812,7817,Q,
20100201,HRPpD,2950,3650,Q,
20100202,HRPpD,2100,9286,Q,
20100203,HRPpD,2750,13485,Q,
20100204,HRPpD,1121,5042,Q,
20100205,HRPpD,7028,291140,Q,
20100208,HRPpD,1557,7879,Q,
20100209,HRPpD,3850,10800,Q,
20100211,HRPpD,800,3275,Q,
20100212,HRPpD,1680,2480,Q,
20100216,HRPpD,600,4925,Q,
20100217,HRPpD,1351,3551,Q,
20100218,HRPpD,1100,157700,Q,
20100219,HRPpD,600,22152,Q,
20100222,HRPpD,700,2400,Q,
20100223,HRPpD,103985,243620,Q,
20100224,HRPpD,6620,13320,Q,
20100225,HRPpD,1050,9008,Q,
20100226,HRPpD,6400,20100,Q,
20100301,HRPpD,8760,28058,Q,
20100302,HRPpD,3000,9825,Q,
20100303,HRPpD,4293,8305,Q,
20100304,HRPpD,6450,119067,Q,
20100305,HRPpD,5050,39937,Q,
20100308,HRPpD,4800,11925,Q,
20100309,HRPpD,4800,8300,Q,
20100310,HRPpD,4051,10451,Q,
20100311,HRPpD,50800,58981,Q,
20100312,HRPpD,5400,7000,Q,
20100315,HRPpD,3850,4550,Q,
20100316,HRPpD,3400,8447,Q,
20100317,HRPpD,6070,129836,Q,
20100318,HRPpD,3545,9110,Q,
20100319,HRPpD,13639,22497,Q,
20100322,HRPpD,2300,17583,Q,
20100323,HRPpD,8403,19697,Q,
20100324,HRPpD,3400,13500,Q,
20100325,HRPpD,8015,9005,Q,
20100326,HRPpD,1800,2535,Q,
20100329,HRPpD,10200,12350,Q,
20100330,HRPpD,4747,7547,Q,
20100331,HRPpD,1120,132545,Q,
20100401,HRPpD,16739,26697,Q,
20100405,HRPpD,1000,4610,Q,
20100406,HRPpD,2004,8504,Q,
20100407,HRPpD,11165,22165,Q,
20100408,HRPpD,3940,35619,Q,
20100409,HRPpD,1464,2596,Q,
20100412,HRPpD,500,1200,Q,
20100413,HRPpD,5024,5524,Q,
20100414,HRPpD,950,2014,Q,
20100415,HRPpD,1390,3120,Q,
20100416,HRPpD,9975,103022,Q,
20100419,HRPpD,650,4050,Q,
20100420,HRPpD,4170,6170,Q,
20100421,HRPpD,5155,8255,Q,
20100422,HRPpD,2793,7355,Q,
20100423,HRPpD,1100,4833,Q,
20100426,HRPpD,3090,97590,Q,
20100427,HRPpD,1200,4264,Q,
20100428,HRPpD,10425,12525,Q,
20100429,HRPpD,1400,1500,Q,
20100430,HRPpD,12250,15400,Q,
20100503,HRPpD,10200,13800,Q,
20100504,HRPpD,5425,8225,Q,
20100510,HRPpD,4749,10645,Q,
20100511,HRPpD,2065,61380,Q,
20100513,HRPpD,800,800,Q,
20100517,HRPpD,7137,7569,Q,
20100518,HRPpD,539,1699,Q,
20100519,HRPpD,4145,31835,Q,
20100520,HRPpD,18369,24619,Q,
20100521,HRPpD,1100,10380,Q,
20100524,HRPpD,1675,6546,Q,
20100525,HRPpD,2152,6552,Q,
20100526,HRPpD,290,1389,Q,
20100527,HRPpD,680,3655,Q,
20100528,HRPpD,2009,4625,Q,
20100601,HRPpD,2584,3614,Q,
20100602,HRPpD,6576,10205,Q,
20100603,HRPpD,1953,2453,Q,
20100604,HRPpD,600,4225,Q,
20100607,HRPpD,823,14023,Q,
20100608,HRPpD,4000,11645,Q,
20100610,HRPpD,200,12945,Q,
20100611,HRPpD,200,35624,Q,
20100614,HRPpD,325,6440,Q,
20100615,HRPpD,2200,25060,Q,
20100616,HRPpD,4268,28918,Q,
20100617,HRPpD,500,9200,Q,
20100618,HRPpD,600,8427,Q,
20100622,HRPpD,1282,39368,Q,
20100623,HRPpD,1800,4965,Q,
20100624,HRPpD,4560,21240,Q,
20100625,HRPpD,9589,15408,Q,
20100628,HRPpD,3175,36799,Q,
20100629,HRPpD,6019,25058,Q,
20100630,HRPpD,12425,31405,Q,
