,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HRZ,50639,86822,Q,
20100105,HRZ,21814,52343,Q,
20100106,HRZ,5059,40416,Q,
20100107,HRZ,29260,60960,Q,
20100108,HRZ,21650,44881,Q,
20100111,HRZ,19853,52722,Q,
20100112,HRZ,12342,30993,Q,
20100113,HRZ,17029,37486,Q,
20100114,HRZ,87427,215482,Q,
20100115,HRZ,34200,112017,Q,
20100119,HRZ,59943,133078,Q,
20100120,HRZ,25378,56961,Q,
20100121,HRZ,36316,69564,Q,
20100122,HRZ,17641,54054,Q,
20100125,HRZ,17650,57762,Q,
20100126,HRZ,14833,47524,Q,
20100127,HRZ,15695,44852,Q,
20100128,HRZ,37512,65820,Q,
20100129,HRZ,125194,444542,Q,
20100201,HRZ,70481,377398,Q,
20100202,HRZ,52224,247458,Q,
20100203,HRZ,80012,375637,Q,
20100204,HRZ,72358,223858,Q,
20100205,HRZ,94390,336285,Q,
20100208,HRZ,79324,475424,Q,
20100209,HRZ,101948,263218,Q,
20100210,HRZ,46109,98645,Q,
20100211,HRZ,58414,106988,Q,
20100212,HRZ,45375,77075,Q,
20100216,HRZ,26210,75640,Q,
20100217,HRZ,29437,98800,Q,
20100218,HRZ,11930,131824,Q,
20100219,HRZ,41204,192854,Q,
20100222,HRZ,20072,161590,Q,
20100223,HRZ,22584,68224,Q,
20100224,HRZ,27278,77271,Q,
20100225,HRZ,6666,50055,Q,
20100226,HRZ,46258,915988,Q,
20100301,HRZ,115710,307690,Q,
20100302,HRZ,36454,99496,Q,
20100303,HRZ,84230,212734,Q,
20100304,HRZ,120796,394592,Q,
20100305,HRZ,37304,86016,Q,
20100308,HRZ,24516,97691,Q,
20100309,HRZ,41945,116561,Q,
20100310,HRZ,114736,291333,Q,
20100311,HRZ,30137,100735,Q,
20100312,HRZ,35143,72960,Q,
20100315,HRZ,35511,82025,Q,
20100316,HRZ,142602,240284,Q,
20100317,HRZ,24682,57355,Q,
20100318,HRZ,20580,63937,Q,
20100319,HRZ,23217,54675,Q,
20100322,HRZ,97541,169689,Q,
20100323,HRZ,57907,115835,Q,
20100324,HRZ,34052,128200,Q,
20100325,HRZ,47737,91877,Q,
20100326,HRZ,36816,86630,Q,
20100329,HRZ,21216,86015,Q,
20100330,HRZ,14560,33613,Q,
20100331,HRZ,19701,53188,Q,
20100401,HRZ,27700,209868,Q,
20100405,HRZ,37640,68756,Q,
20100406,HRZ,7950,77169,Q,
20100407,HRZ,12676,44870,Q,
20100408,HRZ,7498,58523,Q,
20100409,HRZ,17610,66469,Q,
20100412,HRZ,15787,174686,Q,
20100413,HRZ,7310,47694,Q,
20100414,HRZ,17389,45611,Q,
20100415,HRZ,40288,94142,Q,
20100416,HRZ,49484,79522,Q,
20100419,HRZ,42532,89567,Q,
20100420,HRZ,32730,88085,Q,
20100421,HRZ,33546,57091,Q,
20100422,HRZ,22805,71206,Q,
20100423,HRZ,194625,469261,Q,
20100426,HRZ,66835,195634,Q,
20100427,HRZ,53690,186912,Q,
20100428,HRZ,79735,164638,Q,
20100429,HRZ,27274,54056,Q,
20100430,HRZ,25532,58153,Q,
20100503,HRZ,23520,46547,Q,
20100504,HRZ,37876,61221,Q,
20100510,HRZ,33767,61706,Q,
20100511,HRZ,20752,40668,Q,
20100512,HRZ,22434,45702,Q,
20100513,HRZ,9014,22023,Q,
20100517,HRZ,13888,42849,Q,
20100518,HRZ,61152,169027,Q,
20100519,HRZ,65223,209194,Q,
20100520,HRZ,34686,93058,Q,
20100521,HRZ,17062,41460,Q,
20100524,HRZ,15515,46529,Q,
20100525,HRZ,26909,66949,Q,
20100526,HRZ,25392,63780,Q,
20100527,HRZ,15114,23714,Q,
20100528,HRZ,15910,39015,Q,
20100601,HRZ,5798,20614,Q,
20100602,HRZ,21393,42171,Q,
20100603,HRZ,20880,30721,Q,
20100604,HRZ,54569,74414,Q,
20100607,HRZ,12179,25301,Q,
20100608,HRZ,27852,49846,Q,
20100609,HRZ,13100,34543,Q,
20100610,HRZ,11591,46717,Q,
20100611,HRZ,22624,40030,Q,
20100614,HRZ,12795,23530,Q,
20100615,HRZ,18347,51527,Q,
20100616,HRZ,11930,26140,Q,
20100617,HRZ,57453,133521,Q,
20100618,HRZ,36415,99429,Q,
20100621,HRZ,173596,350829,Q,
20100622,HRZ,42150,95971,Q,
20100623,HRZ,5400,27749,Q,
20100624,HRZ,7191,20028,Q,
20100625,HRZ,43991,99307,Q,
20100628,HRZ,21672,51124,Q,
20100629,HRZ,33053,79956,Q,
20100630,HRZ,12055,33594,Q,
20100701,HRZ,11508,33136,Q,
20100702,HRZ,6900,24579,Q,
20100706,HRZ,15406,31891,Q,
20100707,HRZ,8754,64206,Q,
20100708,HRZ,4104,22493,Q,
20100709,HRZ,3000,17708,Q,
20110804,HRZ,99636,345065,,22800.0
