,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HS,26029,76000,Q,
20100105,HS,40000,234883,Q,
20100106,HS,38040,292976,Q,
20100107,HS,41964,402329,Q,
20100108,HS,11956,73308,Q,
20100111,HS,27494,107150,Q,
20100112,HS,76476,172897,Q,
20100113,HS,43694,217658,Q,
20100114,HS,23615,80469,Q,
20100115,HS,38000,124300,Q,
20100119,HS,82525,469422,Q,
20100120,HS,60611,185955,Q,
20100121,HS,33450,128335,Q,
20100122,HS,22424,71508,Q,
20100125,HS,17342,56843,Q,
20100126,HS,12414,94093,Q,
20100127,HS,8467,64694,Q,
20100128,HS,18295,114578,Q,
20100129,HS,19122,74819,Q,
20100201,HS,38982,372667,Q,
20100202,HS,15164,43918,Q,
20100203,HS,37257,75912,Q,
20100204,HS,59605,98013,Q,
20100205,HS,39504,119758,Q,
20100208,HS,136111,386821,Q,
20100209,HS,68230,188519,Q,
20100210,HS,42394,87724,Q,
20100211,HS,22469,76895,Q,
20100212,HS,48432,104910,Q,
20100216,HS,39193,87234,Q,
20100217,HS,82671,168301,Q,
20100218,HS,49410,100370,Q,
20100219,HS,73225,145207,Q,
20100222,HS,152176,346348,Q,
20100223,HS,33550,78627,Q,
20100224,HS,37052,89154,Q,
20100225,HS,12151,44584,Q,
20100226,HS,20983,43129,Q,
20100301,HS,71456,135168,Q,
20100302,HS,52278,130548,Q,
20100303,HS,18918,142165,Q,
20100304,HS,21000,78688,Q,
20100305,HS,14200,112623,Q,
20100308,HS,21907,154929,Q,
20100309,HS,25113,486499,Q,
20100310,HS,10565,268666,Q,
20100311,HS,57604,251521,Q,
20100312,HS,40484,203433,Q,
20100315,HS,21325,73100,Q,
20100316,HS,36165,120693,Q,
20100317,HS,35157,111024,Q,
20100318,HS,18477,106019,Q,
20100319,HS,136827,345661,Q,
20100322,HS,23794,180158,Q,
20100323,HS,93996,198990,Q,
20100324,HS,7029,80728,Q,
20100325,HS,17132,189584,Q,
20100326,HS,10227,143805,Q,
20100329,HS,44395,159152,Q,
20100330,HS,23932,162525,Q,
20100331,HS,40254,104352,Q,
20100401,HS,35138,137119,Q,
20100405,HS,14696,94779,Q,
20100406,HS,73838,476662,Q,
20100407,HS,45030,209005,Q,
20100408,HS,34975,261730,Q,
20100409,HS,43401,217753,Q,
20100412,HS,37707,109886,Q,
20100413,HS,18088,196635,Q,
20100414,HS,27300,80647,Q,
20100415,HS,15211,61625,Q,
20100416,HS,30279,63583,Q,
20100419,HS,22511,60673,Q,
20100420,HS,18138,64593,Q,
20100421,HS,44688,85865,Q,
20100422,HS,28561,94507,Q,
20100423,HS,11409,98082,Q,
20100426,HS,46824,179126,Q,
20100427,HS,34481,110310,Q,
20100428,HS,23255,195505,Q,
20100429,HS,96588,312370,Q,
20100430,HS,69359,209347,Q,
20100503,HS,80664,341423,Q,
20100504,HS,73927,192181,Q,
20100510,HS,43889,148671,Q,
20100511,HS,61319,240105,Q,
20100512,HS,41559,116399,Q,
20100513,HS,43612,138261,Q,
20100517,HS,52837,166271,Q,
20100518,HS,45441,88590,Q,
20100519,HS,20476,85480,Q,
20100520,HS,49389,114067,Q,
20100521,HS,35149,115735,Q,
20100524,HS,34571,93595,Q,
20100525,HS,125719,328628,Q,
20100526,HS,39262,82910,Q,
20100527,HS,37222,83977,Q,
20100528,HS,30442,76512,Q,
20100601,HS,15160,49620,Q,
20100602,HS,22024,91011,Q,
20100603,HS,11498,86752,Q,
20100604,HS,39795,107538,Q,
20100607,HS,44872,84228,Q,
20100608,HS,37930,91438,Q,
20100609,HS,69467,157434,Q,
20100610,HS,14495,49008,Q,
20100611,HS,10777,37841,Q,
20100614,HS,26312,109781,Q,
20100615,HS,14762,43144,Q,
20100616,HS,23893,50053,Q,
20100617,HS,13300,72359,Q,
20100618,HS,42835,70566,Q,
20100621,HS,22094,99878,Q,
20100622,HS,64308,126585,Q,
20100623,HS,43556,101209,Q,
20100624,HS,21863,63089,Q,
20100625,HS,34438,98365,Q,
20100628,HS,32226,77955,Q,
20100629,HS,35091,76350,Q,
20100630,HS,29516,80469,Q,
20100701,HS,97712,187241,Q,
20100702,HS,19482,58398,Q,
20100706,HS,28421,107436,Q,
20100707,HS,41568,101839,Q,
20100708,HS,72385,113777,Q,
20100709,HS,11987,26048,Q,
20110804,HS,78786,229642,,1700.0
