,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HSTX,66439,124627,Q,
20100105,HSTX,13900,95469,Q,
20100106,HSTX,18510,117493,Q,
20100107,HSTX,76307,190453,Q,
20100108,HSTX,58389,137674,Q,
20100111,HSTX,65695,222870,Q,
20100112,HSTX,108629,371879,Q,
20100113,HSTX,49661,276756,Q,
20100114,HSTX,20524,88455,Q,
20100115,HSTX,60782,86779,Q,
20100119,HSTX,32989,79103,Q,
20100120,HSTX,71287,191247,Q,
20100121,HSTX,41981,104646,Q,
20100122,HSTX,30114,88298,Q,
20100125,HSTX,21641,65928,Q,
20100126,HSTX,21745,59586,Q,
20100127,HSTX,27777,96116,Q,
20100128,HSTX,14711,63656,Q,
