,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HSY,109924,212374,Q,
20100105,HSY,495975,1108890,Q,
20100106,HSY,72091,245735,Q,
20100107,HSY,80906,229397,Q,
20100108,HSY,69503,193022,Q,
20100111,HSY,68926,280559,Q,
20100112,HSY,292762,561037,Q,
20100113,HSY,349747,1152489,Q,
20100114,HSY,438033,623510,Q,
20100115,HSY,142971,381408,Q,
20100119,HSY,258163,755131,Q,
20100120,HSY,83337,415212,Q,
20100121,HSY,92218,532001,Q,
20100122,HSY,131273,321450,Q,
20100125,HSY,216890,453791,Q,
20100126,HSY,263042,640951,Q,
20100127,HSY,385445,729022,Q,
20100128,HSY,190748,429109,Q,
20100129,HSY,129287,489964,Q,
20100201,HSY,312772,635235,Q,
20100202,HSY,426121,745468,Q,
20100203,HSY,188962,328890,Q,
20100204,HSY,323692,619801,Q,
20100205,HSY,250846,530349,Q,
20100208,HSY,206317,339325,Q,
20100209,HSY,147465,357632,Q,
20100210,HSY,60587,187930,Q,
20100211,HSY,56105,208776,Q,
20100212,HSY,134126,264496,Q,
20100216,HSY,147730,350500,Q,
20100217,HSY,173207,350601,Q,
20100218,HSY,155078,279791,Q,
20100219,HSY,237034,527700,Q,
20100222,HSY,160080,338455,Q,
20100223,HSY,61926,177239,Q,
20100224,HSY,148040,336487,Q,
20100225,HSY,193578,370089,Q,
20100226,HSY,73631,211403,Q,
20100301,HSY,79327,282738,Q,
20100302,HSY,57997,204304,Q,
20100303,HSY,168182,455418,Q,
20100304,HSY,119147,312811,Q,
20100305,HSY,124550,312753,Q,
20100308,HSY,83395,313281,Q,
20100309,HSY,194250,449828,Q,
20100310,HSY,88386,238971,Q,
20100311,HSY,133083,246500,Q,
20100312,HSY,375382,638494,Q,
20100315,HSY,263673,642087,Q,
20100316,HSY,347360,769542,Q,
20100317,HSY,138409,378807,Q,
20100318,HSY,173161,400617,Q,
20100319,HSY,106681,288700,Q,
20100322,HSY,197822,382018,Q,
20100323,HSY,143043,308311,Q,
20100324,HSY,45818,215300,Q,
20100325,HSY,123569,357042,Q,
20100326,HSY,99408,216794,Q,
20100329,HSY,144702,257524,Q,
20100330,HSY,97791,192921,Q,
20100331,HSY,43032,127338,Q,
20100401,HSY,78829,177676,Q,
20100405,HSY,60682,178754,Q,
20100406,HSY,32302,132608,Q,
20100407,HSY,96751,203464,Q,
20100408,HSY,185315,291488,Q,
20100409,HSY,187454,357979,Q,
20100412,HSY,173640,314070,Q,
20100413,HSY,47339,194421,Q,
20100414,HSY,63768,166838,Q,
20100415,HSY,102814,208667,Q,
20100416,HSY,78960,264693,Q,
20100419,HSY,157575,304358,Q,
20100420,HSY,213339,468909,Q,
20100421,HSY,103400,291000,Q,
20100422,HSY,1361249,2463483,Q,
20100423,HSY,211294,500809,Q,
20100426,HSY,172193,697548,Q,
20100427,HSY,152819,509919,Q,
20100428,HSY,61547,276409,Q,
20100429,HSY,75312,282699,Q,
20100430,HSY,62693,197894,Q,
20100503,HSY,69301,214535,Q,
20100504,HSY,78680,225829,Q,
20100510,HSY,126058,460671,Q,
20100511,HSY,137622,324780,Q,
20100512,HSY,102828,366107,Q,
20100513,HSY,63470,257750,Q,
20100517,HSY,178234,398717,Q,
20100518,HSY,173194,413613,Q,
20100519,HSY,90326,301915,Q,
20100520,HSY,185961,457177,Q,
20100521,HSY,406102,612538,Q,
20100524,HSY,207294,517178,Q,
20100525,HSY,143389,267924,Q,
20100526,HSY,104395,220900,Q,
20100527,HSY,198299,403554,Q,
20100528,HSY,118667,321959,Q,
20100601,HSY,269640,600685,Q,
20100602,HSY,88526,255501,Q,
20100603,HSY,232171,509839,Q,
20100604,HSY,211960,420625,Q,
20100607,HSY,245483,454982,Q,
20100608,HSY,428714,786889,Q,
20100609,HSY,216497,509783,Q,
20100610,HSY,172734,427189,Q,
20100611,HSY,180460,425565,Q,
20100614,HSY,451132,695814,Q,
20100615,HSY,789029,1469469,Q,
20100616,HSY,435347,805948,Q,
20100617,HSY,228500,562808,Q,
20100618,HSY,147719,464347,Q,
20100621,HSY,144297,517733,Q,
20100622,HSY,56979,316011,Q,
20100623,HSY,45530,190523,Q,
20100624,HSY,161119,312009,Q,
20100625,HSY,97497,642817,Q,
20100628,HSY,70891,179224,Q,
20100629,HSY,85111,235754,Q,
20100630,HSY,118342,370362,Q,
20100701,HSY,73389,301541,Q,
20100702,HSY,170700,285927,Q,
20100706,HSY,150687,302472,Q,
20100707,HSY,135757,361765,Q,
20100708,HSY,60899,246877,Q,
20100709,HSY,88156,214075,Q,
20110804,HSY,187283,559387,,0.0
