,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HT,56006,104266,Q,
20100105,HT,94562,157962,Q,
20100106,HT,110591,291431,Q,
20100107,HT,64840,211239,Q,
20100108,HT,48698,155315,Q,
20100111,HT,28508,198708,Q,
20100112,HT,105296,339180,Q,
20100113,HT,140188,306377,Q,
20100114,HT,172182,371863,Q,
20100115,HT,663635,3065534,Q,
20100119,HT,304744,1300206,Q,
20100120,HT,304444,883670,Q,
20100121,HT,251289,873676,Q,
20100122,HT,170498,597920,Q,
20100125,HT,102098,596330,Q,
20100126,HT,75984,545656,Q,
20100127,HT,45286,600230,Q,
20100128,HT,252280,1011804,Q,
20100129,HT,194909,1143843,Q,
20100201,HT,183543,561815,Q,
20100202,HT,114475,407913,Q,
20100203,HT,139253,524650,Q,
20100204,HT,126555,553392,Q,
20100205,HT,67977,334585,Q,
20100208,HT,66269,368711,Q,
20100209,HT,115232,354823,Q,
20100210,HT,32924,222645,Q,
20100211,HT,68088,230216,Q,
20100212,HT,110920,246675,Q,
20100216,HT,76338,309869,Q,
20100217,HT,50460,196156,Q,
20100218,HT,98093,297052,Q,
20100219,HT,159337,723601,Q,
20100222,HT,130267,393242,Q,
20100223,HT,94984,392352,Q,
20100224,HT,205568,560415,Q,
20100225,HT,122060,348312,Q,
20100226,HT,206736,515502,Q,
20100301,HT,167458,409751,Q,
20100302,HT,62067,158005,Q,
20100303,HT,72730,176049,Q,
20100304,HT,87068,178628,Q,
20100305,HT,155745,438649,Q,
20100308,HT,151544,340518,Q,
20100309,HT,36054,447472,Q,
20100310,HT,101070,268444,Q,
20100311,HT,94838,983482,Q,
20100312,HT,195852,811413,Q,
20100315,HT,80452,181395,Q,
20100316,HT,122914,1696085,Q,
20100317,HT,531845,1651232,Q,
20100318,HT,75853,242959,Q,
20100319,HT,442483,2619591,Q,
20100322,HT,164011,744172,Q,
20100323,HT,207230,1064790,Q,
20100324,HT,507756,2080119,Q,
20100325,HT,321355,1400248,Q,
20100326,HT,214452,1372663,Q,
20100329,HT,297681,896781,Q,
20100330,HT,225279,632055,Q,
20100331,HT,257496,753820,Q,
20100401,HT,201719,504952,Q,
20100405,HT,139098,544254,Q,
20100406,HT,177022,589141,Q,
20100407,HT,449284,1557980,Q,
20100408,HT,238033,1330901,Q,
20100409,HT,181338,557265,Q,
20100412,HT,73035,425596,Q,
20100413,HT,211962,661417,Q,
20100414,HT,108620,350847,Q,
20100415,HT,99373,429330,Q,
20100416,HT,100552,390222,Q,
20100419,HT,79685,573258,Q,
20100420,HT,56814,340116,Q,
20100421,HT,113565,404615,Q,
20100422,HT,312628,1669299,Q,
20100423,HT,139082,450196,Q,
20100426,HT,136284,341151,Q,
20100427,HT,125052,445466,Q,
20100428,HT,68014,221025,Q,
20100429,HT,38696,232308,Q,
20100430,HT,61577,212267,Q,
20100503,HT,52155,281177,Q,
20100504,HT,190420,485474,Q,
20100510,HT,174474,670041,Q,
20100511,HT,94586,403231,Q,
20100512,HT,75426,209780,Q,
20100513,HT,102431,333420,Q,
20100517,HT,89829,215660,Q,
20100518,HT,74020,331771,Q,
20100519,HT,174562,528016,Q,
20100520,HT,176672,479036,Q,
20100521,HT,128767,343763,Q,
20100524,HT,86310,258736,Q,
20100525,HT,288229,989771,Q,
20100526,HT,90126,445618,Q,
20100527,HT,172288,720794,Q,
20100528,HT,390619,1167267,Q,
20100601,HT,115352,318074,Q,
20100602,HT,94041,297533,Q,
20100603,HT,156169,281140,Q,
20100604,HT,134226,299568,Q,
20100607,HT,166451,486808,Q,
20100608,HT,120266,261047,Q,
20100609,HT,168331,371115,Q,
20100610,HT,178921,451777,Q,
20100611,HT,87148,212699,Q,
20100614,HT,263957,445413,Q,
20100615,HT,107154,370825,Q,
20100616,HT,119481,256820,Q,
20100617,HT,61624,193035,Q,
20100618,HT,79410,186227,Q,
20100621,HT,137381,525289,Q,
20100622,HT,94892,291774,Q,
20100623,HT,131239,290788,Q,
20100624,HT,135662,291793,Q,
20100625,HT,143551,329502,Q,
20100628,HT,45944,211980,Q,
20100629,HT,136567,359755,Q,
20100630,HT,75114,291367,Q,
20100701,HT,137288,377829,Q,
20100702,HT,63819,131894,Q,
20100706,HT,79266,309901,Q,
20100707,HT,145873,345975,Q,
20100708,HT,64393,289816,Q,
20100709,HT,72553,175968,Q,
20110804,HT,281447,771073,,5615.0
