,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HTLF,2400,3084,Q,
20100105,HTLF,368,1079,Q,
20100106,HTLF,200,2634,Q,
20100107,HTLF,600,4144,Q,
20100108,HTLF,2000,5390,Q,
20100111,HTLF,100,400,Q,
20100112,HTLF,300,3600,Q,
20100113,HTLF,800,3612,Q,
20100114,HTLF,1600,3050,Q,
20100115,HTLF,1410,6710,Q,
20100119,HTLF,400,1816,Q,
20100120,HTLF,400,1950,Q,
20100121,HTLF,800,8000,Q,
20100122,HTLF,2300,5650,Q,
20100125,HTLF,700,1800,Q,
20100126,HTLF,2114,6114,Q,
20100127,HTLF,1250,5229,Q,
20100128,HTLF,3000,18649,Q,
20100129,HTLF,3476,26584,Q,
20100201,HTLF,500,15011,Q,
20100202,HTLF,200,4888,Q,
20100203,HTLF,4284,11042,Q,
20100204,HTLF,5040,8697,Q,
20100205,HTLF,1931,7929,Q,
20100208,HTLF,6058,16258,Q,
20100209,HTLF,400,3100,Q,
20100210,HTLF,100,3212,Q,
20100211,HTLF,300,1700,Q,
20100212,HTLF,1000,3063,Q,
20100217,HTLF,5193,10803,Q,
20100218,HTLF,5200,8151,Q,
20100219,HTLF,1200,1400,Q,
20100222,HTLF,7625,11625,Q,
20100223,HTLF,300,1700,Q,
20100224,HTLF,640,12040,Q,
20100225,HTLF,200,4974,Q,
20100226,HTLF,1622,3022,Q,
20100301,HTLF,686,3486,Q,
20100302,HTLF,200,2111,Q,
20100303,HTLF,1200,2554,Q,
20100304,HTLF,1100,3200,Q,
20100305,HTLF,1887,3742,Q,
20100308,HTLF,1900,10647,Q,
20100309,HTLF,2420,3220,Q,
20100310,HTLF,900,3719,Q,
20100311,HTLF,3318,4224,Q,
20100315,HTLF,950,4043,Q,
20100316,HTLF,300,1074,Q,
20100317,HTLF,1000,1400,Q,
20100318,HTLF,300,1100,Q,
20100319,HTLF,100,600,Q,
20100322,HTLF,600,10466,Q,
20100323,HTLF,400,19900,Q,
20100325,HTLF,700,2774,Q,
20100326,HTLF,600,3400,Q,
20100329,HTLF,200,3200,Q,
20100330,HTLF,100,8710,Q,
20100401,HTLF,3621,4321,Q,
20100405,HTLF,700,2996,Q,
20100406,HTLF,100,3116,Q,
20100407,HTLF,5940,8412,Q,
20100408,HTLF,374,874,Q,
20100409,HTLF,812,4612,Q,
20100412,HTLF,100,1700,Q,
20100413,HTLF,1200,2000,Q,
20100414,HTLF,9800,11820,Q,
20100415,HTLF,300,600,Q,
20100416,HTLF,3100,3680,Q,
20100419,HTLF,1900,3575,Q,
20100420,HTLF,900,2525,Q,
20100421,HTLF,1244,2498,Q,
20100422,HTLF,6222,7322,Q,
20100423,HTLF,1000,16523,Q,
20100426,HTLF,3200,16313,Q,
20100427,HTLF,1200,7798,Q,
20100428,HTLF,8002,15533,Q,
20100429,HTLF,10077,24517,Q,
20100430,HTLF,200,3675,Q,
20100503,HTLF,4409,15320,Q,
20100504,HTLF,300,1811,Q,
20100510,HTLF,1000,2200,Q,
20100511,HTLF,3300,3500,Q,
20100512,HTLF,4295,10317,Q,
20100513,HTLF,2747,6313,Q,
20100517,HTLF,300,1862,Q,
20100518,HTLF,727,1227,Q,
20100519,HTLF,2100,4399,Q,
20100520,HTLF,2815,3664,Q,
20100521,HTLF,1400,7098,Q,
20100524,HTLF,2100,3483,Q,
20100525,HTLF,2252,5616,Q,
20100526,HTLF,1500,3259,Q,
20100527,HTLF,500,1100,Q,
20100528,HTLF,700,1200,Q,
20100601,HTLF,4700,6100,Q,
20100602,HTLF,1800,4479,Q,
20100603,HTLF,622,1132,Q,
20100604,HTLF,1869,1969,Q,
20100607,HTLF,799,1428,Q,
20100608,HTLF,100,1600,Q,
20100609,HTLF,500,1500,Q,
20100610,HTLF,1795,3615,Q,
20100611,HTLF,1000,2600,Q,
20100614,HTLF,1000,2075,Q,
20100615,HTLF,2800,6568,Q,
20100617,HTLF,100,4396,Q,
20100618,HTLF,600,2798,Q,
20100621,HTLF,600,4173,Q,
20100622,HTLF,500,1200,Q,
20100624,HTLF,800,1992,Q,
20100625,HTLF,492,1536,Q,
20100628,HTLF,600,2403,Q,
20100629,HTLF,3400,12700,Q,
20100630,HTLF,1000,3208,Q,
20100701,HTLF,832,1543,Q,
20100706,HTLF,3072,5562,Q,
20100707,HTLF,1925,2806,Q,
20100708,HTLF,100,300,Q,
20100709,HTLF,340,1046,Q,
20110804,HTLF,661,3592,,0.0
