,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,HUGH,200,3663,Q,
20100105,HUGH,1730,16130,Q,
20100106,HUGH,1924,19054,Q,
20100107,HUGH,1875,4385,Q,
20100108,HUGH,640,15953,Q,
20100111,HUGH,34360,56371,Q,
20100112,HUGH,12793,20223,Q,
20100113,HUGH,7995,17455,Q,
20100114,HUGH,4349,12364,Q,
20100115,HUGH,4857,11646,Q,
20100119,HUGH,6325,19198,Q,
20100120,HUGH,3770,16364,Q,
20100121,HUGH,3700,9850,Q,
20100122,HUGH,6571,14367,Q,
20100125,HUGH,3922,216310,Q,
20100126,HUGH,2572,10537,Q,
20100127,HUGH,1950,6248,Q,
20100128,HUGH,1660,7446,Q,
20100129,HUGH,1449,5273,Q,
20100201,HUGH,1137,4620,Q,
20100202,HUGH,1080,4681,Q,
20100203,HUGH,2430,4227,Q,
20100204,HUGH,5823,15142,Q,
20100205,HUGH,5432,12932,Q,
20100208,HUGH,1400,4725,Q,
20100209,HUGH,2600,16620,Q,
20100210,HUGH,500,13448,Q,
20100211,HUGH,1570,7603,Q,
20100212,HUGH,2585,4075,Q,
20100216,HUGH,2065,4075,Q,
20100217,HUGH,1100,3847,Q,
20100218,HUGH,1466,11115,Q,
20100219,HUGH,4290,11540,Q,
20100222,HUGH,8534,19959,Q,
20100223,HUGH,6426,12379,Q,
20100224,HUGH,1240,4695,Q,
20100225,HUGH,11513,16982,Q,
20100226,HUGH,1700,9468,Q,
20100301,HUGH,3400,40637,Q,
20100302,HUGH,4000,6800,Q,
20100303,HUGH,6963,10213,Q,
20100304,HUGH,400,1458,Q,
20100305,HUGH,3181,6730,Q,
20100308,HUGH,100,1669,Q,
20100309,HUGH,1875,8300,Q,
20100310,HUGH,570,6499,Q,
20100311,HUGH,4090,4340,Q,
20100312,HUGH,992,6641,Q,
20100315,HUGH,600,6598,Q,
20100316,HUGH,2455,8471,Q,
20100317,HUGH,300,1075,Q,
20100318,HUGH,815,2915,Q,
20100319,HUGH,4430,7085,Q,
20100322,HUGH,200,2900,Q,
20100323,HUGH,1960,2536,Q,
20100324,HUGH,802,2052,Q,
20100325,HUGH,3281,5313,Q,
20100329,HUGH,100,2651,Q,
20100330,HUGH,2000,6220,Q,
20100331,HUGH,800,5591,Q,
20100401,HUGH,1970,3420,Q,
20100405,HUGH,6980,11260,Q,
20100406,HUGH,505,2370,Q,
20100407,HUGH,2097,5033,Q,
20100408,HUGH,400,2150,Q,
20100409,HUGH,200,3054,Q,
20100412,HUGH,2910,6534,Q,
20100413,HUGH,1285,3160,Q,
20100414,HUGH,200,3514,Q,
20100415,HUGH,100,1700,Q,
20100416,HUGH,300,2686,Q,
20100419,HUGH,8389,13334,Q,
20100420,HUGH,2200,4481,Q,
20100421,HUGH,1100,2385,Q,
20100422,HUGH,1667,10131,Q,
20100423,HUGH,1928,4075,Q,
20100426,HUGH,1620,3917,Q,
20100427,HUGH,1363,4561,Q,
20100428,HUGH,2308,3295,Q,
20100429,HUGH,1000,4350,Q,
20100430,HUGH,800,5883,Q,
20100503,HUGH,410,2210,Q,
20100504,HUGH,871,5061,Q,
20100510,HUGH,1500,9957,Q,
20100511,HUGH,700,1890,Q,
20100512,HUGH,505,1607,Q,
20100513,HUGH,1600,1900,Q,
20100517,HUGH,1200,3000,Q,
20100518,HUGH,3204,21810,Q,
20100519,HUGH,3200,7442,Q,
20100520,HUGH,5600,12645,Q,
20100521,HUGH,4755,8787,Q,
20100524,HUGH,1520,7270,Q,
20100525,HUGH,4185,16111,Q,
20100526,HUGH,5068,13708,Q,
20100527,HUGH,6829,10139,Q,
20100528,HUGH,4300,12036,Q,
20100601,HUGH,1930,4730,Q,
20100602,HUGH,3528,6035,Q,
20100603,HUGH,3179,5079,Q,
20100604,HUGH,5625,10381,Q,
20100607,HUGH,6598,12082,Q,
20100608,HUGH,5700,19511,Q,
20100609,HUGH,400,5604,Q,
20100610,HUGH,300,3000,Q,
20100611,HUGH,200,1761,Q,
20100614,HUGH,2637,5437,Q,
20100615,HUGH,1442,2342,Q,
20100616,HUGH,1950,3383,Q,
20100617,HUGH,1500,8096,Q,
20100618,HUGH,1700,2400,Q,
20100621,HUGH,825,1230,Q,
20100622,HUGH,800,1730,Q,
20100623,HUGH,350,3437,Q,
20100624,HUGH,4300,10209,Q,
20100625,HUGH,1305,12164,Q,
20100628,HUGH,4300,7800,Q,
20100629,HUGH,5643,8416,Q,
20100630,HUGH,242,1442,Q,
20100701,HUGH,5248,6788,Q,
20100702,HUGH,1845,3063,Q,
20100706,HUGH,1312,3458,Q,
20100707,HUGH,965,2566,Q,
20100708,HUGH,7668,8318,Q,
20100709,HUGH,2007,2240,Q,
