,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IDRA,2030,4815,Q,
20100105,IDRA,2634,2934,Q,
20100106,IDRA,7100,13419,Q,
20100107,IDRA,2000,6403,Q,
20100108,IDRA,5365,10562,Q,
20100111,IDRA,8100,29728,Q,
20100112,IDRA,700,3386,Q,
20100113,IDRA,1150,7150,Q,
20100114,IDRA,300,4200,Q,
20100115,IDRA,6480,16280,Q,
20100119,IDRA,24994,57152,Q,
20100120,IDRA,15075,28511,Q,
20100121,IDRA,4800,18551,Q,
20100122,IDRA,5500,9450,Q,
20100125,IDRA,8205,14105,Q,
20100126,IDRA,8978,15078,Q,
20100127,IDRA,3350,8450,Q,
20100128,IDRA,4200,11483,Q,
20100129,IDRA,2300,9643,Q,
20100201,IDRA,4628,19042,Q,
20100202,IDRA,1100,4498,Q,
20100203,IDRA,2985,7827,Q,
20100204,IDRA,3150,7000,Q,
20100209,IDRA,3327,6585,Q,
20100210,IDRA,2230,8680,Q,
20100211,IDRA,2300,4600,Q,
20100212,IDRA,1000,2850,Q,
20100216,IDRA,1500,3792,Q,
20100217,IDRA,1405,3456,Q,
20100218,IDRA,2000,2760,Q,
20100219,IDRA,1644,2294,Q,
20100222,IDRA,700,1550,Q,
20100223,IDRA,2900,22600,Q,
20100224,IDRA,1600,6487,Q,
20100225,IDRA,100,900,Q,
20100301,IDRA,709,2919,Q,
20100302,IDRA,1193,1893,Q,
20100303,IDRA,1000,3485,Q,
20100304,IDRA,1513,4045,Q,
20100305,IDRA,1115,2226,Q,
20100308,IDRA,2017,5317,Q,
20100309,IDRA,1100,4886,Q,
20100310,IDRA,3900,7098,Q,
20100311,IDRA,1755,10617,Q,
20100312,IDRA,2020,6420,Q,
20100315,IDRA,2375,7584,Q,
20100316,IDRA,1667,5180,Q,
20100317,IDRA,285,4313,Q,
20100318,IDRA,2400,4400,Q,
20100319,IDRA,2059,4359,Q,
20100322,IDRA,1961,10550,Q,
20100323,IDRA,2117,5821,Q,
20100324,IDRA,59958,134698,Q,
20100325,IDRA,19893,44653,Q,
20100326,IDRA,16115,27149,Q,
20100329,IDRA,12364,28161,Q,
20100330,IDRA,9800,22464,Q,
20100331,IDRA,14636,41049,Q,
20100401,IDRA,4400,18163,Q,
20100405,IDRA,5501,17410,Q,
20100406,IDRA,11356,14666,Q,
20100407,IDRA,7574,15614,Q,
20100408,IDRA,6153,13027,Q,
20100409,IDRA,3213,7985,Q,
20100412,IDRA,5604,11204,Q,
20100413,IDRA,7300,18636,Q,
20100414,IDRA,11849,15679,Q,
20100415,IDRA,17062,27455,Q,
20100416,IDRA,6500,21288,Q,
20100419,IDRA,8250,11929,Q,
20100420,IDRA,10423,15502,Q,
20100421,IDRA,4599,8720,Q,
20100422,IDRA,4762,11133,Q,
20100423,IDRA,6072,15313,Q,
20100426,IDRA,2100,8449,Q,
20100427,IDRA,7529,13277,Q,
20100428,IDRA,300,3860,Q,
20100429,IDRA,3602,11549,Q,
20100430,IDRA,1400,3992,Q,
20100503,IDRA,5255,10905,Q,
20100504,IDRA,5216,7516,Q,
20100510,IDRA,5951,14453,Q,
20100511,IDRA,4276,16365,Q,
20100512,IDRA,4726,21386,Q,
20100513,IDRA,6237,12560,Q,
20100517,IDRA,5913,9113,Q,
20100518,IDRA,4000,6950,Q,
20100519,IDRA,1000,3949,Q,
20100520,IDRA,6190,18852,Q,
20100521,IDRA,7249,35196,Q,
20100524,IDRA,2585,6015,Q,
20100525,IDRA,20769,37365,Q,
20100526,IDRA,25689,57298,Q,
20100527,IDRA,19309,47825,Q,
20100528,IDRA,29034,45587,Q,
20100601,IDRA,17216,21126,Q,
20100602,IDRA,9218,14450,Q,
20100603,IDRA,7463,13774,Q,
20100604,IDRA,5215,6915,Q,
20100607,IDRA,2856,26640,Q,
20100608,IDRA,4700,42962,Q,
20100609,IDRA,8972,17028,Q,
20100610,IDRA,3570,12557,Q,
20100611,IDRA,20428,28218,Q,
20100614,IDRA,11550,22592,Q,
20100615,IDRA,10506,18252,Q,
20100616,IDRA,9887,20544,Q,
20100617,IDRA,6955,19725,Q,
20100618,IDRA,7762,14357,Q,
20100621,IDRA,9183,17398,Q,
20100622,IDRA,11032,34050,Q,
20100623,IDRA,26218,41668,Q,
20100624,IDRA,40809,53295,Q,
20100625,IDRA,17387,55448,Q,
20100628,IDRA,21686,53196,Q,
20100629,IDRA,20350,45574,Q,
20100630,IDRA,8775,21551,Q,
20100701,IDRA,13000,31354,Q,
20100702,IDRA,1100,18375,Q,
20100706,IDRA,3320,19035,Q,
20100707,IDRA,5600,35115,Q,
20100708,IDRA,4000,17649,Q,
20100709,IDRA,9300,26760,Q,
20110804,IDRA,4297,11773,,0.0
