,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IFSIA,36700,143336,Q,
20100105,IFSIA,104499,274051,Q,
20100106,IFSIA,94850,241843,Q,
20100107,IFSIA,26500,43321,Q,
20100108,IFSIA,5452,11787,Q,
20100111,IFSIA,7000,40903,Q,
20100112,IFSIA,5825,13300,Q,
20100113,IFSIA,7025,25482,Q,
20100114,IFSIA,6553,16399,Q,
20100115,IFSIA,21832,40243,Q,
20100119,IFSIA,7766,53154,Q,
20100120,IFSIA,14380,37399,Q,
20100121,IFSIA,17262,60532,Q,
20100122,IFSIA,13299,54522,Q,
20100125,IFSIA,7300,56648,Q,
20100126,IFSIA,5175,29713,Q,
20100127,IFSIA,9608,31461,Q,
20100128,IFSIA,38820,63411,Q,
20100129,IFSIA,37823,67327,Q,
20100201,IFSIA,25402,97201,Q,
20100202,IFSIA,11243,51281,Q,
20100203,IFSIA,9972,24838,Q,
20100204,IFSIA,22775,38913,Q,
20100205,IFSIA,13417,68773,Q,
20100208,IFSIA,22393,60071,Q,
20100209,IFSIA,3700,75044,Q,
20100210,IFSIA,20970,49635,Q,
20100211,IFSIA,6595,27693,Q,
20100212,IFSIA,10520,35095,Q,
20100216,IFSIA,13910,27782,Q,
20100217,IFSIA,22252,55370,Q,
20100218,IFSIA,10803,35520,Q,
20100219,IFSIA,13815,77606,Q,
20100222,IFSIA,15227,95022,Q,
20100223,IFSIA,15148,33188,Q,
20100224,IFSIA,12842,73091,Q,
20100225,IFSIA,20355,74027,Q,
20100226,IFSIA,34003,89047,Q,
20100301,IFSIA,27665,83308,Q,
20100302,IFSIA,13587,90606,Q,
20100303,IFSIA,18858,96835,Q,
20100304,IFSIA,11425,28006,Q,
20100305,IFSIA,48529,181034,Q,
20100308,IFSIA,16469,116584,Q,
20100309,IFSIA,64532,421540,Q,
20100310,IFSIA,54276,485485,Q,
20100311,IFSIA,95151,452150,Q,
20100312,IFSIA,135418,403174,Q,
20100315,IFSIA,126672,596227,Q,
20100316,IFSIA,49971,331013,Q,
20100317,IFSIA,98594,347138,Q,
20100318,IFSIA,23959,157470,Q,
20100319,IFSIA,36259,66806,Q,
20100322,IFSIA,95908,170270,Q,
20100323,IFSIA,21080,112621,Q,
20100324,IFSIA,79869,185520,Q,
20100325,IFSIA,45107,92289,Q,
20100326,IFSIA,33948,60918,Q,
20100329,IFSIA,38339,63780,Q,
20100330,IFSIA,41834,57504,Q,
20100331,IFSIA,36599,77476,Q,
20100401,IFSIA,20723,46819,Q,
20100405,IFSIA,20876,43397,Q,
20100406,IFSIA,9749,16777,Q,
20100407,IFSIA,27622,55221,Q,
20100408,IFSIA,21672,107558,Q,
20100409,IFSIA,26897,94684,Q,
20100412,IFSIA,18290,94737,Q,
20100413,IFSIA,4279,27284,Q,
20100414,IFSIA,68299,210725,Q,
20100415,IFSIA,19345,111758,Q,
20100416,IFSIA,51903,127912,Q,
20100419,IFSIA,25893,90803,Q,
20100420,IFSIA,27324,304488,Q,
20100421,IFSIA,36653,197204,Q,
20100422,IFSIA,14547,37352,Q,
20100423,IFSIA,42123,76475,Q,
20100426,IFSIA,29308,74529,Q,
20100427,IFSIA,101729,217629,Q,
20100428,IFSIA,20340,135791,Q,
20100429,IFSIA,49625,303645,Q,
20100430,IFSIA,95209,296083,Q,
20100503,IFSIA,14948,103850,Q,
20100504,IFSIA,39504,173004,Q,
20100510,IFSIA,261794,479436,Q,
20100511,IFSIA,18908,71155,Q,
20100512,IFSIA,224868,1157264,Q,
20100513,IFSIA,44483,91198,Q,
20100517,IFSIA,42162,103316,Q,
20100518,IFSIA,17100,40186,Q,
20100519,IFSIA,26222,66600,Q,
20100520,IFSIA,260206,360076,Q,
20100521,IFSIA,99208,182117,Q,
20100524,IFSIA,52795,77496,Q,
20100525,IFSIA,81027,128813,Q,
20100526,IFSIA,46640,130726,Q,
20100527,IFSIA,41351,130968,Q,
20100528,IFSIA,38728,52362,Q,
20100601,IFSIA,51949,115006,Q,
20100602,IFSIA,22743,74921,Q,
20100603,IFSIA,11836,46943,Q,
20100604,IFSIA,58160,124938,Q,
20100607,IFSIA,36826,76961,Q,
20100608,IFSIA,24701,53902,Q,
20100609,IFSIA,149266,242052,Q,
20100610,IFSIA,7504,23832,Q,
20100611,IFSIA,53989,520553,Q,
20100614,IFSIA,54154,85129,Q,
20100615,IFSIA,36912,62913,Q,
20100616,IFSIA,7800,21712,Q,
20100617,IFSIA,45516,70130,Q,
20100618,IFSIA,14121,81693,Q,
20100621,IFSIA,36941,59939,Q,
20100622,IFSIA,5993,25465,Q,
20100623,IFSIA,66900,96030,Q,
20100624,IFSIA,22412,56747,Q,
20100625,IFSIA,26008,131456,Q,
20100628,IFSIA,16524,168254,Q,
20100629,IFSIA,57936,165458,Q,
20100630,IFSIA,28465,157676,Q,
20100701,IFSIA,39088,84618,Q,
20100702,IFSIA,13225,57491,Q,
20100706,IFSIA,68384,221785,Q,
20100707,IFSIA,26371,53487,Q,
20100708,IFSIA,14170,45015,Q,
20100709,IFSIA,8615,22632,Q,
20110804,IFSIA,69142,280290,,0.0
