,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IGOI,18600,46780,Q,
20100105,IGOI,2463,23863,Q,
20100106,IGOI,34400,53911,Q,
20100107,IGOI,23227,317027,Q,
20100108,IGOI,20569,71900,Q,
20100111,IGOI,5700,38500,Q,
20100112,IGOI,2900,19280,Q,
20100113,IGOI,5100,12900,Q,
20100114,IGOI,102403,243013,Q,
20100115,IGOI,24875,55025,Q,
20100119,IGOI,48730,77355,Q,
20100120,IGOI,18771,38008,Q,
20100121,IGOI,35800,68159,Q,
20100122,IGOI,4200,23152,Q,
20100125,IGOI,13605,29411,Q,
20100126,IGOI,51170,190672,Q,
20100127,IGOI,6400,21396,Q,
20100128,IGOI,2000,16127,Q,
20100129,IGOI,4150,11150,Q,
20100201,IGOI,1748,9948,Q,
20100202,IGOI,1400,22245,Q,
20100203,IGOI,200,9630,Q,
20100204,IGOI,6350,23305,Q,
20100205,IGOI,3900,16463,Q,
20100208,IGOI,7800,11567,Q,
20100209,IGOI,1000,11600,Q,
20100210,IGOI,3700,19879,Q,
20100211,IGOI,2880,9940,Q,
20100212,IGOI,8318,24852,Q,
20100216,IGOI,48079,141450,Q,
20100217,IGOI,7000,30900,Q,
20100218,IGOI,11958,26618,Q,
20100219,IGOI,21756,42507,Q,
20100222,IGOI,6021,13021,Q,
20100223,IGOI,21200,45650,Q,
20100224,IGOI,13517,18117,Q,
20100225,IGOI,14295,23892,Q,
20100226,IGOI,7500,16376,Q,
20100301,IGOI,12974,40551,Q,
20100302,IGOI,5300,19450,Q,
20100303,IGOI,22500,38880,Q,
20100304,IGOI,25447,59040,Q,
20100305,IGOI,29587,40621,Q,
20100308,IGOI,68800,132834,Q,
20100309,IGOI,60123,141646,Q,
20100310,IGOI,61341,104686,Q,
20100311,IGOI,479600,1159340,Q,
20100312,IGOI,152033,292750,Q,
20100315,IGOI,164223,459978,Q,
20100316,IGOI,401499,1096884,Q,
20100317,IGOI,189401,493251,Q,
20100318,IGOI,56748,225036,Q,
20100319,IGOI,101403,397686,Q,
20100322,IGOI,57244,224008,Q,
20100323,IGOI,50506,219963,Q,
20100324,IGOI,87456,297040,Q,
20100325,IGOI,97008,263179,Q,
20100326,IGOI,24831,106921,Q,
20100329,IGOI,157574,589158,Q,
20100330,IGOI,252838,498378,Q,
20100331,IGOI,71655,303098,Q,
20100401,IGOI,71711,242618,Q,
20100405,IGOI,108878,252671,Q,
20100406,IGOI,147479,344510,Q,
20100407,IGOI,54130,284543,Q,
20100408,IGOI,74515,140677,Q,
20100409,IGOI,58660,105102,Q,
20100412,IGOI,35043,105007,Q,
20100413,IGOI,48568,147775,Q,
20100414,IGOI,50881,232621,Q,
20100415,IGOI,17799,55910,Q,
20100416,IGOI,16250,88762,Q,
20100419,IGOI,82499,247468,Q,
20100420,IGOI,70580,118734,Q,
20100421,IGOI,15500,68443,Q,
20100422,IGOI,18635,61062,Q,
20100423,IGOI,23128,74379,Q,
20100426,IGOI,63045,191671,Q,
20100427,IGOI,27900,95687,Q,
20100428,IGOI,63580,150230,Q,
20100429,IGOI,43315,74941,Q,
20100430,IGOI,21459,62920,Q,
20100503,IGOI,68353,192528,Q,
20100504,IGOI,25825,119684,Q,
20100510,IGOI,61850,262751,Q,
20100511,IGOI,78120,181577,Q,
20100512,IGOI,50877,145839,Q,
20100513,IGOI,79955,160656,Q,
20100517,IGOI,14640,98257,Q,
20100518,IGOI,62335,191191,Q,
20100519,IGOI,87463,174167,Q,
20100520,IGOI,59084,115218,Q,
20100521,IGOI,23961,67431,Q,
20100524,IGOI,15580,56663,Q,
20100525,IGOI,5600,43956,Q,
20100526,IGOI,10700,42290,Q,
20100527,IGOI,16165,43537,Q,
20100528,IGOI,9986,39649,Q,
20100601,IGOI,17897,75165,Q,
20100602,IGOI,6200,51221,Q,
20100603,IGOI,20000,45026,Q,
20100604,IGOI,9792,42056,Q,
20100607,IGOI,33650,117493,Q,
20100608,IGOI,12898,26398,Q,
20100609,IGOI,21533,46944,Q,
20100610,IGOI,22270,68805,Q,
20100611,IGOI,7500,17550,Q,
20100614,IGOI,16132,59390,Q,
20100615,IGOI,14854,40083,Q,
20100616,IGOI,21579,47312,Q,
20100617,IGOI,26236,88251,Q,
20100618,IGOI,23004,90785,Q,
20100621,IGOI,4400,32050,Q,
20100622,IGOI,16032,42157,Q,
20100623,IGOI,300,15040,Q,
20100624,IGOI,11000,41793,Q,
20100625,IGOI,17475,52834,Q,
20100628,IGOI,2600,3130,Q,
20100629,IGOI,20992,54629,Q,
20100630,IGOI,9693,35098,Q,
20100701,IGOI,4095,20874,Q,
20100702,IGOI,300,11595,Q,
20100706,IGOI,6165,20035,Q,
20100707,IGOI,4562,14696,Q,
20100708,IGOI,7400,57686,Q,
20100709,IGOI,5567,10867,Q,
20110804,IGOI,15410,72541,,0.0
