,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IMN,12486,32184,Q,
20100105,IMN,21005,44776,Q,
20100106,IMN,16285,34388,Q,
20100107,IMN,18951,56364,Q,
20100108,IMN,6513,23936,Q,
20100111,IMN,20533,49526,Q,
20100112,IMN,18441,48692,Q,
20100113,IMN,14928,26673,Q,
20100114,IMN,14268,29868,Q,
20100115,IMN,24400,44397,Q,
20100119,IMN,7700,23324,Q,
20100120,IMN,35335,62544,Q,
20100121,IMN,38904,77793,Q,
20100122,IMN,45419,92875,Q,
20100125,IMN,24441,62180,Q,
20100126,IMN,32649,55081,Q,
20100127,IMN,30146,46241,Q,
20100128,IMN,10520,24605,Q,
20100129,IMN,19800,37681,Q,
20100201,IMN,9200,34883,Q,
20100202,IMN,14804,42702,Q,
20100203,IMN,27252,46241,Q,
20100204,IMN,26709,51588,Q,
20100205,IMN,22279,37002,Q,
20100208,IMN,26423,47308,Q,
20100209,IMN,34178,72486,Q,
20100210,IMN,12200,26135,Q,
20100211,IMN,18008,28808,Q,
20100212,IMN,10200,25403,Q,
20100216,IMN,14381,31269,Q,
20100217,IMN,19117,31678,Q,
20100218,IMN,45010,80810,Q,
20100219,IMN,9073,22388,Q,
20100222,IMN,10208,30435,Q,
20100223,IMN,15064,58886,Q,
20100224,IMN,4551,9901,Q,
20100225,IMN,14568,26290,Q,
20100226,IMN,6065,13685,Q,
20100301,IMN,50867,91000,Q,
20100302,IMN,15500,41879,Q,
20100303,IMN,10911,49205,Q,
20100304,IMN,17535,47035,Q,
20100305,IMN,32877,56144,Q,
20100308,IMN,9985,20221,Q,
20100309,IMN,17779,30775,Q,
20100310,IMN,7798,17222,Q,
20100311,IMN,7686,19845,Q,
20100312,IMN,14950,61055,Q,
20100315,IMN,43494,80616,Q,
20100316,IMN,29680,49084,Q,
20100317,IMN,12650,26404,Q,
20100318,IMN,11200,31799,Q,
20100319,IMN,46047,74097,Q,
20100322,IMN,44256,76384,Q,
20100323,IMN,19731,40508,Q,
20100324,IMN,21237,46692,Q,
20100325,IMN,22509,57012,Q,
20100326,IMN,15707,50894,Q,
20100329,IMN,22711,56831,Q,
20100330,IMN,35587,60010,Q,
20100331,IMN,18673,46811,Q,
20100401,IMN,23766,49782,Q,
20100405,IMN,7950,29502,Q,
20100406,IMN,11508,104666,Q,
20100407,IMN,10550,164135,Q,
20100408,IMN,7002,69945,Q,
20100409,IMN,5987,29835,Q,
20100412,IMN,10687,16266,Q,
20100413,IMN,8556,32942,Q,
20100414,IMN,30186,69967,Q,
20100415,IMN,11265,30864,Q,
20100416,IMN,6200,28620,Q,
20100419,IMN,28080,71978,Q,
20100420,IMN,9300,30900,Q,
20100421,IMN,10185,32970,Q,
20100422,IMN,11299,57825,Q,
20100423,IMN,18642,35813,Q,
20100426,IMN,24836,52858,Q,
20100427,IMN,59486,124175,Q,
20100428,IMN,33300,139750,Q,
20100429,IMN,11700,35062,Q,
20100430,IMN,17475,47767,Q,
20100503,IMN,6699,32759,Q,
20100504,IMN,21859,46928,Q,
20100510,IMN,18200,43021,Q,
20100511,IMN,10650,50257,Q,
20100512,IMN,9597,30660,Q,
20100513,IMN,13700,19358,Q,
20100517,IMN,6442,13426,Q,
20100518,IMN,11337,21299,Q,
20100519,IMN,4500,17319,Q,
20100520,IMN,20527,38040,Q,
20100521,IMN,16225,40977,Q,
20100524,IMN,7704,20759,Q,
20100525,IMN,8139,48939,Q,
20100526,IMN,10704,25694,Q,
20100527,IMN,16042,35796,Q,
20100528,IMN,11377,23689,Q,
20100601,IMN,10759,28721,Q,
20100602,IMN,4865,20990,Q,
20100603,IMN,23401,36670,Q,
20100604,IMN,28609,66871,Q,
20100607,IMN,11835,28001,Q,
20100608,IMN,60965,98651,Q,
20100609,IMN,21533,35882,Q,
20100610,IMN,15679,32435,Q,
20100611,IMN,28165,37827,Q,
20100614,IMN,35636,54196,Q,
20100615,IMN,13207,43515,Q,
20100616,IMN,5180,50010,Q,
20100617,IMN,109609,122815,Q,
20100618,IMN,17500,46343,Q,
20100621,IMN,17700,28509,Q,
20100622,IMN,15718,35234,Q,
20100623,IMN,7150,20400,Q,
20100624,IMN,37816,56637,Q,
20100625,IMN,16592,41192,Q,
20100628,IMN,29757,49055,Q,
20100629,IMN,37150,68356,Q,
20100630,IMN,12242,33451,Q,
20100701,IMN,10691,116985,Q,
20100702,IMN,1990,34831,Q,
20100706,IMN,21855,165216,Q,
20100707,IMN,18353,139322,Q,
20100708,IMN,8968,18925,Q,
20100709,IMN,4100,65677,Q,
20110804,IMN,22607,48744,,0.0
