,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,INSM,75499,246163,Q,
20100105,INSM,30772,214094,Q,
20100106,INSM,52931,238054,Q,
20100107,INSM,59078,268580,Q,
20100108,INSM,129511,335311,Q,
20100111,INSM,205952,629226,Q,
20100112,INSM,208248,829559,Q,
20100113,INSM,185358,462317,Q,
20100114,INSM,551582,1649537,Q,
20100115,INSM,261201,846301,Q,
20100119,INSM,225936,605260,Q,
20100120,INSM,144060,354193,Q,
20100121,INSM,51569,317416,Q,
20100122,INSM,48665,234976,Q,
20100125,INSM,29612,173123,Q,
20100126,INSM,216408,411653,Q,
20100127,INSM,61808,172973,Q,
20100128,INSM,86232,240830,Q,
20100129,INSM,101010,256953,Q,
20100201,INSM,373239,807549,Q,
20100202,INSM,77161,174893,Q,
20100203,INSM,65941,255956,Q,
20100204,INSM,247038,509768,Q,
20100205,INSM,39017,74478,Q,
20100208,INSM,94833,228630,Q,
20100209,INSM,44961,169455,Q,
20100210,INSM,30231,90353,Q,
20100211,INSM,44558,174381,Q,
20100212,INSM,44845,190023,Q,
20100216,INSM,1165990,2807378,Q,
20100217,INSM,885144,2664791,Q,
20100218,INSM,1327598,3696953,Q,
20100219,INSM,543954,1281916,Q,
20100222,INSM,263012,789706,Q,
20100223,INSM,251458,692132,Q,
20100224,INSM,991855,2199310,Q,
20100225,INSM,391363,981636,Q,
20100226,INSM,347587,661844,Q,
20100301,INSM,413278,987517,Q,
20100302,INSM,1521089,3717381,Q,
20100303,INSM,368273,1157298,Q,
20100304,INSM,540247,1243559,Q,
20100305,INSM,578498,1383435,Q,
20100308,INSM,440447,844427,Q,
20100309,INSM,360885,691035,Q,
20100310,INSM,503614,1212886,Q,
20100311,INSM,1037989,2726412,Q,
20100312,INSM,487002,1426179,Q,
20100315,INSM,537227,1703853,Q,
20100316,INSM,432365,904399,Q,
20100317,INSM,388436,913739,Q,
20100318,INSM,173622,506455,Q,
20100319,INSM,354117,929823,Q,
20100322,INSM,510333,1069259,Q,
20100323,INSM,94999,316154,Q,
20100324,INSM,216828,488520,Q,
20100325,INSM,124398,333183,Q,
20100326,INSM,231324,664269,Q,
20100329,INSM,112392,437657,Q,
20100330,INSM,193032,460517,Q,
20100331,INSM,244517,480199,Q,
20100401,INSM,121087,469983,Q,
20100405,INSM,241886,494531,Q,
20100406,INSM,178628,418664,Q,
20100407,INSM,313706,758347,Q,
20100408,INSM,394212,726056,Q,
20100409,INSM,286479,672383,Q,
20100412,INSM,303635,743007,Q,
20100413,INSM,170392,688640,Q,
20100414,INSM,269389,938570,Q,
20100415,INSM,154261,398825,Q,
20100416,INSM,175832,458750,Q,
20100419,INSM,82586,274773,Q,
20100420,INSM,47417,199962,Q,
20100421,INSM,195337,475561,Q,
20100422,INSM,40167,213017,Q,
20100423,INSM,180748,469683,Q,
20100426,INSM,605630,1166499,Q,
20100427,INSM,393674,1081988,Q,
20100428,INSM,167993,464774,Q,
20100429,INSM,117798,306648,Q,
20100430,INSM,142506,363186,Q,
20100503,INSM,177804,369618,Q,
20100504,INSM,110038,299377,Q,
20100510,INSM,90618,373259,Q,
20100511,INSM,52038,202919,Q,
20100512,INSM,66929,269239,Q,
20100513,INSM,19277,74606,Q,
20100517,INSM,133308,255523,Q,
20100518,INSM,87235,213961,Q,
20100519,INSM,95114,235979,Q,
20100520,INSM,195032,462908,Q,
20100521,INSM,115616,278457,Q,
20100524,INSM,75555,198326,Q,
20100525,INSM,47372,270487,Q,
20100526,INSM,76957,193833,Q,
20100527,INSM,66096,161400,Q,
20100528,INSM,108540,232981,Q,
20100601,INSM,81530,208458,Q,
20100602,INSM,45611,128351,Q,
20100603,INSM,69664,179105,Q,
20100604,INSM,121417,244122,Q,
20100607,INSM,80014,348400,Q,
20100608,INSM,96683,226612,Q,
20100609,INSM,132495,443570,Q,
20100610,INSM,28063,236659,Q,
20100611,INSM,57147,167368,Q,
20100614,INSM,56538,242875,Q,
20100615,INSM,106878,342979,Q,
20100616,INSM,138725,215293,Q,
20100617,INSM,55395,132163,Q,
20100618,INSM,127072,324097,Q,
20100621,INSM,41902,108302,Q,
20100622,INSM,29633,103160,Q,
20100623,INSM,114889,256125,Q,
20100624,INSM,136857,292471,Q,
20100625,INSM,739247,1185766,Q,
20100628,INSM,204292,534613,Q,
20100629,INSM,201581,472541,Q,
20100630,INSM,106924,255910,Q,
20100701,INSM,144600,310823,Q,
20100702,INSM,61000,425351,Q,
20100706,INSM,61696,283972,Q,
20100707,INSM,264178,716304,Q,
20100708,INSM,136287,466904,Q,
20100709,INSM,51811,282768,Q,
20110804,INSM,81061,231543,,1100.0
