,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100317,INV,1500,1500,Q,
20100318,INV,495,8354,Q,
20100319,INV,1950,8664,Q,
20100322,INV,400,2354,Q,
20100323,INV,700,3885,Q,
20100324,INV,240,2440,Q,
20100325,INV,900,2440,Q,
20100326,INV,100,700,Q,
20100329,INV,1300,4865,Q,
20100330,INV,4600,5269,Q,
20100331,INV,200,3650,Q,
20100405,INV,6500,26516,Q,
20100406,INV,2328,7944,Q,
20100407,INV,5914,8954,Q,
20100408,INV,7900,10800,Q,
20100409,INV,4155,13732,Q,
20100412,INV,3350,9350,Q,
20100413,INV,3442,10042,Q,
20100414,INV,2100,3100,Q,
20100415,INV,2376,8818,Q,
20100416,INV,2265,5715,Q,
20100419,INV,5453,7953,Q,
20100421,INV,100,1700,Q,
20100422,INV,2660,8277,Q,
20100423,INV,9565,31607,Q,
20100426,INV,536,14937,Q,
20100427,INV,700,1690,Q,
20100428,INV,2300,21406,Q,
20100429,INV,1600,11799,Q,
20100430,INV,3618,19230,Q,
20100503,INV,3181,23469,Q,
20100510,INV,16950,31745,Q,
20100511,INV,22951,60975,Q,
20100512,INV,200,14139,Q,
20100513,INV,9300,13145,Q,
20100517,INV,9788,24246,Q,
20100518,INV,2528,6128,Q,
20100519,INV,4150,13265,Q,
20100520,INV,1200,8145,Q,
20100521,INV,13596,34508,Q,
20100525,INV,2250,12797,Q,
20100526,INV,5197,16796,Q,
20100527,INV,1270,16238,Q,
20100528,INV,9716,17809,Q,
20100601,INV,4500,25000,Q,
20100602,INV,1700,15046,Q,
20100603,INV,3221,4821,Q,
20100604,INV,5000,9300,Q,
20100607,INV,4689,13073,Q,
20100608,INV,3080,15500,Q,
20100609,INV,5528,10753,Q,
20100610,INV,3400,25289,Q,
20100611,INV,7000,14842,Q,
20100614,INV,4146,10554,Q,
20100615,INV,4650,5850,Q,
20100616,INV,1900,10200,Q,
20100617,INV,2650,7540,Q,
20100622,INV,2600,10900,Q,
20100623,INV,6100,17050,Q,
20100624,INV,2900,4200,Q,
20100625,INV,1200,7600,Q,
20100628,INV,1500,6001,Q,
20100629,INV,4700,36751,Q,
20100630,INV,5600,12600,Q,
20100701,INV,7875,27359,Q,
20100706,INV,7673,14138,Q,
20100707,INV,500,4455,Q,
20100708,INV,29083,167525,Q,
20100709,INV,51979,161815,Q,
20110804,INV,2149,6420,,0.0
