,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IPS,100,250,Q,
20100105,IPS,610,1368,Q,
20100106,IPS,105,305,Q,
20100112,IPS,200,200,Q,
20100119,IPS,8200,8200,Q,
20100120,IPS,226,226,Q,
20100121,IPS,1109,2209,Q,
20100125,IPS,2012,2968,Q,
20100126,IPS,525,827,Q,
20100127,IPS,554,942,Q,
20100128,IPS,297,297,Q,
20100129,IPS,475,749,Q,
20100202,IPS,438,738,Q,
20100204,IPS,228,228,Q,
20100209,IPS,753,753,Q,
20100210,IPS,514,828,Q,
20100211,IPS,200,326,Q,
20100212,IPS,300,2016,Q,
20100219,IPS,114,303,Q,
20100223,IPS,200,200,Q,
20100225,IPS,1295,1528,Q,
20100301,IPS,746,897,Q,
20100302,IPS,100,297,Q,
20100303,IPS,665,665,Q,
20100304,IPS,400,400,Q,
20100305,IPS,550,550,Q,
20100309,IPS,593,693,Q,
20100310,IPS,100,100,Q,
20100312,IPS,140,3240,Q,
20100315,IPS,100,301,Q,
20100316,IPS,800,1470,Q,
20100318,IPS,105,205,Q,
20100319,IPS,341,1172,Q,
20100325,IPS,560,960,Q,
20100326,IPS,609,1086,Q,
20100331,IPS,745,745,Q,
20100401,IPS,219,320,Q,
20100406,IPS,1820,1820,Q,
20100409,IPS,320,1532,Q,
20100413,IPS,1400,1500,Q,
20100414,IPS,600,600,Q,
20100415,IPS,127,127,Q,
20100416,IPS,100,200,Q,
20100421,IPS,172,172,Q,
20100423,IPS,100,100,Q,
20100426,IPS,100,100,Q,
20100427,IPS,590,890,Q,
20100429,IPS,3900,4300,Q,
20100503,IPS,100,100,Q,
20100510,IPS,200,200,Q,
20100512,IPS,148,296,Q,
20100518,IPS,400,500,Q,
20100519,IPS,400,600,Q,
20100520,IPS,300,7200,Q,
20100521,IPS,977,1277,Q,
20100525,IPS,1000,2582,Q,
20100527,IPS,800,800,Q,
20100603,IPS,1000,1300,Q,
20100607,IPS,900,1200,Q,
20100608,IPS,600,600,Q,
20100609,IPS,9000,10800,Q,
20100610,IPS,750,750,Q,
20100615,IPS,915,915,Q,
20100629,IPS,938,938,Q,
20100630,IPS,5977,7557,Q,
20100706,IPS,150,150,Q,
20100708,IPS,740,920,Q,
20100709,IPS,315,615,Q,
