,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IRL,1772,7828,Q,
20100105,IRL,3537,7333,Q,
20100106,IRL,100,3682,Q,
20100107,IRL,5525,7370,Q,
20100108,IRL,700,7586,Q,
20100111,IRL,3950,17859,Q,
20100112,IRL,7500,15952,Q,
20100113,IRL,1617,10750,Q,
20100114,IRL,1300,10751,Q,
20100115,IRL,6800,27438,Q,
20100119,IRL,564,17889,Q,
20100120,IRL,3300,17516,Q,
20100121,IRL,650,5499,Q,
20100122,IRL,8041,19084,Q,
20100125,IRL,4082,5630,Q,
20100126,IRL,1638,16944,Q,
20100127,IRL,2500,7655,Q,
20100128,IRL,1300,13046,Q,
20100129,IRL,1200,17133,Q,
20100201,IRL,1000,5864,Q,
20100202,IRL,2700,12930,Q,
20100204,IRL,5700,11200,Q,
20100205,IRL,14980,44985,Q,
20100208,IRL,955,8629,Q,
20100209,IRL,7681,25688,Q,
20100210,IRL,900,9634,Q,
20100211,IRL,2839,15613,Q,
20100212,IRL,6514,13104,Q,
20100216,IRL,7000,16469,Q,
20100217,IRL,500,6443,Q,
20100218,IRL,827,7077,Q,
20100222,IRL,1000,6782,Q,
20100223,IRL,100,3296,Q,
20100225,IRL,1557,10514,Q,
20100301,IRL,700,15132,Q,
20100303,IRL,1284,5329,Q,
20100304,IRL,500,6860,Q,
20100305,IRL,550,6650,Q,
20100308,IRL,294,10776,Q,
20100309,IRL,200,12694,Q,
20100312,IRL,5542,13834,Q,
20100315,IRL,2700,13301,Q,
20100316,IRL,4800,13361,Q,
20100317,IRL,96821,183657,Q,
20100318,IRL,28636,43119,Q,
20100319,IRL,10151,28179,Q,
20100322,IRL,10271,23843,Q,
20100324,IRL,5900,19657,Q,
20100325,IRL,2000,7327,Q,
20100326,IRL,4600,15972,Q,
20100329,IRL,3658,7651,Q,
20100330,IRL,3908,10284,Q,
20100331,IRL,12593,15118,Q,
20100401,IRL,7319,15768,Q,
20100405,IRL,5396,14689,Q,
20100406,IRL,7100,19666,Q,
20100407,IRL,1200,2565,Q,
20100408,IRL,100,16067,Q,
20100409,IRL,1150,5038,Q,
20100412,IRL,400,18682,Q,
20100414,IRL,10107,19272,Q,
20100415,IRL,1600,7762,Q,
20100416,IRL,5660,21657,Q,
20100419,IRL,1931,7242,Q,
20100420,IRL,1600,15672,Q,
20100421,IRL,1000,6198,Q,
20100422,IRL,1600,7942,Q,
20100423,IRL,1449,6396,Q,
20100426,IRL,1200,7469,Q,
20100427,IRL,3841,14596,Q,
20100428,IRL,4888,14272,Q,
20100429,IRL,334,15509,Q,
20100430,IRL,1860,6610,Q,
20100503,IRL,100,2123,Q,
20100504,IRL,7541,26369,Q,
20100510,IRL,6156,13968,Q,
20100512,IRL,688,16019,Q,
20100513,IRL,2393,3886,Q,
20100517,IRL,550,10912,Q,
20100518,IRL,1328,2728,Q,
20100519,IRL,10590,31970,Q,
20100520,IRL,3164,8988,Q,
20100521,IRL,6000,9500,Q,
20100524,IRL,2687,4528,Q,
20100525,IRL,3296,11777,Q,
20100526,IRL,3700,9628,Q,
20100527,IRL,1900,3759,Q,
20100528,IRL,600,1700,Q,
20100601,IRL,13858,27529,Q,
20100602,IRL,700,1796,Q,
20100603,IRL,198,1893,Q,
20100604,IRL,800,4159,Q,
20100607,IRL,407,507,Q,
20100609,IRL,3780,8801,Q,
20100610,IRL,1200,4316,Q,
20100614,IRL,700,9620,Q,
20100615,IRL,100,3869,Q,
20100616,IRL,1900,5286,Q,
20100618,IRL,1200,2954,Q,
20100621,IRL,7200,12955,Q,
20100622,IRL,1200,8950,Q,
20100624,IRL,1100,9887,Q,
20100625,IRL,273,1645,Q,
20100628,IRL,2500,3919,Q,
20100629,IRL,1934,10633,Q,
20100630,IRL,569,2052,Q,
20100701,IRL,2600,8016,Q,
20100702,IRL,1000,2828,Q,
20100706,IRL,3954,5915,Q,
20100707,IRL,2900,5967,Q,
20100708,IRL,3900,5462,Q,
20100709,IRL,3700,5396,Q,
20110804,IRL,1720,6994,,0.0
