,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IRSN,61369,655524,Q,
20100105,IRSN,127488,334341,Q,
20100106,IRSN,61808,275568,Q,
20100107,IRSN,121997,310878,Q,
20100108,IRSN,130692,374953,Q,
20100111,IRSN,160588,298489,Q,
20100112,IRSN,133901,239381,Q,
20100113,IRSN,174925,430319,Q,
20100114,IRSN,33700,103200,Q,
20100115,IRSN,18773,32452,Q,
20100119,IRSN,4500,16800,Q,
20100120,IRSN,38955,66676,Q,
20100121,IRSN,37000,64217,Q,
20100122,IRSN,31127,39627,Q,
20100125,IRSN,9441,54500,Q,
20100126,IRSN,6450,39823,Q,
20100127,IRSN,32100,60712,Q,
20100128,IRSN,2144,18949,Q,
20100129,IRSN,3407,24430,Q,
20100201,IRSN,7988,41886,Q,
20100202,IRSN,48343,74293,Q,
20100203,IRSN,200,19360,Q,
20100204,IRSN,4600,25425,Q,
20100205,IRSN,21218,52153,Q,
20100208,IRSN,725532,1486828,Q,
20100209,IRSN,459814,1035585,Q,
20100210,IRSN,434336,858307,Q,
20100211,IRSN,67933,278527,Q,
20100212,IRSN,129740,358714,Q,
20100216,IRSN,10350,179090,Q,
20100217,IRSN,27427,277378,Q,
20100218,IRSN,47566,149078,Q,
20100219,IRSN,29252,81005,Q,
20100222,IRSN,78030,199013,Q,
20100223,IRSN,23697,75304,Q,
20100224,IRSN,82734,181726,Q,
20100225,IRSN,16596,39985,Q,
20100226,IRSN,99988,168835,Q,
20100301,IRSN,45123,110274,Q,
20100302,IRSN,42790,139410,Q,
20100303,IRSN,18250,41886,Q,
20100304,IRSN,900,23100,Q,
20100305,IRSN,938752,1664459,Q,
20100308,IRSN,237747,706694,Q,
20100309,IRSN,44091,220323,Q,
20100310,IRSN,148060,344261,Q,
20100311,IRSN,376115,907082,Q,
20100312,IRSN,148277,289954,Q,
20100315,IRSN,31810,110355,Q,
20100316,IRSN,33271,146776,Q,
20100317,IRSN,63180,380639,Q,
20100318,IRSN,22568,188617,Q,
20100319,IRSN,11600,174275,Q,
20100322,IRSN,47349,211924,Q,
20100323,IRSN,99614,287918,Q,
20100324,IRSN,10600,190263,Q,
20100325,IRSN,13410,192483,Q,
20100326,IRSN,16723,136479,Q,
20100329,IRSN,43660,99651,Q,
20100330,IRSN,57050,146043,Q,
20100331,IRSN,22320,55605,Q,
20100401,IRSN,2850,46270,Q,
20100405,IRSN,4574,28239,Q,
20100406,IRSN,120711,276500,Q,
20100407,IRSN,112702,202203,Q,
20100408,IRSN,2250,44388,Q,
20100409,IRSN,2700,42712,Q,
20100412,IRSN,16400,43800,Q,
20100413,IRSN,10820,24825,Q,
20100414,IRSN,70166,88901,Q,
20100415,IRSN,50425,116599,Q,
20100416,IRSN,23700,69076,Q,
20100419,IRSN,41873,99378,Q,
20100420,IRSN,281456,794998,Q,
20100421,IRSN,71225,134133,Q,
20100422,IRSN,250876,486093,Q,
20100423,IRSN,81082,147359,Q,
20100426,IRSN,66820,244809,Q,
20100427,IRSN,57140,88480,Q,
20100428,IRSN,430932,958923,Q,
20100429,IRSN,158971,326835,Q,
20100430,IRSN,27310,70689,Q,
20100503,IRSN,81123,144605,Q,
20100504,IRSN,23138,55441,Q,
20100510,IRSN,26799,135862,Q,
20100511,IRSN,25767,114621,Q,
20100512,IRSN,8481,41666,Q,
20100513,IRSN,45934,109266,Q,
20100517,IRSN,4000,61745,Q,
20100518,IRSN,18675,116364,Q,
20100519,IRSN,8000,43505,Q,
20100520,IRSN,23637,48443,Q,
20100521,IRSN,28200,107059,Q,
20100524,IRSN,9861,97197,Q,
20100525,IRSN,300,9850,Q,
20100526,IRSN,760,6345,Q,
20100527,IRSN,500,1200,Q,
20100528,IRSN,200,1420,Q,
20100601,IRSN,2200,13395,Q,
20100602,IRSN,23340,214087,Q,
20100603,IRSN,19475,27825,Q,
20100604,IRSN,1800,7857,Q,
20100607,IRSN,5388,88425,Q,
20100608,IRSN,35300,185638,Q,
20100609,IRSN,5779,6054,Q,
20100610,IRSN,21000,46623,Q,
20100611,IRSN,2105,6105,Q,
20100614,IRSN,14704,31094,Q,
20100615,IRSN,800,4660,Q,
20100616,IRSN,8150,9450,Q,
20100617,IRSN,2000,17604,Q,
20100618,IRSN,81300,108270,Q,
20100621,IRSN,32127,50104,Q,
20100622,IRSN,27699,55398,Q,
20100623,IRSN,8950,32050,Q,
20100624,IRSN,5200,8450,Q,
20100625,IRSN,700,2500,Q,
20100628,IRSN,5200,31592,Q,
20100629,IRSN,11600,112596,Q,
20100630,IRSN,1300,22748,Q,
20100701,IRSN,3300,23951,Q,
20100702,IRSN,14872,66872,Q,
20100706,IRSN,39562,81920,Q,
20100707,IRSN,3022,19357,Q,
20100708,IRSN,400,4550,Q,
20100709,IRSN,41175,156801,Q,
