,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ISPH,33191,86836,Q,
20100105,ISPH,16083,59214,Q,
20100106,ISPH,20987,50326,Q,
20100107,ISPH,181717,543482,Q,
20100108,ISPH,268616,1851894,Q,
20100111,ISPH,241422,1205609,Q,
20100112,ISPH,302797,562610,Q,
20100113,ISPH,128952,287739,Q,
20100114,ISPH,75009,227165,Q,
20100115,ISPH,131570,337819,Q,
20100119,ISPH,101921,231264,Q,
20100120,ISPH,29480,96553,Q,
20100121,ISPH,977700,2969765,Q,
20100122,ISPH,90146,270523,Q,
20100125,ISPH,67822,136644,Q,
20100126,ISPH,85717,162243,Q,
20100127,ISPH,42131,80063,Q,
20100128,ISPH,117565,217837,Q,
20100129,ISPH,30483,43641,Q,
20100201,ISPH,29117,64491,Q,
20100202,ISPH,33177,42282,Q,
20100203,ISPH,36950,84833,Q,
20100204,ISPH,30856,84161,Q,
20100205,ISPH,12812,77649,Q,
20100208,ISPH,69229,123753,Q,
20100209,ISPH,38590,58857,Q,
20100210,ISPH,27838,53928,Q,
20100211,ISPH,18820,36140,Q,
20100212,ISPH,26848,78609,Q,
20100216,ISPH,11191,27138,Q,
20100217,ISPH,19932,33629,Q,
20100218,ISPH,22816,33103,Q,
20100219,ISPH,50222,144492,Q,
20100222,ISPH,37204,118499,Q,
20100223,ISPH,49874,194180,Q,
20100224,ISPH,19731,94490,Q,
20100225,ISPH,15163,71222,Q,
20100226,ISPH,10516,36909,Q,
20100301,ISPH,32847,74082,Q,
20100302,ISPH,22047,103084,Q,
20100303,ISPH,60147,110894,Q,
20100304,ISPH,23366,98005,Q,
20100305,ISPH,22068,152468,Q,
20100308,ISPH,16431,88886,Q,
20100309,ISPH,145439,375060,Q,
20100310,ISPH,41318,357351,Q,
20100311,ISPH,64858,175358,Q,
20100312,ISPH,50771,145330,Q,
20100315,ISPH,134171,413431,Q,
20100316,ISPH,48008,203287,Q,
20100317,ISPH,45291,122481,Q,
20100318,ISPH,37777,113537,Q,
20100319,ISPH,12400,43407,Q,
20100322,ISPH,26607,57406,Q,
20100323,ISPH,23699,57830,Q,
20100324,ISPH,21945,161374,Q,
20100325,ISPH,45069,93265,Q,
20100326,ISPH,40647,81081,Q,
20100329,ISPH,12567,63076,Q,
20100330,ISPH,29916,50506,Q,
20100331,ISPH,166213,455809,Q,
20100401,ISPH,165518,192920,Q,
20100405,ISPH,101818,132224,Q,
20100406,ISPH,39299,138338,Q,
20100407,ISPH,67226,114904,Q,
20100408,ISPH,32853,110089,Q,
20100409,ISPH,68382,126243,Q,
20100412,ISPH,19035,109726,Q,
20100413,ISPH,27461,62676,Q,
20100414,ISPH,56273,165059,Q,
20100415,ISPH,137889,478203,Q,
20100416,ISPH,364572,1076114,Q,
20100419,ISPH,75382,173308,Q,
20100420,ISPH,59915,149178,Q,
20100421,ISPH,20997,100458,Q,
20100422,ISPH,15078,64226,Q,
20100423,ISPH,46952,135637,Q,
20100426,ISPH,14126,52776,Q,
20100427,ISPH,50389,120016,Q,
20100428,ISPH,37981,79473,Q,
20100429,ISPH,144085,312915,Q,
20100430,ISPH,58769,117655,Q,
20100503,ISPH,284033,709821,Q,
20100504,ISPH,29230,118667,Q,
20100510,ISPH,153525,445749,Q,
20100511,ISPH,48464,154670,Q,
20100512,ISPH,27292,76513,Q,
20100513,ISPH,16805,39350,Q,
20100517,ISPH,54227,170719,Q,
20100518,ISPH,23183,71465,Q,
20100519,ISPH,61553,121828,Q,
20100520,ISPH,60657,136660,Q,
20100521,ISPH,31939,82698,Q,
20100524,ISPH,24090,53363,Q,
20100525,ISPH,31075,116533,Q,
20100526,ISPH,62380,94890,Q,
20100527,ISPH,25161,89078,Q,
20100528,ISPH,23163,67857,Q,
20100601,ISPH,21630,85807,Q,
20100602,ISPH,32448,94410,Q,
20100603,ISPH,46727,97916,Q,
20100604,ISPH,36790,93872,Q,
20100607,ISPH,48537,104639,Q,
20100608,ISPH,66719,131853,Q,
20100609,ISPH,74455,286403,Q,
20100610,ISPH,34612,98236,Q,
20100611,ISPH,58122,187698,Q,
20100614,ISPH,65599,172593,Q,
20100615,ISPH,28281,154226,Q,
20100616,ISPH,13482,108389,Q,
20100617,ISPH,15207,72211,Q,
20100618,ISPH,35585,94530,Q,
20100621,ISPH,58868,281530,Q,
20100622,ISPH,43065,609123,Q,
20100623,ISPH,21418,75254,Q,
20100624,ISPH,31307,52067,Q,
20100625,ISPH,30307,91746,Q,
20100628,ISPH,14644,35873,Q,
20100629,ISPH,101690,324795,Q,
20100630,ISPH,33105,395971,Q,
20100701,ISPH,91344,167275,Q,
20100702,ISPH,39626,93575,Q,
20100706,ISPH,33710,99292,Q,
20100707,ISPH,84060,264649,Q,
20100708,ISPH,17750,27416,Q,
20100709,ISPH,11656,102238,Q,
