,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IVW,162737,314657,Q,
20100105,IVW,60681,212359,Q,
20100106,IVW,86815,348933,Q,
20100107,IVW,35759,167655,Q,
20100108,IVW,45079,177106,Q,
20100111,IVW,53157,144969,Q,
20100112,IVW,60124,239762,Q,
20100113,IVW,46681,172693,Q,
20100114,IVW,78749,176476,Q,
20100115,IVW,89761,238397,Q,
20100119,IVW,26147,171077,Q,
20100120,IVW,81204,189775,Q,
20100121,IVW,70347,227306,Q,
20100122,IVW,88347,320455,Q,
20100125,IVW,53085,178673,Q,
20100126,IVW,81716,242615,Q,
20100127,IVW,45154,185405,Q,
20100128,IVW,128102,301252,Q,
20100129,IVW,40108,199662,Q,
20100201,IVW,53229,237504,Q,
20100202,IVW,70913,168900,Q,
20100203,IVW,139321,221564,Q,
20100204,IVW,123128,602534,Q,
20100205,IVW,68977,330823,Q,
20100208,IVW,59135,166679,Q,
20100209,IVW,84456,200556,Q,
20100210,IVW,41776,97457,Q,
20100211,IVW,70697,158792,Q,
20100212,IVW,139551,213781,Q,
20100216,IVW,63517,232222,Q,
20100217,IVW,90526,391661,Q,
20100218,IVW,44949,1399939,Q,
20100219,IVW,57974,309715,Q,
20100222,IVW,35879,741069,Q,
20100223,IVW,39000,175825,Q,
20100224,IVW,34424,165643,Q,
20100225,IVW,45220,210116,Q,
20100226,IVW,38280,175067,Q,
20100301,IVW,113610,276191,Q,
20100302,IVW,72909,506949,Q,
20100303,IVW,63926,169533,Q,
20100304,IVW,73223,144762,Q,
20100305,IVW,110173,488322,Q,
20100308,IVW,49956,115691,Q,
20100309,IVW,61240,146113,Q,
20100310,IVW,237819,386686,Q,
20100311,IVW,61953,220627,Q,
20100312,IVW,44095,164523,Q,
20100315,IVW,52508,154492,Q,
20100316,IVW,135393,408650,Q,
20100317,IVW,174237,654107,Q,
20100318,IVW,98096,331724,Q,
20100319,IVW,27383,131576,Q,
20100322,IVW,26572,314181,Q,
20100323,IVW,36723,187930,Q,
20100324,IVW,71273,236372,Q,
20100325,IVW,88140,217564,Q,
20100326,IVW,145070,243129,Q,
20100329,IVW,71990,204090,Q,
20100330,IVW,86051,242191,Q,
20100331,IVW,34107,157748,Q,
20100401,IVW,60813,232983,Q,
20100405,IVW,55153,221614,Q,
20100406,IVW,94618,304977,Q,
20100407,IVW,48885,172404,Q,
20100408,IVW,94509,339323,Q,
20100409,IVW,38423,142037,Q,
20100412,IVW,44794,141000,Q,
20100413,IVW,37722,214510,Q,
20100414,IVW,28826,178361,Q,
20100415,IVW,157982,292141,Q,
20100416,IVW,63724,200022,Q,
20100419,IVW,74499,170759,Q,
20100420,IVW,84591,176061,Q,
20100421,IVW,60077,123078,Q,
20100422,IVW,158131,260209,Q,
20100423,IVW,109797,191032,Q,
20100426,IVW,88751,380247,Q,
20100427,IVW,96899,198063,Q,
20100428,IVW,103209,280104,Q,
20100429,IVW,70198,178682,Q,
20100430,IVW,56050,163697,Q,
20100503,IVW,23455,122241,Q,
20100504,IVW,76989,459395,Q,
20100510,IVW,74262,266158,Q,
20100511,IVW,83661,1334245,Q,
20100512,IVW,32302,134064,Q,
20100513,IVW,51729,171495,Q,
20100517,IVW,29001,219312,Q,
20100518,IVW,58593,221224,Q,
20100519,IVW,61116,205993,Q,
20100520,IVW,97750,444429,Q,
20100521,IVW,121453,414387,Q,
20100524,IVW,96168,231223,Q,
20100525,IVW,128009,1953484,Q,
20100526,IVW,168074,474859,Q,
20100527,IVW,115503,224783,Q,
20100528,IVW,38789,122540,Q,
20100601,IVW,45864,276234,Q,
20100602,IVW,39477,131376,Q,
20100603,IVW,40604,134846,Q,
20100604,IVW,113640,214824,Q,
20100607,IVW,85224,274684,Q,
20100608,IVW,187837,363496,Q,
20100609,IVW,49835,141744,Q,
20100610,IVW,58819,134723,Q,
20100611,IVW,72710,167278,Q,
20100614,IVW,47868,122931,Q,
20100615,IVW,72389,152746,Q,
20100616,IVW,85056,132159,Q,
20100617,IVW,51347,115120,Q,
20100618,IVW,36827,98748,Q,
20100621,IVW,91343,185305,Q,
20100622,IVW,36192,109929,Q,
20100623,IVW,51442,119451,Q,
20100624,IVW,48820,125982,Q,
20100625,IVW,24011,106742,Q,
20100628,IVW,31957,106151,Q,
20100629,IVW,32718,184745,Q,
20100630,IVW,27175,242343,Q,
20100701,IVW,38852,282954,Q,
20100702,IVW,10158,153590,Q,
20100706,IVW,7336,118954,Q,
20100707,IVW,326139,527771,Q,
20100708,IVW,66172,177860,Q,
20100709,IVW,33626,136127,Q,
20110804,IVW,110578,769758,,650.0
