,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IWF,210525,777899,Q,
20100105,IWF,142590,444533,Q,
20100106,IWF,241528,909142,Q,
20100107,IWF,100222,1269084,Q,
20100108,IWF,148102,1105354,Q,
20100111,IWF,266896,865427,Q,
20100112,IWF,134317,836181,Q,
20100113,IWF,154729,557690,Q,
20100114,IWF,111143,504801,Q,
20100115,IWF,206215,495902,Q,
20100119,IWF,138521,608656,Q,
20100120,IWF,216775,657970,Q,
20100121,IWF,190801,581312,Q,
20100122,IWF,172412,645334,Q,
20100125,IWF,228182,1202667,Q,
20100126,IWF,343576,1168058,Q,
20100127,IWF,168022,1424124,Q,
20100128,IWF,153716,634412,Q,
20100129,IWF,141576,613273,Q,
20100201,IWF,177219,987556,Q,
20100202,IWF,160165,795759,Q,
20100203,IWF,267986,575367,Q,
20100204,IWF,274033,782739,Q,
20100205,IWF,213335,966630,Q,
20100208,IWF,124638,703357,Q,
20100209,IWF,311860,847070,Q,
20100210,IWF,154506,327222,Q,
20100211,IWF,164540,465893,Q,
20100212,IWF,123378,474851,Q,
20100216,IWF,271944,867209,Q,
20100217,IWF,148960,316323,Q,
20100218,IWF,289040,945204,Q,
20100219,IWF,170370,572315,Q,
20100222,IWF,233458,444201,Q,
20100223,IWF,166880,459964,Q,
20100224,IWF,136716,400761,Q,
20100225,IWF,260979,630670,Q,
20100226,IWF,441020,694819,Q,
20100301,IWF,420838,804207,Q,
20100302,IWF,198853,652623,Q,
20100303,IWF,170240,638205,Q,
20100304,IWF,447147,762572,Q,
20100305,IWF,284005,582232,Q,
20100308,IWF,210379,791415,Q,
20100309,IWF,367570,521418,Q,
20100310,IWF,236088,488440,Q,
20100311,IWF,276862,538425,Q,
20100312,IWF,234472,457339,Q,
20100315,IWF,212316,650844,Q,
20100316,IWF,263047,528492,Q,
20100317,IWF,344163,624298,Q,
20100318,IWF,268254,885910,Q,
20100319,IWF,162323,1085114,Q,
20100322,IWF,126144,468787,Q,
20100323,IWF,170800,850169,Q,
20100324,IWF,265369,2202084,Q,
20100325,IWF,574602,1086707,Q,
20100326,IWF,658027,1169092,Q,
20100329,IWF,212622,759839,Q,
20100330,IWF,308146,567724,Q,
20100331,IWF,293645,946860,Q,
20100401,IWF,216443,1213051,Q,
20100405,IWF,179709,598622,Q,
20100406,IWF,165082,604591,Q,
20100407,IWF,1272438,1682666,Q,
20100408,IWF,376963,875527,Q,
20100409,IWF,252082,590938,Q,
20100412,IWF,220563,645319,Q,
20100413,IWF,273719,524674,Q,
20100414,IWF,296450,1068168,Q,
20100415,IWF,176736,607678,Q,
20100416,IWF,255049,980416,Q,
20100419,IWF,264329,548770,Q,
20100420,IWF,608171,1173567,Q,
20100421,IWF,288199,538609,Q,
20100422,IWF,170455,496300,Q,
20100423,IWF,394766,780220,Q,
20100426,IWF,372830,807347,Q,
20100427,IWF,311040,750647,Q,
20100428,IWF,262368,828469,Q,
20100429,IWF,278861,629892,Q,
20100430,IWF,230685,1092702,Q,
20100503,IWF,180154,791246,Q,
20100504,IWF,227018,499690,Q,
20100510,IWF,356659,874343,Q,
20100511,IWF,237211,563952,Q,
20100512,IWF,254275,556353,Q,
20100513,IWF,266826,598242,Q,
20100517,IWF,220783,600978,Q,
20100518,IWF,88419,479587,Q,
20100519,IWF,202077,629773,Q,
20100520,IWF,424761,1044390,Q,
20100521,IWF,336405,982821,Q,
20100524,IWF,302819,836238,Q,
20100525,IWF,229215,975151,Q,
20100526,IWF,276617,666251,Q,
20100527,IWF,236137,489004,Q,
20100528,IWF,211035,794111,Q,
20100601,IWF,288661,673933,Q,
20100602,IWF,176626,590384,Q,
20100603,IWF,164825,405434,Q,
20100604,IWF,186190,3485764,Q,
20100607,IWF,130651,589471,Q,
20100608,IWF,236700,640264,Q,
20100609,IWF,192621,477331,Q,
20100610,IWF,139194,364258,Q,
20100611,IWF,167861,411282,Q,
20100614,IWF,168814,339208,Q,
20100615,IWF,175385,491372,Q,
20100616,IWF,200995,473856,Q,
20100617,IWF,155738,340438,Q,
20100618,IWF,164127,377984,Q,
20100621,IWF,225419,498062,Q,
20100622,IWF,174039,418110,Q,
20100623,IWF,56876,331969,Q,
20100624,IWF,161672,482231,Q,
20100625,IWF,356504,787880,Q,
20100628,IWF,400332,716018,Q,
20100629,IWF,186654,658317,Q,
20100630,IWF,170457,1890706,Q,
20100701,IWF,134914,910202,Q,
20100702,IWF,172709,390157,Q,
20100706,IWF,119287,728201,Q,
20100707,IWF,150340,1893409,Q,
20100708,IWF,164288,455393,Q,
20100709,IWF,139598,362867,Q,
20110804,IWF,2816652,3456704,,0.0
