,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,IWY,100,800,Q,
20100111,IWY,200,450,Q,
20100114,IWY,650,1050,Q,
20100115,IWY,1025,1025,Q,
20100120,IWY,1579,1979,Q,
20100122,IWY,820,820,Q,
20100126,IWY,400,400,Q,
20100128,IWY,242,242,Q,
20100202,IWY,1900,1900,Q,
20100205,IWY,7000,11000,Q,
20100209,IWY,100,400,Q,
20100210,IWY,100,200,Q,
20100216,IWY,490,1640,Q,
20100217,IWY,100,100,Q,
20100219,IWY,2000,2000,Q,
20100223,IWY,190,190,Q,
20100224,IWY,100,200,Q,
20100225,IWY,1200,1200,Q,
20100226,IWY,375,375,Q,
20100301,IWY,221,221,Q,
20100303,IWY,100,100,Q,
20100304,IWY,140,140,Q,
20100308,IWY,150,150,Q,
20100309,IWY,1361,1361,Q,
20100310,IWY,100,300,Q,
20100311,IWY,400,400,Q,
20100312,IWY,630,630,Q,
20100316,IWY,815,815,Q,
20100317,IWY,535,1035,Q,
20100319,IWY,700,700,Q,
20100324,IWY,4342656,4342656,Q,
20100325,IWY,950,2270,Q,
20100326,IWY,1000,4370,Q,
20100329,IWY,1000,3711,Q,
20100330,IWY,800,2211,Q,
20100405,IWY,3184,4160,Q,
20100406,IWY,4800,6516,Q,
20100407,IWY,700,3504,Q,
20100408,IWY,1430,2394,Q,
20100409,IWY,1503,2527,Q,
20100412,IWY,1500,8027,Q,
20100413,IWY,379905,380105,Q,
20100414,IWY,22049,26945,Q,
20100415,IWY,13899,15929,Q,
20100416,IWY,17374,19598,Q,
20100419,IWY,15068,16789,Q,
20100420,IWY,400,2467,Q,
20100421,IWY,1000,3901,Q,
20100422,IWY,5900,6966,Q,
20100423,IWY,28664,31525,Q,
20100426,IWY,1014,2464,Q,
20100427,IWY,689,3076,Q,
20100428,IWY,1200,6145,Q,
20100430,IWY,785,2051,Q,
20100503,IWY,1710,6871,Q,
20100504,IWY,4241,5959,Q,
20100510,IWY,5400,11908,Q,
20100511,IWY,24669,26837,Q,
20100512,IWY,1000,5602,Q,
20100513,IWY,300,2280,Q,
20100517,IWY,1250,35054,Q,
20100518,IWY,17485,17846,Q,
20100519,IWY,1300,10212,Q,
20100520,IWY,1584,8088,Q,
20100521,IWY,18996,57550,Q,
20100524,IWY,504,7491,Q,
20100525,IWY,3073,8781,Q,
20100526,IWY,100,9466,Q,
20100527,IWY,605,5659,Q,
20100528,IWY,14075,15682,Q,
20100601,IWY,3418,8869,Q,
20100602,IWY,3362,6440,Q,
20100603,IWY,1740,4647,Q,
20100604,IWY,1212,3450,Q,
20100607,IWY,4261,20488,Q,
20100608,IWY,800,3533,Q,
20100609,IWY,5950,17513,Q,
20100610,IWY,5109,10324,Q,
20100611,IWY,2568,4012,Q,
20100614,IWY,2900,7350,Q,
20100615,IWY,4110,5589,Q,
20100616,IWY,3866,5734,Q,
20100617,IWY,1920,3620,Q,
20100618,IWY,2359,4459,Q,
20100621,IWY,2003,4820,Q,
20100622,IWY,18564,20102,Q,
20100623,IWY,3357,4755,Q,
20100624,IWY,3096,9551,Q,
20100625,IWY,4450,6356,Q,
20100628,IWY,1943,3375,Q,
20100630,IWY,8369,10725,Q,
20100701,IWY,1300,4873,Q,
20100702,IWY,6708,35903,Q,
20100706,IWY,28736,32307,Q,
20100707,IWY,796,2534,Q,
20100708,IWY,527,2652,Q,
20100709,IWY,600,2038,Q,
20110804,IWY,6955,22032,,0.0
