,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,JCI,243726,1322767,Q,
20100105,JCI,230935,1008868,Q,
20100106,JCI,298442,1149993,Q,
20100107,JCI,402534,682006,Q,
20100108,JCI,205846,538964,Q,
20100111,JCI,395624,916206,Q,
20100112,JCI,1505871,2506432,Q,
20100113,JCI,422489,807141,Q,
20100114,JCI,244793,558552,Q,
20100115,JCI,394475,846323,Q,
20100119,JCI,336631,773374,Q,
20100120,JCI,440735,765150,Q,
20100121,JCI,543186,1364143,Q,
20100122,JCI,1567001,3983685,Q,
20100125,JCI,873432,2011846,Q,
20100126,JCI,930417,2952187,Q,
20100127,JCI,360413,1207887,Q,
20100128,JCI,685021,1656447,Q,
20100129,JCI,475109,1211503,Q,
20100201,JCI,328100,1302574,Q,
20100202,JCI,330854,902763,Q,
20100203,JCI,557903,2023218,Q,
20100204,JCI,316664,1153927,Q,
20100205,JCI,1159947,2044561,Q,
20100208,JCI,208001,522653,Q,
20100209,JCI,420445,852610,Q,
20100210,JCI,287501,683371,Q,
20100211,JCI,231912,904055,Q,
20100212,JCI,315856,728823,Q,
20100216,JCI,405658,899378,Q,
20100217,JCI,445453,1007579,Q,
20100218,JCI,351648,907703,Q,
20100219,JCI,540541,1283481,Q,
20100222,JCI,571283,1280556,Q,
20100223,JCI,805357,2029334,Q,
20100224,JCI,391601,1236083,Q,
20100225,JCI,498828,1208281,Q,
20100226,JCI,534408,1194535,Q,
20100301,JCI,356508,811297,Q,
20100302,JCI,367343,949403,Q,
20100303,JCI,272594,824269,Q,
20100304,JCI,304462,729569,Q,
20100305,JCI,225761,656154,Q,
20100308,JCI,330233,1039268,Q,
20100309,JCI,275919,1025413,Q,
20100310,JCI,199546,1521760,Q,
20100311,JCI,328338,1039485,Q,
20100312,JCI,169806,742344,Q,
20100315,JCI,233472,729131,Q,
20100316,JCI,295542,682984,Q,
20100317,JCI,291363,750525,Q,
20100318,JCI,172748,529187,Q,
20100319,JCI,324228,844630,Q,
20100322,JCI,261358,907917,Q,
20100323,JCI,504544,1323520,Q,
20100324,JCI,910257,1755004,Q,
20100325,JCI,785496,1649339,Q,
20100326,JCI,403939,1065426,Q,
20100329,JCI,248576,878766,Q,
20100330,JCI,394702,971102,Q,
20100331,JCI,374984,834443,Q,
20100401,JCI,367227,990658,Q,
20100405,JCI,411922,1325382,Q,
20100406,JCI,254653,920103,Q,
20100407,JCI,532977,2402485,Q,
20100408,JCI,430676,2168640,Q,
20100409,JCI,215580,1259548,Q,
20100412,JCI,241941,714820,Q,
20100413,JCI,354132,1395449,Q,
20100414,JCI,354593,1209401,Q,
20100415,JCI,496334,1286285,Q,
20100416,JCI,716693,1922312,Q,
20100419,JCI,388832,1532418,Q,
20100420,JCI,886208,2289262,Q,
20100421,JCI,660202,1738033,Q,
20100422,JCI,931583,2283782,Q,
20100423,JCI,1077304,3452363,Q,
20100426,JCI,652722,1712236,Q,
20100427,JCI,654787,1651773,Q,
20100428,JCI,565992,1475163,Q,
20100429,JCI,421755,1332640,Q,
20100430,JCI,411373,1602485,Q,
20100503,JCI,349196,1544851,Q,
20100504,JCI,501779,1473877,Q,
20100510,JCI,471317,1130648,Q,
20100511,JCI,276159,731852,Q,
20100512,JCI,198150,747429,Q,
20100513,JCI,248323,820576,Q,
20100517,JCI,258020,956381,Q,
20100518,JCI,367431,1447197,Q,
20100519,JCI,790448,3646405,Q,
20100520,JCI,1163110,3373854,Q,
20100521,JCI,525581,3134175,Q,
20100524,JCI,258501,1220300,Q,
20100525,JCI,470544,1773446,Q,
20100526,JCI,652330,3100555,Q,
20100527,JCI,353882,1153540,Q,
20100528,JCI,354573,839156,Q,
20100601,JCI,248090,889075,Q,
20100602,JCI,215792,837653,Q,
20100603,JCI,305594,1039186,Q,
20100604,JCI,425731,1101352,Q,
20100607,JCI,504846,1392509,Q,
20100608,JCI,338146,1779937,Q,
20100609,JCI,592361,4564310,Q,
20100610,JCI,1246584,4701984,Q,
20100611,JCI,544229,1323884,Q,
20100614,JCI,841169,2078045,Q,
20100615,JCI,821298,1985380,Q,
20100616,JCI,659277,1626151,Q,
20100617,JCI,463404,1872711,Q,
20100618,JCI,165892,671726,Q,
20100621,JCI,283826,811605,Q,
20100622,JCI,352104,923416,Q,
20100623,JCI,390785,1124165,Q,
20100624,JCI,571738,2318011,Q,
20100625,JCI,437723,2217310,Q,
20100628,JCI,241838,510573,Q,
20100629,JCI,751768,1451216,Q,
20100630,JCI,604536,1206037,Q,
20100701,JCI,527590,1240524,Q,
20100702,JCI,313737,540294,Q,
20100706,JCI,515370,1041369,Q,
20100707,JCI,885100,2144412,Q,
20100708,JCI,481890,959122,Q,
20100709,JCI,420133,1302910,Q,
20110804,JCI,961942,2135426,,400.0
