,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,JHX,200,300,Q,
20100111,JHX,100,672,Q,
20100112,JHX,200,400,Q,
20100115,JHX,200,1198,Q,
20100119,JHX,200,2800,Q,
20100121,JHX,1207,2707,Q,
20100122,JHX,600,1200,Q,
20100125,JHX,200,1670,Q,
20100128,JHX,600,750,Q,
20100201,JHX,216,216,Q,
20100203,JHX,181,881,Q,
20100211,JHX,1200,2335,Q,
20100218,JHX,14312,14312,Q,
20100222,JHX,2300,4778,Q,
20100223,JHX,4900,6100,Q,
20100224,JHX,1595,4960,Q,
20100225,JHX,1527,2027,Q,
20100226,JHX,400,1341,Q,
20100301,JHX,100,439,Q,
20100303,JHX,300,300,Q,
20100304,JHX,2900,3005,Q,
20100308,JHX,300,527,Q,
20100309,JHX,100,862,Q,
20100310,JHX,200,400,Q,
20100317,JHX,1093,1537,Q,
20100319,JHX,500,1045,Q,
20100323,JHX,100,100,Q,
20100326,JHX,200,500,Q,
20100329,JHX,2500,2900,Q,
20100330,JHX,800,2100,Q,
20100406,JHX,100,265,Q,
20100407,JHX,300,1400,Q,
20100409,JHX,4000,4000,Q,
20100412,JHX,100,854,Q,
20100413,JHX,3300,6346,Q,
20100415,JHX,358,358,Q,
20100416,JHX,100,200,Q,
20100421,JHX,300,300,Q,
20100422,JHX,200,505,Q,
20100423,JHX,100,1166,Q,
20100427,JHX,300,500,Q,
20100428,JHX,15100,30100,Q,
20100429,JHX,28450,28734,Q,
20100430,JHX,1189,1989,Q,
20100503,JHX,200,496,Q,
20100521,JHX,698,1241,Q,
20100524,JHX,200,800,Q,
20100526,JHX,100,100,Q,
20100602,JHX,4727,5123,Q,
20100604,JHX,400,700,Q,
20100608,JHX,610,779,Q,
20100614,JHX,200,400,Q,
20100621,JHX,200,300,Q,
20100622,JHX,100,1100,Q,
20100623,JHX,1327,2388,Q,
20100625,JHX,350,350,Q,
20100629,JHX,600,800,Q,
20100630,JHX,137,237,Q,
