,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100107,JJS,100,100,Q,
20100112,JJS,275,475,Q,
20100121,JJS,100,100,Q,
20100122,JJS,1067,1507,Q,
20100125,JJS,600,600,Q,
20100126,JJS,200,350,Q,
20100127,JJS,100,4474,Q,
20100129,JJS,545,755,Q,
20100201,JJS,100,100,Q,
20100202,JJS,1249,1249,Q,
20100203,JJS,300,1600,Q,
20100204,JJS,433,773,Q,
20100208,JJS,187,187,Q,
20100209,JJS,400,400,Q,
20100223,JJS,1227,3227,Q,
20100225,JJS,200,200,Q,
20100330,JJS,100,100,Q,
20100401,JJS,100,100,Q,
20100409,JJS,100,100,Q,
20100519,JJS,170,370,Q,
20100524,JJS,455,692,Q,
20100601,JJS,100,100,Q,
20100611,JJS,125,125,Q,
