,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,JKJ,3906,5183,Q,
20100105,JKJ,1267,2491,Q,
20100106,JKJ,4325,5401,Q,
20100107,JKJ,3315,5251,Q,
20100108,JKJ,8080,12191,Q,
20100111,JKJ,3128,4195,Q,
20100112,JKJ,4441,9057,Q,
20100113,JKJ,935,2162,Q,
20100114,JKJ,1608,3049,Q,
20100115,JKJ,2555,4919,Q,
20100119,JKJ,3585,5047,Q,
20100120,JKJ,4090,6712,Q,
20100121,JKJ,697,4167,Q,
20100122,JKJ,2490,14788,Q,
20100125,JKJ,1406,5165,Q,
20100126,JKJ,945,5662,Q,
20100127,JKJ,1961,3963,Q,
20100128,JKJ,1486,5857,Q,
20100201,JKJ,591,1761,Q,
20100202,JKJ,1307,4307,Q,
20100203,JKJ,205,1024,Q,
20100204,JKJ,1430,9129,Q,
20100205,JKJ,1758,12596,Q,
20100209,JKJ,1282,10430,Q,
20100210,JKJ,392,4185,Q,
20100211,JKJ,390,2041,Q,
20100212,JKJ,2800,4726,Q,
20100216,JKJ,1164,5893,Q,
20100217,JKJ,1222,6222,Q,
20100218,JKJ,3159,8038,Q,
20100219,JKJ,4081,7617,Q,
20100222,JKJ,9803,23389,Q,
20100223,JKJ,1315,3440,Q,
20100224,JKJ,2092,5602,Q,
20100225,JKJ,723,1855,Q,
20100226,JKJ,1742,2417,Q,
20100301,JKJ,1002,2672,Q,
20100302,JKJ,4055,6004,Q,
20100303,JKJ,21874,23322,Q,
20100304,JKJ,6996,11003,Q,
20100305,JKJ,6914,8421,Q,
20100308,JKJ,3760,3893,Q,
20100309,JKJ,6682,8026,Q,
20100310,JKJ,2586,2688,Q,
20100311,JKJ,2851,4295,Q,
20100312,JKJ,6046,7816,Q,
20100315,JKJ,3032,4465,Q,
20100316,JKJ,4557,9062,Q,
20100317,JKJ,3035,6031,Q,
20100318,JKJ,3863,21156,Q,
20100319,JKJ,4711,7797,Q,
20100322,JKJ,1995,2777,Q,
20100323,JKJ,5315,7636,Q,
20100324,JKJ,4927,7434,Q,
20100325,JKJ,904,3149,Q,
20100326,JKJ,3169,5504,Q,
20100329,JKJ,8028,11789,Q,
20100330,JKJ,2578,3435,Q,
20100331,JKJ,5439,6431,Q,
20100401,JKJ,2094,2816,Q,
20100405,JKJ,10025,14838,Q,
20100406,JKJ,3845,5966,Q,
20100407,JKJ,1512,2583,Q,
20100408,JKJ,2317,3248,Q,
20100409,JKJ,717,2850,Q,
20100412,JKJ,1095,1898,Q,
20100413,JKJ,865,2124,Q,
20100414,JKJ,4323,5942,Q,
20100415,JKJ,2876,3322,Q,
20100416,JKJ,1730,5307,Q,
20100419,JKJ,1125,3492,Q,
20100420,JKJ,2500,4568,Q,
20100421,JKJ,3545,5212,Q,
20100422,JKJ,6363,7814,Q,
20100423,JKJ,4821,8854,Q,
20100426,JKJ,3954,5079,Q,
20100427,JKJ,5027,13996,Q,
20100428,JKJ,1565,2715,Q,
20100429,JKJ,2038,5027,Q,
20100430,JKJ,3229,9146,Q,
20100504,JKJ,2373,9214,Q,
20100510,JKJ,3153,14079,Q,
20100511,JKJ,3934,13421,Q,
20100512,JKJ,1861,8298,Q,
20100513,JKJ,4469,19790,Q,
20100517,JKJ,440,3838,Q,
20100518,JKJ,3295,6916,Q,
20100519,JKJ,1809,9602,Q,
20100520,JKJ,691,10708,Q,
20100521,JKJ,799,5399,Q,
20100524,JKJ,900,1414,Q,
20100525,JKJ,2690,20478,Q,
20100526,JKJ,838,4481,Q,
20100527,JKJ,252,14162,Q,
20100601,JKJ,1385,5604,Q,
20100602,JKJ,82862,84674,Q,
20100603,JKJ,3116,3391,Q,
20100604,JKJ,485,3790,Q,
20100607,JKJ,4522,9402,Q,
20100608,JKJ,5678,10674,Q,
20100610,JKJ,2638,8817,Q,
20100611,JKJ,800,3580,Q,
20100614,JKJ,11853,13557,Q,
20100615,JKJ,11019,13343,Q,
20100616,JKJ,14502,17262,Q,
20100617,JKJ,5296,7395,Q,
20100618,JKJ,7025,9967,Q,
20100621,JKJ,3644,5684,Q,
20100622,JKJ,2099,2615,Q,
20100623,JKJ,4042,8299,Q,
20100624,JKJ,4095,10336,Q,
20100625,JKJ,3118,5414,Q,
20100628,JKJ,5592,10130,Q,
20100629,JKJ,1774,10637,Q,
20100630,JKJ,3032,6532,Q,
20100701,JKJ,13808,29573,Q,
20100702,JKJ,1280,6668,Q,
20100706,JKJ,705,3225,Q,
20100707,JKJ,2200,8157,Q,
20100708,JKJ,2863,92070,Q,
20100709,JKJ,142,2364,Q,
20110804,JKJ,7127,17696,,0.0
