,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100517,JKS,9625,24525,Q,
20100518,JKS,21850,31610,Q,
20100519,JKS,1700,46171,Q,
20100520,JKS,19271,79471,Q,
20100521,JKS,5100,42114,Q,
20100524,JKS,4900,17200,Q,
20100525,JKS,45800,56000,Q,
20100526,JKS,5147,25747,Q,
20100527,JKS,900,30580,Q,
20100528,JKS,10600,20900,Q,
20100601,JKS,1806,2809,Q,
20100602,JKS,2066,8384,Q,
20100604,JKS,5900,7264,Q,
20100607,JKS,5300,8161,Q,
20100608,JKS,1401,10701,Q,
20100609,JKS,1050,4693,Q,
20100610,JKS,11500,15643,Q,
20100611,JKS,2900,25265,Q,
20100614,JKS,4600,32570,Q,
20100615,JKS,1900,28271,Q,
20100616,JKS,9380,25523,Q,
20100617,JKS,5900,14300,Q,
20100618,JKS,2300,3200,Q,
20100621,JKS,600,3200,Q,
20100622,JKS,3180,18875,Q,
20100623,JKS,7840,21708,Q,
20100624,JKS,1100,4200,Q,
20100625,JKS,6600,22800,Q,
20100628,JKS,3430,8840,Q,
20100629,JKS,5229,9370,Q,
20100630,JKS,3111,5711,Q,
20100701,JKS,7053,9285,Q,
20100702,JKS,450,2350,Q,
20100706,JKS,2140,2540,Q,
20100707,JKS,24151,79865,Q,
20100708,JKS,9691,50061,Q,
20100709,JKS,6870,21747,Q,
20110804,JKS,80183,258087,,10725.0
