,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,JLI,1200,3830,Q,
20100105,JLI,11400,18200,Q,
20100106,JLI,1900,5400,Q,
20100107,JLI,4900,8300,Q,
20100112,JLI,11000,20849,Q,
20100113,JLI,4000,4000,Q,
20100114,JLI,11200,13600,Q,
20100119,JLI,116177,228028,Q,
20100120,JLI,68223,165061,Q,
20100121,JLI,50950,117385,Q,
20100122,JLI,14450,30550,Q,
20100125,JLI,26290,38123,Q,
20100126,JLI,16900,21347,Q,
20100127,JLI,46200,86700,Q,
20100128,JLI,5800,90200,Q,
20100129,JLI,104800,318084,Q,
20100201,JLI,6400,72369,Q,
20100202,JLI,9400,20090,Q,
20100203,JLI,7500,18700,Q,
20100204,JLI,400,15800,Q,
20100205,JLI,10050,21450,Q,
20100209,JLI,11100,26910,Q,
20100211,JLI,22660,49060,Q,
20100212,JLI,2000,100978,Q,
20100216,JLI,6900,22950,Q,
20100217,JLI,3550,35125,Q,
20100218,JLI,20400,77650,Q,
20100219,JLI,400,850,Q,
20100222,JLI,300,6800,Q,
20100223,JLI,1400,3100,Q,
20100224,JLI,600,15100,Q,
20100225,JLI,19220,25670,Q,
20100226,JLI,33605,38505,Q,
20100301,JLI,16056,25284,Q,
20100302,JLI,6000,27420,Q,
20100303,JLI,5900,6400,Q,
20100304,JLI,6100,9300,Q,
20100305,JLI,4000,4939,Q,
20100309,JLI,7200,20360,Q,
20100310,JLI,4787,16787,Q,
20100311,JLI,94400,138500,Q,
20100312,JLI,14229,45409,Q,
20100315,JLI,9475,13775,Q,
20100316,JLI,3725,5342,Q,
20100317,JLI,23933,58408,Q,
20100318,JLI,5600,23077,Q,
20100319,JLI,6200,7900,Q,
20100322,JLI,6542,56557,Q,
20100323,JLI,22858,45658,Q,
20100324,JLI,1100,23550,Q,
20100329,JLI,16450,92592,Q,
20100330,JLI,3715,15796,Q,
20100401,JLI,7400,17830,Q,
20100405,JLI,29800,43700,Q,
20100406,JLI,9530,33080,Q,
20100407,JLI,15300,17500,Q,
20100408,JLI,9200,23195,Q,
20100409,JLI,13800,14216,Q,
20100412,JLI,2540,14390,Q,
20100413,JLI,15516,42120,Q,
20100414,JLI,46250,91330,Q,
20100415,JLI,4500,9240,Q,
20100416,JLI,11200,25785,Q,
20100419,JLI,11700,22200,Q,
20100420,JLI,1000,35478,Q,
20100421,JLI,8900,11312,Q,
20100422,JLI,188848,423900,Q,
20100423,JLI,80150,228785,Q,
20100426,JLI,94619,224289,Q,
20100427,JLI,36150,70152,Q,
20100428,JLI,10800,20700,Q,
20100429,JLI,15200,39363,Q,
20100430,JLI,4400,33670,Q,
20100503,JLI,27300,71115,Q,
20100504,JLI,16600,25700,Q,
20100511,JLI,3800,41200,Q,
20100512,JLI,7750,18600,Q,
20100518,JLI,4500,24000,Q,
20100525,JLI,100,2600,Q,
20100527,JLI,2600,22800,Q,
20100602,JLI,6200,10610,Q,
20100603,JLI,5700,13200,Q,
20100604,JLI,12300,29084,Q,
20100607,JLI,38500,47603,Q,
20100608,JLI,118220,206220,Q,
20100610,JLI,21700,39250,Q,
20100611,JLI,10800,24475,Q,
20100614,JLI,10150,11150,Q,
20100616,JLI,11500,21030,Q,
20100617,JLI,1000,11900,Q,
20100618,JLI,7000,12100,Q,
20100621,JLI,30555,147602,Q,
20100622,JLI,308380,608391,Q,
20100623,JLI,140600,234465,Q,
20100624,JLI,124871,224106,Q,
20100625,JLI,438620,910357,Q,
20100628,JLI,758605,2508508,Q,
20100629,JLI,1002074,3356426,Q,
20100630,JLI,696146,4112667,Q,
20100701,JLI,132225,386330,Q,
20100702,JLI,637636,1186163,Q,
20100706,JLI,83525,800982,Q,
20100707,JLI,351446,1642558,Q,
20100708,JLI,243497,451445,Q,
20100709,JLI,36575,151700,Q,
