,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100406,JPMpC,34955,233584,Q,
20100407,JPMpC,47475,343635,Q,
20100408,JPMpC,43752,121394,Q,
20100409,JPMpC,45396,317924,Q,
20100412,JPMpC,104438,718443,Q,
20100413,JPMpC,58386,252201,Q,
20100414,JPMpC,59270,479627,Q,
20100415,JPMpC,254872,412303,Q,
20100416,JPMpC,181667,1848753,Q,
20100419,JPMpC,46258,155627,Q,
20100420,JPMpC,25809,819155,Q,
20100421,JPMpC,36396,946475,Q,
20100422,JPMpC,28235,445253,Q,
20100423,JPMpC,19480,81228,Q,
20100426,JPMpC,81158,235113,Q,
20100427,JPMpC,33956,138331,Q,
20100428,JPMpC,53552,172109,Q,
20100429,JPMpC,229933,1065075,Q,
20100430,JPMpC,69466,349562,Q,
20100503,JPMpC,27065,230458,Q,
20100504,JPMpC,41721,169354,Q,
20100510,JPMpC,211420,569928,Q,
20100511,JPMpC,101968,970314,Q,
20100512,JPMpC,36671,75925,Q,
20100513,JPMpC,28706,99566,Q,
20100517,JPMpC,36836,68717,Q,
20100518,JPMpC,31980,269276,Q,
20100519,JPMpC,13651,149752,Q,
20100520,JPMpC,17581,65694,Q,
20100521,JPMpC,15804,258891,Q,
20100524,JPMpC,30743,171208,Q,
20100525,JPMpC,40872,569653,Q,
20100526,JPMpC,39362,220196,Q,
20100527,JPMpC,32080,639171,Q,
20100528,JPMpC,28344,182904,Q,
20100601,JPMpC,15917,343305,Q,
20100602,JPMpC,20763,84574,Q,
20100603,JPMpC,59983,213940,Q,
20100604,JPMpC,6490,264911,Q,
20100607,JPMpC,30483,51376,Q,
20100608,JPMpC,27546,50254,Q,
20100609,JPMpC,40441,268211,Q,
20100610,JPMpC,122609,345863,Q,
20100611,JPMpC,29762,535898,Q,
20100614,JPMpC,30595,122865,Q,
20100615,JPMpC,44156,263001,Q,
20100616,JPMpC,44460,121907,Q,
20100617,JPMpC,35010,93326,Q,
20100618,JPMpC,16195,95301,Q,
20100621,JPMpC,21658,101684,Q,
20100622,JPMpC,37822,70198,Q,
20100623,JPMpC,34591,86369,Q,
20100624,JPMpC,40690,109796,Q,
20100625,JPMpC,35346,80552,Q,
20100628,JPMpC,53649,196964,Q,
20100629,JPMpC,26515,64556,Q,
20100630,JPMpC,41630,83801,Q,
20100701,JPMpC,29522,46490,Q,
20100702,JPMpC,24951,146930,Q,
20100706,JPMpC,23093,53983,Q,
20100707,JPMpC,73644,152971,Q,
20100708,JPMpC,45086,78938,Q,
20100709,JPMpC,30550,83367,Q,
