,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,JPMpS,4250,16964,Q,
20100105,JPMpS,4175,16665,Q,
20100106,JPMpS,1017,13642,Q,
20100107,JPMpS,400,11055,Q,
20100108,JPMpS,4013,12779,Q,
20100111,JPMpS,3498,10428,Q,
20100112,JPMpS,9823,17685,Q,
20100113,JPMpS,662,10495,Q,
20100114,JPMpS,890,11595,Q,
20100115,JPMpS,1700,16008,Q,
20100119,JPMpS,2300,14646,Q,
20100120,JPMpS,2762,9331,Q,
20100121,JPMpS,1310,6632,Q,
20100122,JPMpS,5871,87926,Q,
20100125,JPMpS,300,13534,Q,
20100126,JPMpS,5635,14041,Q,
20100127,JPMpS,5640,19571,Q,
20100128,JPMpS,3782,11208,Q,
20100129,JPMpS,3175,16663,Q,
20100201,JPMpS,1250,9000,Q,
20100202,JPMpS,10084,20874,Q,
20100203,JPMpS,3677,8017,Q,
20100204,JPMpS,5033,9434,Q,
20100205,JPMpS,7129,14385,Q,
20100208,JPMpS,4490,19909,Q,
20100209,JPMpS,8071,23496,Q,
20100210,JPMpS,5662,17866,Q,
20100211,JPMpS,8221,18040,Q,
20100212,JPMpS,5049,10592,Q,
20100216,JPMpS,5786,15726,Q,
20100217,JPMpS,10673,20913,Q,
20100218,JPMpS,5411,17020,Q,
20100219,JPMpS,3740,15568,Q,
20100222,JPMpS,2110,18573,Q,
20100223,JPMpS,4377,16432,Q,
20100224,JPMpS,597,8299,Q,
20100225,JPMpS,3500,11570,Q,
20100226,JPMpS,8410,12752,Q,
20100301,JPMpS,11513,18279,Q,
20100302,JPMpS,7011,23414,Q,
20100303,JPMpS,9449,24647,Q,
20100304,JPMpS,17143,30086,Q,
20100305,JPMpS,9502,21922,Q,
20100308,JPMpS,2795,11712,Q,
20100309,JPMpS,6028,25137,Q,
20100310,JPMpS,9483,23192,Q,
20100311,JPMpS,835,12078,Q,
20100312,JPMpS,3215,26860,Q,
20100315,JPMpS,607,16969,Q,
20100316,JPMpS,5183,23014,Q,
20100317,JPMpS,2885,16358,Q,
20100318,JPMpS,4440,12804,Q,
20100319,JPMpS,2511,14143,Q,
20100322,JPMpS,400,45563,Q,
20100323,JPMpS,2555,18892,Q,
20100324,JPMpS,9625,31331,Q,
20100325,JPMpS,4432,21205,Q,
20100326,JPMpS,7370,24380,Q,
20100329,JPMpS,9693,30479,Q,
20100330,JPMpS,12411,20587,Q,
20100331,JPMpS,3120,9099,Q,
20100401,JPMpS,4300,7337,Q,
20100405,JPMpS,8047,14442,Q,
20100406,JPMpS,6435,11954,Q,
20100407,JPMpS,4580,13310,Q,
20100408,JPMpS,12431,18311,Q,
20100409,JPMpS,4970,11602,Q,
20100412,JPMpS,8280,20166,Q,
20100413,JPMpS,6659,11162,Q,
20100414,JPMpS,11031,16316,Q,
20100415,JPMpS,8029,13189,Q,
20100416,JPMpS,10915,15601,Q,
20100419,JPMpS,7010,16060,Q,
20100420,JPMpS,14138,21218,Q,
20100421,JPMpS,6494,14492,Q,
20100422,JPMpS,10589,14971,Q,
20100423,JPMpS,11623,22767,Q,
20100426,JPMpS,5720,10930,Q,
20100427,JPMpS,8925,12725,Q,
20100428,JPMpS,7931,15283,Q,
20100429,JPMpS,5692,10942,Q,
20100430,JPMpS,4464,7914,Q,
20100503,JPMpS,5296,9592,Q,
20100504,JPMpS,5335,8591,Q,
20100510,JPMpS,3862,13527,Q,
20100511,JPMpS,2247,7554,Q,
20100512,JPMpS,11128,20911,Q,
20100513,JPMpS,5482,8382,Q,
20100517,JPMpS,2550,7575,Q,
20100518,JPMpS,11235,17160,Q,
20100519,JPMpS,4687,13933,Q,
20100520,JPMpS,5407,15900,Q,
20100521,JPMpS,2964,7947,Q,
20100524,JPMpS,3400,11294,Q,
20100525,JPMpS,11138,16912,Q,
20100526,JPMpS,5924,14274,Q,
20100527,JPMpS,3092,5996,Q,
20100528,JPMpS,7648,9413,Q,
20100601,JPMpS,2500,12200,Q,
20100602,JPMpS,1788,4613,Q,
20100603,JPMpS,4868,7802,Q,
20100604,JPMpS,3549,64026,Q,
20100607,JPMpS,5335,10509,Q,
20100608,JPMpS,6226,11226,Q,
20100609,JPMpS,8557,16410,Q,
20100610,JPMpS,3819,4919,Q,
20100611,JPMpS,1879,4123,Q,
20100614,JPMpS,3100,8682,Q,
20100615,JPMpS,3250,4789,Q,
20100616,JPMpS,9952,19876,Q,
20100617,JPMpS,3930,8895,Q,
20100618,JPMpS,1800,5318,Q,
20100621,JPMpS,900,1800,Q,
20100622,JPMpS,3556,10988,Q,
20100623,JPMpS,6159,9509,Q,
20100624,JPMpS,7060,14226,Q,
20100625,JPMpS,9339,17773,Q,
20100628,JPMpS,2660,14011,Q,
20100629,JPMpS,7022,24279,Q,
20100630,JPMpS,2206,15629,Q,
20100701,JPMpS,5395,9645,Q,
20100702,JPMpS,6630,32289,Q,
20100706,JPMpS,4895,12745,Q,
20100707,JPMpS,13466,23464,Q,
20100708,JPMpS,12210,28994,Q,
20100709,JPMpS,6180,12865,Q,
