,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100108,JZE,200,600,Q,
20100111,JZE,100,100,Q,
20100112,JZE,300,2375,Q,
20100113,JZE,1400,1600,Q,
20100114,JZE,700,2300,Q,
20100120,JZE,600,1400,Q,
20100121,JZE,100,1300,Q,
20100122,JZE,210,1942,Q,
20100126,JZE,1750,2150,Q,
20100201,JZE,200,520,Q,
20100202,JZE,730,2230,Q,
20100203,JZE,300,2245,Q,
20100210,JZE,400,1300,Q,
20100211,JZE,275,715,Q,
20100212,JZE,700,1200,Q,
20100216,JZE,400,840,Q,
20100217,JZE,400,900,Q,
20100218,JZE,310,1210,Q,
20100219,JZE,426,1226,Q,
20100222,JZE,1630,4111,Q,
20100223,JZE,692,2192,Q,
20100224,JZE,500,1000,Q,
20100225,JZE,200,1000,Q,
20100226,JZE,200,400,Q,
20100302,JZE,100,200,Q,
20100303,JZE,100,4740,Q,
20100304,JZE,1000,4706,Q,
20100305,JZE,100,3810,Q,
20100308,JZE,700,4200,Q,
20100309,JZE,4100,9930,Q,
20100310,JZE,1291,3522,Q,
20100311,JZE,800,3350,Q,
20100316,JZE,200,900,Q,
20100317,JZE,1400,1862,Q,
20100318,JZE,100,1500,Q,
20100319,JZE,1400,1870,Q,
20100323,JZE,600,2040,Q,
20100324,JZE,850,3130,Q,
20100325,JZE,100,1300,Q,
20100326,JZE,600,2200,Q,
20100331,JZE,900,1796,Q,
20100406,JZE,400,1902,Q,
20100408,JZE,370,990,Q,
20100409,JZE,600,700,Q,
20100412,JZE,650,1150,Q,
20100413,JZE,100,100,Q,
20100414,JZE,4600,5600,Q,
20100415,JZE,1200,1300,Q,
20100416,JZE,300,1000,Q,
20100419,JZE,600,2717,Q,
20100420,JZE,1020,1520,Q,
20100421,JZE,800,900,Q,
20100422,JZE,3461,4911,Q,
20100426,JZE,1620,2020,Q,
20100427,JZE,400,2230,Q,
20100428,JZE,200,300,Q,
20100503,JZE,899,1464,Q,
20100504,JZE,406,2406,Q,
20100510,JZE,300,2225,Q,
20100511,JZE,615,1935,Q,
20100512,JZE,835,1235,Q,
20100513,JZE,1100,3126,Q,
20100517,JZE,1611,1711,Q,
20100518,JZE,300,300,Q,
20100519,JZE,900,1800,Q,
20100520,JZE,914,1326,Q,
20100521,JZE,1255,1955,Q,
20100524,JZE,100,469,Q,
20100525,JZE,100,700,Q,
20100526,JZE,2000,2400,Q,
20100527,JZE,1290,2694,Q,
20100528,JZE,1169,1169,Q,
20100601,JZE,8300,21380,Q,
20100602,JZE,1113,1113,Q,
20100603,JZE,255,810,Q,
20100604,JZE,3600,5400,Q,
20100607,JZE,1500,3000,Q,
20100608,JZE,5900,7600,Q,
20100609,JZE,2223,3223,Q,
20100610,JZE,1600,2410,Q,
20100611,JZE,600,600,Q,
20100614,JZE,1000,2400,Q,
20100615,JZE,400,900,Q,
20100618,JZE,3810,5680,Q,
20100621,JZE,800,4855,Q,
20100622,JZE,1900,2300,Q,
20100623,JZE,600,600,Q,
20100624,JZE,1500,4600,Q,
20100625,JZE,500,950,Q,
20100629,JZE,500,1100,Q,
20100701,JZE,2200,6967,Q,
20100702,JZE,500,1600,Q,
20100706,JZE,200,1153,Q,
20100708,JZE,1175,2324,Q,
20100709,JZE,2850,6750,Q,
