,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,KCW,100,750,Q,
20100106,KCW,720,1346,Q,
20100108,KCW,500,500,Q,
20100111,KCW,800,3500,Q,
20100112,KCW,1100,1200,Q,
20100113,KCW,927,927,Q,
20100114,KCW,525,825,Q,
20100115,KCW,800,900,Q,
20100119,KCW,1025,4775,Q,
20100120,KCW,625,1965,Q,
20100121,KCW,400,1650,Q,
20100122,KCW,950,3400,Q,
20100125,KCW,300,700,Q,
20100127,KCW,450,450,Q,
20100128,KCW,187,387,Q,
20100129,KCW,200,2007,Q,
20100202,KCW,460,1065,Q,
20100203,KCW,200,200,Q,
20100208,KCW,200,2780,Q,
20100210,KCW,700,1500,Q,
20100216,KCW,900,1700,Q,
20100217,KCW,200,400,Q,
20100218,KCW,125,825,Q,
20100222,KCW,200,825,Q,
20100226,KCW,200,200,Q,
20100302,KCW,100,1700,Q,
20100303,KCW,400,400,Q,
20100305,KCW,400,900,Q,
20100309,KCW,800,800,Q,
20100310,KCW,1400,1800,Q,
20100312,KCW,430,830,Q,
20100315,KCW,1800,1900,Q,
20100317,KCW,1600,2200,Q,
20100322,KCW,500,986,Q,
20100323,KCW,400,750,Q,
20100324,KCW,100,200,Q,
20100325,KCW,200,656,Q,
20100326,KCW,922,3522,Q,
20100331,KCW,1023,2900,Q,
20100401,KCW,500,950,Q,
20100405,KCW,200,200,Q,
20100406,KCW,600,1100,Q,
20100407,KCW,100,300,Q,
20100409,KCW,600,1000,Q,
20100412,KCW,210,610,Q,
20100413,KCW,100,400,Q,
20100414,KCW,200,1035,Q,
20100416,KCW,200,600,Q,
20100419,KCW,374,1459,Q,
20100420,KCW,100,928,Q,
20100421,KCW,360,1860,Q,
20100422,KCW,200,2123,Q,
20100423,KCW,200,1200,Q,
20100426,KCW,300,2300,Q,
20100427,KCW,1115,1115,Q,
20100428,KCW,100,1090,Q,
20100429,KCW,800,2750,Q,
20100430,KCW,200,300,Q,
20100503,KCW,1720,2045,Q,
20100504,KCW,1255,2530,Q,
20100510,KCW,610,610,Q,
20100511,KCW,600,900,Q,
20100512,KCW,750,1025,Q,
20100513,KCW,400,1100,Q,
20100517,KCW,1477,1577,Q,
20100518,KCW,291,1072,Q,
20100519,KCW,140,140,Q,
20100520,KCW,699,1874,Q,
20100521,KCW,1700,2100,Q,
20100524,KCW,315,805,Q,
20100525,KCW,500,2325,Q,
20100601,KCW,400,865,Q,
20100602,KCW,300,400,Q,
20100604,KCW,1500,2100,Q,
20100608,KCW,250,450,Q,
20100609,KCW,400,1100,Q,
20100610,KCW,200,400,Q,
20100611,KCW,250,350,Q,
20100615,KCW,1185,2335,Q,
20100616,KCW,861,1489,Q,
20100617,KCW,300,700,Q,
20100618,KCW,1365,1765,Q,
20100621,KCW,400,800,Q,
20100622,KCW,974,1074,Q,
20100623,KCW,320,960,Q,
20100624,KCW,215,215,Q,
20100628,KCW,1549,2179,Q,
20100629,KCW,1822,1822,Q,
20100630,KCW,500,1100,Q,
20100701,KCW,1665,2565,Q,
20100706,KCW,295,545,Q,
20100707,KCW,100,100,Q,
20100708,KCW,100,300,Q,
20100709,KCW,200,825,Q,
20110804,KCW,240,480,,0.0
