,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,KGN,34258,62759,Q,
20100105,KGN,12800,47984,Q,
20100106,KGN,47160,105595,Q,
20100107,KGN,24703,93990,Q,
20100108,KGN,40350,89438,Q,
20100111,KGN,30675,75190,Q,
20100112,KGN,10985,65593,Q,
20100113,KGN,7180,73592,Q,
20100114,KGN,5600,28415,Q,
20100115,KGN,300,23199,Q,
20100119,KGN,17250,46216,Q,
20100120,KGN,29519,108214,Q,
20100121,KGN,22867,101872,Q,
20100122,KGN,9144,128379,Q,
20100125,KGN,17950,68564,Q,
20100126,KGN,5610,113172,Q,
20100127,KGN,12550,103867,Q,
20100128,KGN,9575,43688,Q,
20100129,KGN,12204,57000,Q,
20100201,KGN,12145,77565,Q,
20100202,KGN,34868,65818,Q,
20100203,KGN,22265,55099,Q,
20100204,KGN,21075,74878,Q,
20100205,KGN,38660,170172,Q,
20100208,KGN,7200,60751,Q,
20100209,KGN,12750,43506,Q,
20100210,KGN,7600,58930,Q,
20100211,KGN,14160,37970,Q,
20100212,KGN,11251,34150,Q,
20100216,KGN,10700,42440,Q,
20100217,KGN,5199,67175,Q,
20100218,KGN,3900,26950,Q,
20100219,KGN,8000,26765,Q,
20100222,KGN,1420,9112,Q,
20100223,KGN,11363,53323,Q,
20100224,KGN,3600,31094,Q,
20100225,KGN,7900,56210,Q,
20100226,KGN,8678,28368,Q,
20100301,KGN,1000,17029,Q,
20100302,KGN,17450,42150,Q,
20100303,KGN,33376,56826,Q,
20100304,KGN,21715,43738,Q,
20100305,KGN,10400,34181,Q,
20100308,KGN,8600,40408,Q,
20100309,KGN,7725,36631,Q,
20100310,KGN,15858,37546,Q,
20100311,KGN,14174,25750,Q,
20100312,KGN,24689,53601,Q,
20100315,KGN,13500,34597,Q,
20100316,KGN,24396,35142,Q,
20100317,KGN,12100,31048,Q,
20100318,KGN,15183,22513,Q,
20100319,KGN,14100,28475,Q,
20100322,KGN,7400,55090,Q,
20100323,KGN,15817,45235,Q,
20100324,KGN,40250,98299,Q,
20100325,KGN,7200,20398,Q,
20100326,KGN,900,12065,Q,
20100329,KGN,32668,41717,Q,
20100330,KGN,12471,26775,Q,
20100331,KGN,14999,32489,Q,
20100401,KGN,6680,13185,Q,
20100405,KGN,27830,43727,Q,
20100406,KGN,22327,60864,Q,
20100407,KGN,25650,57035,Q,
20100408,KGN,10445,30049,Q,
20100409,KGN,11350,44789,Q,
20100412,KGN,16300,52517,Q,
20100413,KGN,5400,38593,Q,
20100414,KGN,7837,53951,Q,
20100415,KGN,5990,23862,Q,
20100416,KGN,28800,71453,Q,
20100419,KGN,5610,18355,Q,
20100420,KGN,17518,36698,Q,
20100421,KGN,7880,41195,Q,
20100422,KGN,9730,23932,Q,
20100423,KGN,13562,40730,Q,
20100426,KGN,10585,29155,Q,
20100427,KGN,21724,37362,Q,
20100428,KGN,25958,39598,Q,
20100429,KGN,24788,67648,Q,
20100430,KGN,10344,36936,Q,
20100503,KGN,8500,51810,Q,
20100504,KGN,28861,77376,Q,
20100510,KGN,14200,35469,Q,
20100511,KGN,41800,78789,Q,
20100512,KGN,12342,55335,Q,
20100513,KGN,38150,95590,Q,
20100517,KGN,2450,24750,Q,
20100518,KGN,13300,36179,Q,
20100519,KGN,25495,67134,Q,
20100520,KGN,13618,60360,Q,
20100521,KGN,4885,26209,Q,
20100524,KGN,6100,31020,Q,
20100525,KGN,6750,43968,Q,
20100526,KGN,21082,33582,Q,
20100527,KGN,4209,21036,Q,
20100528,KGN,7150,29495,Q,
20100601,KGN,7600,35670,Q,
20100602,KGN,2800,14040,Q,
20100603,KGN,8000,24795,Q,
20100604,KGN,4396,18271,Q,
20100607,KGN,2500,24130,Q,
20100608,KGN,12650,49240,Q,
20100609,KGN,17990,53154,Q,
20100610,KGN,2900,24792,Q,
20100611,KGN,6500,19334,Q,
20100614,KGN,13639,45371,Q,
20100615,KGN,3600,14590,Q,
20100616,KGN,3800,19097,Q,
20100617,KGN,1450,14585,Q,
20100618,KGN,6553,27153,Q,
20100621,KGN,5166,23783,Q,
20100622,KGN,7200,19302,Q,
20100623,KGN,3790,10930,Q,
20100624,KGN,19100,26575,Q,
20100625,KGN,11150,29550,Q,
20100628,KGN,22746,44970,Q,
20100629,KGN,17800,36355,Q,
20100630,KGN,5260,14441,Q,
20100701,KGN,13529,50870,Q,
20100702,KGN,3950,26056,Q,
20100706,KGN,11350,54220,Q,
20100707,KGN,5550,17975,Q,
20100708,KGN,11395,28292,Q,
20100709,KGN,2500,15066,Q,
20110804,KGN,12400,36934,,1100.0
