,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,KONA,200,3700,Q,
20100105,KONA,200,1652,Q,
20100108,KONA,455,1060,Q,
20100111,KONA,450,2250,Q,
20100112,KONA,3822,5322,Q,
20100113,KONA,750,1850,Q,
20100114,KONA,2351,22476,Q,
20100115,KONA,200,2500,Q,
20100119,KONA,3945,8146,Q,
20100120,KONA,1500,2600,Q,
20100121,KONA,400,813,Q,
20100122,KONA,700,950,Q,
20100125,KONA,1570,1770,Q,
20100127,KONA,500,600,Q,
20100128,KONA,500,2360,Q,
20100129,KONA,1500,2590,Q,
20100201,KONA,1125,2485,Q,
20100202,KONA,1430,2870,Q,
20100204,KONA,202,816,Q,
20100205,KONA,1000,1100,Q,
20100208,KONA,100,821,Q,
20100209,KONA,2872,11132,Q,
20100210,KONA,628,1328,Q,
20100211,KONA,1550,4700,Q,
20100212,KONA,400,1500,Q,
20100216,KONA,200,450,Q,
20100217,KONA,1840,3340,Q,
20100218,KONA,1500,1500,Q,
20100219,KONA,820,1420,Q,
20100222,KONA,1025,1525,Q,
20100223,KONA,1300,2130,Q,
20100224,KONA,6926,8152,Q,
20100226,KONA,2397,4690,Q,
20100301,KONA,2000,2700,Q,
20100302,KONA,400,400,Q,
20100303,KONA,600,800,Q,
20100304,KONA,700,1475,Q,
20100305,KONA,1300,1500,Q,
20100308,KONA,100,900,Q,
20100309,KONA,400,3203,Q,
20100310,KONA,5300,7003,Q,
20100312,KONA,1397,1850,Q,
20100315,KONA,1600,2000,Q,
20100316,KONA,1500,14800,Q,
20100317,KONA,5400,6950,Q,
20100318,KONA,5400,149950,Q,
20100319,KONA,2000,4700,Q,
20100322,KONA,690,1570,Q,
20100323,KONA,2448,9268,Q,
20100324,KONA,2800,6375,Q,
20100325,KONA,1100,2673,Q,
20100326,KONA,2000,5668,Q,
20100329,KONA,2139,5294,Q,
20100330,KONA,1268,1768,Q,
20100331,KONA,2400,8362,Q,
20100401,KONA,4520,8520,Q,
20100405,KONA,12549,17451,Q,
20100406,KONA,2426,2897,Q,
20100407,KONA,8320,17265,Q,
20100408,KONA,4426,6138,Q,
20100409,KONA,4500,8795,Q,
20100412,KONA,200,1920,Q,
20100413,KONA,1395,6396,Q,
20100414,KONA,1300,8700,Q,
20100415,KONA,3000,143422,Q,
20100416,KONA,7076,16548,Q,
20100419,KONA,16551,80589,Q,
20100420,KONA,2100,12640,Q,
20100421,KONA,25241,30354,Q,
20100422,KONA,2274,9046,Q,
20100423,KONA,6850,8990,Q,
20100426,KONA,9173,17769,Q,
20100427,KONA,12000,34345,Q,
20100428,KONA,4400,14501,Q,
20100429,KONA,5600,28752,Q,
20100430,KONA,3085,11600,Q,
20100503,KONA,9993,15560,Q,
20100504,KONA,7996,12027,Q,
20100510,KONA,5250,8355,Q,
20100511,KONA,4025,7552,Q,
20100512,KONA,3455,4655,Q,
20100513,KONA,100,500,Q,
20100517,KONA,2058,5659,Q,
20100519,KONA,200,1301,Q,
20100520,KONA,500,2700,Q,
20100521,KONA,1100,4695,Q,
20100524,KONA,500,9114,Q,
20100525,KONA,1600,9000,Q,
20100526,KONA,300,3300,Q,
20100527,KONA,500,1920,Q,
20100602,KONA,500,4216,Q,
20100603,KONA,500,1142,Q,
20100604,KONA,1900,5197,Q,
20100607,KONA,700,1729,Q,
20100608,KONA,2985,6925,Q,
20100609,KONA,645,4345,Q,
20100610,KONA,500,2350,Q,
20100611,KONA,1307,1907,Q,
20100615,KONA,2150,4491,Q,
20100617,KONA,900,3033,Q,
20100621,KONA,220,1842,Q,
20100622,KONA,600,1299,Q,
20100624,KONA,100,600,Q,
20100628,KONA,875,975,Q,
20100630,KONA,100,1580,Q,
20110804,KONA,6996,16675,,0.0
