,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,KTII,700,3200,Q,
20100105,KTII,750,1450,Q,
20100106,KTII,880,3476,Q,
20100107,KTII,300,5300,Q,
20100111,KTII,19050,126426,Q,
20100112,KTII,7044,48661,Q,
20100113,KTII,3615,30615,Q,
20100114,KTII,1250,19710,Q,
20100115,KTII,1900,22187,Q,
20100119,KTII,400,9922,Q,
20100120,KTII,1633,3933,Q,
20100121,KTII,1900,4225,Q,
20100122,KTII,2000,4300,Q,
20100125,KTII,1270,4087,Q,
20100126,KTII,2300,7532,Q,
20100127,KTII,3300,9991,Q,
20100128,KTII,1600,4800,Q,
20100129,KTII,2055,12670,Q,
20100201,KTII,800,13372,Q,
20100202,KTII,1600,5260,Q,
20100203,KTII,4300,6150,Q,
20100204,KTII,4000,22440,Q,
20100205,KTII,2938,8982,Q,
20100208,KTII,2700,4930,Q,
20100209,KTII,6814,22466,Q,
20100210,KTII,6100,10032,Q,
20100211,KTII,2644,8222,Q,
20100212,KTII,1500,8668,Q,
20100216,KTII,500,3841,Q,
20100217,KTII,1500,7647,Q,
20100218,KTII,300,2260,Q,
20100222,KTII,359,3359,Q,
20100223,KTII,860,5314,Q,
20100224,KTII,700,5051,Q,
20100225,KTII,3165,8133,Q,
20100226,KTII,1340,5034,Q,
20100301,KTII,500,4600,Q,
20100302,KTII,2387,8297,Q,
20100303,KTII,1127,10100,Q,
20100304,KTII,100,5087,Q,
20100305,KTII,525,2475,Q,
20100308,KTII,300,900,Q,
20100309,KTII,443,2504,Q,
20100310,KTII,500,2234,Q,
20100311,KTII,200,2483,Q,
20100312,KTII,1194,2294,Q,
20100315,KTII,2700,6000,Q,
20100316,KTII,400,1345,Q,
20100317,KTII,2000,3348,Q,
20100318,KTII,200,910,Q,
20100319,KTII,900,1800,Q,
20100322,KTII,600,1319,Q,
20100323,KTII,1732,3232,Q,
20100324,KTII,200,1640,Q,
20100325,KTII,2400,5731,Q,
20100326,KTII,600,1840,Q,
20100329,KTII,200,39030,Q,
20100330,KTII,998,3598,Q,
20100331,KTII,442,3242,Q,
20100401,KTII,8400,20002,Q,
