,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,KTP,2300,6768,Q,
20100105,KTP,1200,3500,Q,
20100106,KTP,520,620,Q,
20100107,KTP,1200,1750,Q,
20100108,KTP,250,752,Q,
20100111,KTP,300,300,Q,
20100112,KTP,3199,4999,Q,
20100113,KTP,600,1100,Q,
20100114,KTP,819,1154,Q,
20100115,KTP,901,1221,Q,
20100119,KTP,200,1395,Q,
20100120,KTP,833,3033,Q,
20100121,KTP,200,1175,Q,
20100122,KTP,2070,4800,Q,
20100126,KTP,100,850,Q,
20100129,KTP,300,4300,Q,
20100201,KTP,330,430,Q,
20100204,KTP,200,2950,Q,
20100205,KTP,1850,3000,Q,
20100208,KTP,350,1250,Q,
20100209,KTP,1250,1950,Q,
20100210,KTP,200,1368,Q,
20100211,KTP,1200,1460,Q,
20100212,KTP,1200,1200,Q,
20100217,KTP,500,900,Q,
20100218,KTP,480,1010,Q,
20100219,KTP,1735,1735,Q,
20100222,KTP,1420,4000,Q,
20100223,KTP,1872,6793,Q,
20100224,KTP,1800,2900,Q,
20100225,KTP,600,1014,Q,
20100226,KTP,100,1088,Q,
20100301,KTP,700,1824,Q,
20100302,KTP,445,1355,Q,
20100304,KTP,925,3397,Q,
20100305,KTP,635,1235,Q,
20100308,KTP,825,1850,Q,
20100315,KTP,2500,2900,Q,
20100316,KTP,1000,4045,Q,
20100317,KTP,600,1175,Q,
20100318,KTP,200,500,Q,
20100319,KTP,1210,3210,Q,
20100322,KTP,400,1100,Q,
20100323,KTP,300,1950,Q,
20100324,KTP,200,3380,Q,
20100325,KTP,1424,2224,Q,
20100326,KTP,1570,3095,Q,
20100329,KTP,200,1800,Q,
20100331,KTP,200,500,Q,
20100405,KTP,1300,4200,Q,
20100406,KTP,1600,2500,Q,
20100407,KTP,1540,2240,Q,
20100409,KTP,900,900,Q,
20100412,KTP,450,1650,Q,
20100413,KTP,200,1200,Q,
20100414,KTP,1200,1730,Q,
20100416,KTP,425,1225,Q,
20100419,KTP,3700,8885,Q,
20100420,KTP,1400,1538,Q,
20100421,KTP,1840,2068,Q,
20100422,KTP,200,1550,Q,
20100423,KTP,430,1530,Q,
20100426,KTP,600,800,Q,
20100427,KTP,200,800,Q,
20100428,KTP,200,1415,Q,
20100429,KTP,550,2050,Q,
20100430,KTP,185,2270,Q,
20100504,KTP,100,1325,Q,
20100510,KTP,2297,3497,Q,
20100511,KTP,1675,2825,Q,
20100512,KTP,850,2350,Q,
20100513,KTP,1300,2800,Q,
20100517,KTP,300,400,Q,
20100518,KTP,210,710,Q,
20100519,KTP,1149,1149,Q,
20100520,KTP,200,300,Q,
20100521,KTP,1800,2000,Q,
20100525,KTP,400,2134,Q,
20100526,KTP,2400,4100,Q,
20100528,KTP,800,800,Q,
20100602,KTP,1700,1700,Q,
20100604,KTP,400,800,Q,
20100607,KTP,400,2300,Q,
20100608,KTP,453,553,Q,
20100609,KTP,2900,4250,Q,
20100611,KTP,1788,2518,Q,
20100614,KTP,1800,4822,Q,
20100615,KTP,9700,12400,Q,
20100616,KTP,1000,2431,Q,
20100617,KTP,3800,5225,Q,
20100618,KTP,420,1925,Q,
20100622,KTP,400,1400,Q,
20100623,KTP,300,1600,Q,
20100625,KTP,500,2000,Q,
20100628,KTP,925,1025,Q,
20100629,KTP,300,1350,Q,
20100701,KTP,2085,5635,Q,
20100702,KTP,1300,2800,Q,
20100706,KTP,100,730,Q,
20100707,KTP,1300,2605,Q,
20100708,KTP,200,1000,Q,
20100709,KTP,600,1600,Q,
20110804,KTP,1600,4191,,0.0
