,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,KV.B,100,1600,Q,
20100106,KV.B,754,1209,Q,
20100107,KV.B,885,1385,Q,
20100108,KV.B,400,2202,Q,
20100111,KV.B,400,800,Q,
20100112,KV.B,200,1335,Q,
20100113,KV.B,1768,3288,Q,
20100114,KV.B,2245,2777,Q,
20100115,KV.B,1900,2430,Q,
20100119,KV.B,100,4239,Q,
20100120,KV.B,4900,10675,Q,
20100121,KV.B,6900,14455,Q,
20100125,KV.B,300,300,Q,
20100126,KV.B,1500,3670,Q,
20100127,KV.B,100,1250,Q,
20100202,KV.B,200,300,Q,
20100203,KV.B,600,4212,Q,
20100204,KV.B,1763,11908,Q,
20100205,KV.B,100,400,Q,
20100209,KV.B,1400,4505,Q,
20100210,KV.B,2767,6308,Q,
20100211,KV.B,2210,16409,Q,
20100212,KV.B,528,1903,Q,
20100216,KV.B,200,1872,Q,
20100217,KV.B,300,1685,Q,
20100218,KV.B,2700,2700,Q,
20100219,KV.B,100,550,Q,
20100222,KV.B,700,1595,Q,
20100223,KV.B,2247,2594,Q,
20100224,KV.B,1100,1100,Q,
20100225,KV.B,2700,3700,Q,
20100226,KV.B,300,1800,Q,
20100301,KV.B,500,500,Q,
20100302,KV.B,1000,1300,Q,
20100303,KV.B,500,1763,Q,
20100304,KV.B,1250,1800,Q,
20100309,KV.B,200,1400,Q,
20100310,KV.B,100,100,Q,
20100312,KV.B,1700,2910,Q,
20100316,KV.B,153,273,Q,
20100317,KV.B,3100,3605,Q,
20100322,KV.B,1600,1850,Q,
20100323,KV.B,230,3242,Q,
20100326,KV.B,9495,19938,Q,
20100329,KV.B,1900,10114,Q,
20100330,KV.B,4064,13363,Q,
20100331,KV.B,4278,11323,Q,
20100401,KV.B,4125,6645,Q,
20100405,KV.B,100,1575,Q,
20100406,KV.B,3784,8017,Q,
20100407,KV.B,2285,7735,Q,
20100408,KV.B,9400,25644,Q,
20100409,KV.B,1600,6934,Q,
20100412,KV.B,500,5910,Q,
20100413,KV.B,2400,6718,Q,
20100414,KV.B,700,2240,Q,
20100415,KV.B,800,7900,Q,
20100416,KV.B,1000,4300,Q,
20100419,KV.B,3452,4152,Q,
20100420,KV.B,2165,2990,Q,
20100421,KV.B,4701,22758,Q,
20100422,KV.B,100,5741,Q,
20100423,KV.B,100,1100,Q,
20100428,KV.B,4100,4500,Q,
20100430,KV.B,200,200,Q,
20100503,KV.B,4000,8225,Q,
20100510,KV.B,385,385,Q,
20100511,KV.B,431,1531,Q,
20100512,KV.B,1600,16626,Q,
20100513,KV.B,1944,2144,Q,
20100518,KV.B,364,1777,Q,
20100520,KV.B,3830,8056,Q,
20100521,KV.B,7845,9045,Q,
20100524,KV.B,2206,3206,Q,
20100525,KV.B,1279,2065,Q,
20100526,KV.B,2850,6550,Q,
20100527,KV.B,6200,9800,Q,
20100528,KV.B,300,800,Q,
20100601,KV.B,1500,1600,Q,
20100603,KV.B,667,2167,Q,
20100607,KV.B,100,1400,Q,
20100608,KV.B,546,1446,Q,
20100609,KV.B,341,2441,Q,
20100610,KV.B,100,5000,Q,
20100611,KV.B,954,954,Q,
20100615,KV.B,100,3270,Q,
20100616,KV.B,100,275,Q,
20100617,KV.B,7516,9016,Q,
20100618,KV.B,12156,24531,Q,
20100621,KV.B,2910,5528,Q,
20100622,KV.B,232,1870,Q,
20100623,KV.B,4200,7300,Q,
20100624,KV.B,2330,5370,Q,
20100629,KV.B,200,2255,Q,
20100630,KV.B,100,300,Q,
20100701,KV.B,200,5800,Q,
20100702,KV.B,3825,4975,Q,
20100707,KV.B,2100,3800,Q,
20100708,KV.B,400,1000,Q,
20100709,KV.B,1991,4465,Q,
