,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,LABL,7005,14084,Q,
20100105,LABL,13076,19371,Q,
20100106,LABL,4985,7502,Q,
20100107,LABL,8135,10467,Q,
20100108,LABL,2797,7899,Q,
20100111,LABL,2955,5755,Q,
20100112,LABL,5767,51755,Q,
20100113,LABL,5204,5746,Q,
20100114,LABL,8234,12059,Q,
20100115,LABL,4553,7728,Q,
20100119,LABL,317,3830,Q,
20100120,LABL,2488,5532,Q,
20100121,LABL,5790,12095,Q,
20100122,LABL,3503,14003,Q,
20100125,LABL,1188,3930,Q,
20100126,LABL,250,4752,Q,
20100127,LABL,1708,3306,Q,
20100128,LABL,4236,10854,Q,
20100129,LABL,4726,12296,Q,
20100201,LABL,4310,7260,Q,
20100202,LABL,7053,27181,Q,
20100203,LABL,2400,6121,Q,
20100204,LABL,4967,10796,Q,
20100205,LABL,3928,20128,Q,
20100208,LABL,2050,2902,Q,
20100209,LABL,4519,5808,Q,
20100210,LABL,800,2387,Q,
20100211,LABL,700,2461,Q,
20100212,LABL,968,1618,Q,
20100216,LABL,1015,3850,Q,
20100217,LABL,5188,11476,Q,
20100218,LABL,2117,5212,Q,
20100219,LABL,3270,20432,Q,
20100222,LABL,5029,9550,Q,
20100223,LABL,4519,7399,Q,
20100224,LABL,1560,2739,Q,
20100225,LABL,1755,151864,Q,
20100226,LABL,4660,8286,Q,
20100301,LABL,5937,11107,Q,
20100302,LABL,4235,5440,Q,
20100303,LABL,5180,10079,Q,
20100304,LABL,998,2291,Q,
20100305,LABL,2601,9316,Q,
20100308,LABL,1000,2045,Q,
20100309,LABL,5890,11401,Q,
20100310,LABL,1600,3400,Q,
20100311,LABL,2543,2905,Q,
20100312,LABL,4191,11683,Q,
20100315,LABL,1100,2969,Q,
20100316,LABL,200,6334,Q,
20100317,LABL,2357,8357,Q,
20100318,LABL,755,3974,Q,
20100319,LABL,961,5082,Q,
20100322,LABL,1550,5492,Q,
20100324,LABL,745,5319,Q,
20100325,LABL,808,7873,Q,
20100326,LABL,595,12159,Q,
20100329,LABL,1700,4955,Q,
20100330,LABL,2100,4465,Q,
20100331,LABL,3008,7108,Q,
20100401,LABL,3853,9982,Q,
20100405,LABL,1925,3976,Q,
20100406,LABL,2893,3893,Q,
20100407,LABL,3363,7363,Q,
20100408,LABL,4033,8328,Q,
20100409,LABL,955,3822,Q,
20100412,LABL,1564,2923,Q,
20100413,LABL,100,1027,Q,
20100414,LABL,4190,8638,Q,
20100415,LABL,3409,9956,Q,
20100416,LABL,2660,7203,Q,
20100419,LABL,1278,3636,Q,
20100420,LABL,874,1706,Q,
20100421,LABL,1737,3216,Q,
20100422,LABL,2464,7302,Q,
20100423,LABL,5981,10987,Q,
20100426,LABL,12979,19187,Q,
20100427,LABL,1600,3437,Q,
20100428,LABL,2065,3478,Q,
20100429,LABL,4896,11051,Q,
20100430,LABL,700,7986,Q,
20100503,LABL,2150,8428,Q,
20100504,LABL,3500,5600,Q,
20100510,LABL,2800,8648,Q,
20100511,LABL,7231,10177,Q,
20100512,LABL,11520,23729,Q,
20100513,LABL,9252,12811,Q,
20100517,LABL,6519,9316,Q,
20100518,LABL,9164,13583,Q,
20100519,LABL,4405,13547,Q,
20100520,LABL,6243,13589,Q,
20100521,LABL,5418,12292,Q,
20100524,LABL,1938,8528,Q,
20100525,LABL,700,8312,Q,
20100526,LABL,7384,29586,Q,
20100527,LABL,1300,6685,Q,
20100528,LABL,1800,4277,Q,
20100601,LABL,4675,12243,Q,
20100602,LABL,3142,23869,Q,
20100603,LABL,1783,6682,Q,
20100604,LABL,6751,16403,Q,
20100607,LABL,2260,30280,Q,
20100608,LABL,1370,13080,Q,
20100609,LABL,2000,29811,Q,
20100610,LABL,2141,12087,Q,
20100611,LABL,2200,20745,Q,
20100614,LABL,7000,23185,Q,
20100615,LABL,4555,12689,Q,
20100616,LABL,8100,59342,Q,
20100617,LABL,19983,24883,Q,
20100618,LABL,8500,22491,Q,
20100621,LABL,2900,12600,Q,
20100622,LABL,2697,54301,Q,
20100623,LABL,3801,7301,Q,
20100624,LABL,4898,10254,Q,
20100625,LABL,10897,22554,Q,
20100628,LABL,9844,23071,Q,
20100629,LABL,3990,8188,Q,
20100630,LABL,7145,13478,Q,
20100701,LABL,10779,13707,Q,
20100702,LABL,750,7166,Q,
20100706,LABL,4634,6380,Q,
20100707,LABL,4142,10331,Q,
20100708,LABL,5946,9756,Q,
20100709,LABL,6428,17528,Q,
20110804,LABL,8144,13839,,0.0
