,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,LAMR,63542,99458,Q,
20100105,LAMR,149173,207755,Q,
20100106,LAMR,97103,324853,Q,
20100107,LAMR,81663,336819,Q,
20100108,LAMR,26204,448290,Q,
20100111,LAMR,41470,206883,Q,
20100112,LAMR,57737,143775,Q,
20100113,LAMR,71259,225456,Q,
20100114,LAMR,33094,533587,Q,
20100115,LAMR,83408,274586,Q,
20100119,LAMR,23397,124531,Q,
20100120,LAMR,66101,120387,Q,
20100121,LAMR,144449,364694,Q,
20100122,LAMR,119421,252313,Q,
20100125,LAMR,86098,203196,Q,
20100126,LAMR,51551,163944,Q,
20100127,LAMR,123622,280694,Q,
20100128,LAMR,101910,192939,Q,
20100129,LAMR,167632,226685,Q,
20100201,LAMR,55683,124586,Q,
20100202,LAMR,41503,83389,Q,
20100203,LAMR,70866,304964,Q,
20100204,LAMR,97889,271824,Q,
20100205,LAMR,54735,158351,Q,
20100208,LAMR,112540,232910,Q,
20100209,LAMR,39879,301413,Q,
20100210,LAMR,26721,43359,Q,
20100211,LAMR,36068,60293,Q,
20100212,LAMR,81625,130994,Q,
20100216,LAMR,14591,78839,Q,
20100217,LAMR,78625,113609,Q,
20100218,LAMR,55103,118077,Q,
20100219,LAMR,66893,195356,Q,
20100222,LAMR,45803,97544,Q,
20100223,LAMR,41261,155436,Q,
20100224,LAMR,91886,294779,Q,
20100225,LAMR,382244,948588,Q,
20100226,LAMR,117027,310647,Q,
20100301,LAMR,181912,373309,Q,
20100302,LAMR,88448,228412,Q,
20100303,LAMR,68405,202501,Q,
20100304,LAMR,57815,143142,Q,
20100305,LAMR,126141,328772,Q,
20100308,LAMR,25100,54000,Q,
20100309,LAMR,41971,169172,Q,
20100310,LAMR,42908,113288,Q,
20100311,LAMR,85782,211747,Q,
20100312,LAMR,144076,393184,Q,
20100315,LAMR,75273,159803,Q,
20100316,LAMR,314546,650637,Q,
20100317,LAMR,259077,817980,Q,
20100318,LAMR,92074,156310,Q,
20100319,LAMR,65317,119031,Q,
20100322,LAMR,32950,105216,Q,
20100323,LAMR,114459,391662,Q,
20100324,LAMR,67223,314230,Q,
20100325,LAMR,100741,379945,Q,
20100326,LAMR,76406,151788,Q,
20100329,LAMR,38825,65966,Q,
20100330,LAMR,147793,207932,Q,
20100331,LAMR,199916,234335,Q,
20100401,LAMR,55193,105129,Q,
20100405,LAMR,111210,178666,Q,
20100406,LAMR,26960,82837,Q,
20100407,LAMR,48272,282344,Q,
20100408,LAMR,83057,187475,Q,
20100409,LAMR,73586,134699,Q,
20100412,LAMR,68748,143589,Q,
20100413,LAMR,81869,119305,Q,
20100414,LAMR,85422,132883,Q,
20100415,LAMR,86014,317098,Q,
20100416,LAMR,364455,436781,Q,
20100419,LAMR,78658,217822,Q,
20100420,LAMR,96366,223574,Q,
20100421,LAMR,167359,336257,Q,
20100422,LAMR,125702,289419,Q,
20100423,LAMR,65963,301618,Q,
20100426,LAMR,126503,258251,Q,
20100427,LAMR,103187,167973,Q,
20100428,LAMR,62520,145780,Q,
20100429,LAMR,76820,212475,Q,
20100430,LAMR,87628,212632,Q,
20100503,LAMR,103322,292525,Q,
20100504,LAMR,150562,293383,Q,
20100510,LAMR,120488,210526,Q,
20100511,LAMR,119643,194067,Q,
20100512,LAMR,50522,89587,Q,
20100513,LAMR,98855,152957,Q,
20100517,LAMR,85520,162573,Q,
20100518,LAMR,55558,139757,Q,
20100519,LAMR,211428,453888,Q,
20100520,LAMR,394632,638820,Q,
20100521,LAMR,168030,588999,Q,
20100524,LAMR,49407,106437,Q,
20100525,LAMR,180801,330226,Q,
20100526,LAMR,136032,274230,Q,
20100527,LAMR,83346,179239,Q,
20100528,LAMR,42808,127801,Q,
20100601,LAMR,91360,305501,Q,
20100602,LAMR,129070,302384,Q,
20100603,LAMR,50724,104328,Q,
20100604,LAMR,319536,491033,Q,
20100607,LAMR,186575,279098,Q,
20100608,LAMR,146363,271609,Q,
20100609,LAMR,249841,359769,Q,
20100610,LAMR,187724,376878,Q,
20100611,LAMR,43341,104172,Q,
20100614,LAMR,41669,102679,Q,
20100615,LAMR,45052,243029,Q,
20100616,LAMR,59075,105289,Q,
20100617,LAMR,67876,252673,Q,
20100618,LAMR,18301,114475,Q,
20100621,LAMR,94258,175307,Q,
20100622,LAMR,178069,283420,Q,
20100623,LAMR,109919,236580,Q,
20100624,LAMR,38567,284507,Q,
20100625,LAMR,87694,208281,Q,
20100628,LAMR,175094,295537,Q,
20100629,LAMR,223966,473725,Q,
20100630,LAMR,177967,304477,Q,
20100701,LAMR,142015,223594,Q,
20100702,LAMR,211892,401334,Q,
20100706,LAMR,65490,173395,Q,
20100707,LAMR,172750,211403,Q,
20100708,LAMR,109608,164476,Q,
20100709,LAMR,58100,80075,Q,
20110804,LAMR,1070272,3193998,,38007.0
