,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,LCC,1445828,4202797,Q,
20100105,LCC,2688260,10458454,Q,
20100106,LCC,1923211,6478690,Q,
20100107,LCC,2026761,6690469,Q,
20100108,LCC,2307379,5452933,Q,
20100111,LCC,2097552,5631882,Q,
20100112,LCC,1435060,3494882,Q,
20100113,LCC,2845531,7320477,Q,
20100114,LCC,2414706,5794525,Q,
20100115,LCC,2765157,5145241,Q,
20100119,LCC,1612962,3808975,Q,
20100120,LCC,3699111,6692993,Q,
20100121,LCC,2818965,7288199,Q,
20100122,LCC,1564082,5396629,Q,
20100125,LCC,1914776,3815521,Q,
20100126,LCC,850748,4242741,Q,
20100127,LCC,3684297,10831075,Q,
20100128,LCC,2691442,6318571,Q,
20100129,LCC,4016930,7663594,Q,
20100201,LCC,2191044,3786532,Q,
20100202,LCC,2441678,5493397,Q,
20100203,LCC,2545329,4405535,Q,
20100204,LCC,2797575,5038923,Q,
20100205,LCC,4322229,8939792,Q,
20100208,LCC,2372733,4069190,Q,
20100209,LCC,3922431,8047324,Q,
20100210,LCC,2627290,4477688,Q,
20100211,LCC,2979551,6346653,Q,
20100212,LCC,3127846,6554649,Q,
20100216,LCC,2533893,6869831,Q,
20100217,LCC,1125264,2917829,Q,
20100218,LCC,848140,2904125,Q,
20100219,LCC,843990,2531229,Q,
20100222,LCC,1793544,5129647,Q,
20100223,LCC,3973133,6480241,Q,
20100224,LCC,2130775,4312201,Q,
20100225,LCC,1178208,3660918,Q,
20100226,LCC,1717213,4146874,Q,
20100301,LCC,2737040,5303423,Q,
20100302,LCC,2260752,3829596,Q,
20100303,LCC,4677830,8998900,Q,
20100304,LCC,1986555,4365438,Q,
20100305,LCC,1564504,3481513,Q,
20100308,LCC,1794661,3031968,Q,
20100309,LCC,2679607,6077355,Q,
20100310,LCC,1927086,4310263,Q,
20100311,LCC,1325324,3567683,Q,
20100312,LCC,3419406,7645544,Q,
20100315,LCC,804174,2201369,Q,
20100316,LCC,1012221,3053443,Q,
20100317,LCC,1240013,3541102,Q,
20100318,LCC,756101,2193643,Q,
20100319,LCC,1297191,3769317,Q,
20100322,LCC,829500,3572333,Q,
20100323,LCC,799646,2322941,Q,
20100324,LCC,1346244,2472021,Q,
20100325,LCC,662657,2542714,Q,
20100326,LCC,803408,2184949,Q,
20100329,LCC,556159,1396350,Q,
20100330,LCC,561454,1599340,Q,
20100331,LCC,935365,2324572,Q,
20100401,LCC,779137,1879138,Q,
20100405,LCC,1797732,5293391,Q,
20100406,LCC,1042682,3566096,Q,
20100407,LCC,1687062,5899135,Q,
20100408,LCC,11401527,24393574,Q,
20100409,LCC,1662102,6585004,Q,
20100412,LCC,1182128,6252326,Q,
20100413,LCC,1447999,4752922,Q,
20100414,LCC,1940752,7039860,Q,
20100415,LCC,2418066,7116369,Q,
20100416,LCC,2281496,5001648,Q,
20100419,LCC,2004735,5466889,Q,
20100420,LCC,1834012,4024260,Q,
20100421,LCC,2626149,7315436,Q,
20100422,LCC,4040839,9691134,Q,
20100423,LCC,2599476,6816465,Q,
20100426,LCC,2421809,5983759,Q,
20100427,LCC,3531503,8637105,Q,
20100428,LCC,5469877,12345488,Q,
20100429,LCC,3057183,6923223,Q,
20100430,LCC,2196464,4832132,Q,
20100503,LCC,1136832,3781865,Q,
20100504,LCC,1628657,4022803,Q,
20100510,LCC,1260837,3510658,Q,
20100511,LCC,1702582,4459672,Q,
20100512,LCC,1397990,4008722,Q,
20100513,LCC,1913221,4264855,Q,
20100517,LCC,2957825,4606028,Q,
20100518,LCC,1155316,2667704,Q,
20100519,LCC,3724399,6850160,Q,
20100520,LCC,2407274,4502754,Q,
20100521,LCC,2250689,4112825,Q,
20100524,LCC,1571933,2922332,Q,
20100525,LCC,3593694,8624987,Q,
20100526,LCC,5911346,13348559,Q,
20100527,LCC,2012167,5755134,Q,
20100528,LCC,1805635,4339506,Q,
20100601,LCC,2070088,3906143,Q,
20100602,LCC,3510983,7916951,Q,
20100603,LCC,1445532,4434351,Q,
20100604,LCC,1735487,4122088,Q,
20100607,LCC,2658302,8782769,Q,
20100608,LCC,1706357,3203082,Q,
20100609,LCC,2003659,3980598,Q,
20100610,LCC,2245878,4273897,Q,
20100611,LCC,3096846,6308386,Q,
20100614,LCC,2576268,4999250,Q,
20100615,LCC,3289180,7103071,Q,
20100616,LCC,5668289,8280672,Q,
20100617,LCC,2064179,3545948,Q,
20100618,LCC,1898798,3600247,Q,
20100621,LCC,3318258,5560452,Q,
20100622,LCC,3122649,6667696,Q,
20100623,LCC,1148191,2445503,Q,
20100624,LCC,1848587,3120487,Q,
20100625,LCC,1623172,3730175,Q,
20100628,LCC,1012052,2317506,Q,
20100629,LCC,1141885,2766958,Q,
20100630,LCC,1370405,2853356,Q,
20100701,LCC,1820222,3338213,Q,
20100702,LCC,1733450,3243298,Q,
20100706,LCC,1115829,2580485,Q,
20100707,LCC,3009053,6292938,Q,
20100708,LCC,1954623,3151508,Q,
20100709,LCC,1048849,2281345,Q,
20110804,LCC,1496251,3551993,,4700.0
