,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,LEDR,350,10250,Q,
20100106,LEDR,1000,6948,Q,
20100108,LEDR,10836,15764,Q,
20100111,LEDR,1219,17476,Q,
20100119,LEDR,13026,21149,Q,
20100126,LEDR,600,1804,Q,
20100129,LEDR,200,1650,Q,
20100222,LEDR,600,600,Q,
20100225,LEDR,3163,5513,Q,
20100226,LEDR,2699,2999,Q,
20100303,LEDR,906,7461,Q,
20100305,LEDR,3106,8556,Q,
20100308,LEDR,2000,25035,Q,
20100309,LEDR,700,21964,Q,
20100310,LEDR,500,10772,Q,
20100311,LEDR,200,1375,Q,
20100312,LEDR,3000,5500,Q,
20100322,LEDR,3800,10050,Q,
20100325,LEDR,250,1005,Q,
20100326,LEDR,6000,19300,Q,
20100329,LEDR,1000,3000,Q,
20100330,LEDR,13000,27050,Q,
20100331,LEDR,500,2200,Q,
20100406,LEDR,1200,10322,Q,
20100407,LEDR,312,5032,Q,
20100408,LEDR,5698,8188,Q,
20100409,LEDR,2700,4002,Q,
20100412,LEDR,5340,7740,Q,
20100413,LEDR,3251,3851,Q,
20100415,LEDR,1298,2298,Q,
20100416,LEDR,1500,5500,Q,
20100420,LEDR,1000,3850,Q,
20100421,LEDR,1336,4836,Q,
20100423,LEDR,2699,7563,Q,
20100426,LEDR,14200,19300,Q,
20100427,LEDR,1800,8057,Q,
20100428,LEDR,12895,19842,Q,
20100429,LEDR,3696,12783,Q,
20100430,LEDR,15579,20877,Q,
20100503,LEDR,5837,8505,Q,
20100504,LEDR,100,716,Q,
20100511,LEDR,3948,9398,Q,
20100512,LEDR,1100,1600,Q,
20100517,LEDR,400,600,Q,
20100525,LEDR,100,2700,Q,
20100527,LEDR,1153,4878,Q,
20100528,LEDR,566,2566,Q,
20100602,LEDR,1000,4104,Q,
20100607,LEDR,1433,4995,Q,
20100609,LEDR,5167,12941,Q,
20100610,LEDR,500,1500,Q,
20100615,LEDR,3712,6412,Q,
20100625,LEDR,500,8900,Q,
20100629,LEDR,404,1804,Q,
20100701,LEDR,1500,9958,Q,
20100702,LEDR,700,1100,Q,
20100706,LEDR,400,700,Q,
20100709,LEDR,3200,7993,Q,
20110804,LEDR,100,4811,,0.0
