,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,LIOX,15977,42626,Q,
20100105,LIOX,18256,44396,Q,
20100106,LIOX,21700,69451,Q,
20100107,LIOX,13336,26183,Q,
20100108,LIOX,14944,81066,Q,
20100111,LIOX,23033,39550,Q,
20100112,LIOX,9165,16675,Q,
20100113,LIOX,8891,16584,Q,
20100114,LIOX,5655,14065,Q,
20100115,LIOX,12391,34471,Q,
20100119,LIOX,84924,165918,Q,
20100120,LIOX,34231,101429,Q,
20100121,LIOX,18704,54111,Q,
20100122,LIOX,43223,96900,Q,
20100125,LIOX,31482,67791,Q,
20100126,LIOX,41159,90657,Q,
20100127,LIOX,12312,51544,Q,
20100128,LIOX,18215,41973,Q,
20100129,LIOX,34260,70916,Q,
20100201,LIOX,39542,80875,Q,
20100202,LIOX,47539,97591,Q,
20100203,LIOX,21603,43139,Q,
20100204,LIOX,12710,68767,Q,
20100205,LIOX,8768,61506,Q,
20100208,LIOX,23181,40944,Q,
20100209,LIOX,45494,112604,Q,
20100210,LIOX,395162,784762,Q,
20100211,LIOX,77249,197278,Q,
20100212,LIOX,74457,254253,Q,
20100216,LIOX,81294,129050,Q,
20100217,LIOX,74197,224973,Q,
20100218,LIOX,6789,127415,Q,
20100219,LIOX,30587,72823,Q,
20100222,LIOX,28702,220414,Q,
20100223,LIOX,169632,391227,Q,
20100224,LIOX,12860,61009,Q,
20100225,LIOX,14871,65502,Q,
20100226,LIOX,12876,72471,Q,
20100301,LIOX,9726,70097,Q,
20100302,LIOX,10644,55877,Q,
20100303,LIOX,8500,78751,Q,
20100304,LIOX,15152,35257,Q,
20100305,LIOX,51114,102995,Q,
20100308,LIOX,53366,180465,Q,
20100309,LIOX,35933,180270,Q,
20100310,LIOX,29256,75460,Q,
20100311,LIOX,14685,62494,Q,
20100312,LIOX,22870,45963,Q,
20100315,LIOX,23255,62130,Q,
20100316,LIOX,11524,250207,Q,
20100317,LIOX,22211,424541,Q,
20100318,LIOX,13476,51942,Q,
20100319,LIOX,10604,71238,Q,
20100322,LIOX,11962,68324,Q,
20100323,LIOX,24965,75066,Q,
20100324,LIOX,14106,89673,Q,
20100325,LIOX,8038,54892,Q,
20100326,LIOX,12445,95278,Q,
20100329,LIOX,7966,77519,Q,
20100330,LIOX,55460,152396,Q,
20100331,LIOX,82920,459906,Q,
20100401,LIOX,44209,162321,Q,
20100405,LIOX,43440,127202,Q,
20100406,LIOX,54095,170848,Q,
20100407,LIOX,27037,92848,Q,
20100408,LIOX,11761,97078,Q,
20100409,LIOX,24035,52456,Q,
20100412,LIOX,14610,56179,Q,
20100413,LIOX,14946,84859,Q,
20100414,LIOX,55942,134717,Q,
20100415,LIOX,24032,80310,Q,
20100416,LIOX,33676,324736,Q,
20100419,LIOX,37306,96294,Q,
20100420,LIOX,25100,124892,Q,
20100421,LIOX,55250,256122,Q,
20100422,LIOX,423316,1685472,Q,
20100423,LIOX,153792,477688,Q,
20100426,LIOX,225097,616698,Q,
20100427,LIOX,109195,508183,Q,
20100428,LIOX,134965,353783,Q,
20100429,LIOX,45786,146840,Q,
20100430,LIOX,50789,155725,Q,
20100503,LIOX,47232,105134,Q,
20100504,LIOX,51358,129910,Q,
20100510,LIOX,98295,253788,Q,
20100511,LIOX,47095,152859,Q,
20100512,LIOX,97528,221917,Q,
20100513,LIOX,85367,509467,Q,
20100517,LIOX,56878,200469,Q,
20100518,LIOX,65931,195571,Q,
20100519,LIOX,45690,104873,Q,
20100520,LIOX,105641,286162,Q,
20100521,LIOX,77704,276127,Q,
20100524,LIOX,54315,133481,Q,
20100525,LIOX,138574,260489,Q,
20100526,LIOX,59846,173563,Q,
20100527,LIOX,44091,162258,Q,
20100528,LIOX,34354,112063,Q,
20100601,LIOX,13011,46021,Q,
20100602,LIOX,44380,147779,Q,
20100603,LIOX,35495,159761,Q,
20100604,LIOX,41670,159823,Q,
20100607,LIOX,57900,201334,Q,
20100608,LIOX,16410,182886,Q,
20100609,LIOX,21854,171012,Q,
20100610,LIOX,34697,163287,Q,
20100611,LIOX,7530,43706,Q,
20100614,LIOX,15338,82490,Q,
20100615,LIOX,42853,123638,Q,
20100616,LIOX,47791,175525,Q,
20100617,LIOX,20292,63981,Q,
20100618,LIOX,30134,152404,Q,
20100621,LIOX,24717,122625,Q,
20100622,LIOX,14216,44215,Q,
20100623,LIOX,2843,59837,Q,
20100624,LIOX,16406,82266,Q,
20100625,LIOX,29101,199951,Q,
20100628,LIOX,14533,146140,Q,
20100629,LIOX,59390,177920,Q,
20100630,LIOX,20202,75791,Q,
20100701,LIOX,27791,103072,Q,
20100702,LIOX,25361,77576,Q,
20100706,LIOX,31072,73081,Q,
20100707,LIOX,33981,127845,Q,
20100708,LIOX,32150,132118,Q,
20100709,LIOX,11906,33874,Q,
20110804,LIOX,11871,125409,,0.0
