,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,LLTC,279954,592007,Q,
20100105,LLTC,278622,688234,Q,
20100106,LLTC,542237,854937,Q,
20100107,LLTC,262570,539322,Q,
20100108,LLTC,275183,533535,Q,
20100111,LLTC,815305,1139590,Q,
20100112,LLTC,706099,1221844,Q,
20100113,LLTC,1185625,2273588,Q,
20100114,LLTC,376765,849108,Q,
20100115,LLTC,788116,1366771,Q,
20100119,LLTC,353451,1040589,Q,
20100120,LLTC,460962,964598,Q,
20100121,LLTC,442466,865911,Q,
20100122,LLTC,674067,1374649,Q,
20100125,LLTC,254317,635640,Q,
20100126,LLTC,222646,684277,Q,
20100127,LLTC,363197,896272,Q,
20100128,LLTC,536712,1273699,Q,
20100129,LLTC,536183,1332985,Q,
20100201,LLTC,791916,1274641,Q,
20100202,LLTC,340702,873420,Q,
20100203,LLTC,211020,459543,Q,
20100204,LLTC,411776,894484,Q,
20100205,LLTC,552338,1002719,Q,
20100208,LLTC,465658,806956,Q,
20100209,LLTC,348757,655411,Q,
20100210,LLTC,369408,636783,Q,
20100211,LLTC,466262,814015,Q,
20100212,LLTC,419399,789027,Q,
20100216,LLTC,334354,713277,Q,
20100217,LLTC,321638,662357,Q,
20100218,LLTC,287394,607790,Q,
20100219,LLTC,305041,694317,Q,
20100222,LLTC,144108,499842,Q,
20100223,LLTC,765568,1401550,Q,
20100224,LLTC,215242,507035,Q,
20100225,LLTC,397658,854691,Q,
20100226,LLTC,253553,536973,Q,
20100301,LLTC,359292,823661,Q,
20100302,LLTC,241380,437904,Q,
20100303,LLTC,284029,660562,Q,
20100304,LLTC,338474,1162393,Q,
20100305,LLTC,271397,745518,Q,
20100308,LLTC,223797,508428,Q,
20100309,LLTC,349889,993214,Q,
20100310,LLTC,922219,1683801,Q,
20100311,LLTC,461803,920600,Q,
20100312,LLTC,211607,672527,Q,
20100315,LLTC,208604,486768,Q,
20100316,LLTC,938676,1603880,Q,
20100317,LLTC,973593,1687651,Q,
20100318,LLTC,298529,585736,Q,
20100319,LLTC,372069,684141,Q,
20100322,LLTC,372201,681992,Q,
20100323,LLTC,440704,920041,Q,
20100324,LLTC,422634,952421,Q,
20100325,LLTC,339432,1271780,Q,
20100326,LLTC,279708,760684,Q,
20100329,LLTC,518278,992252,Q,
20100330,LLTC,364411,651597,Q,
20100331,LLTC,274283,979273,Q,
20100401,LLTC,288302,665022,Q,
20100405,LLTC,380225,579080,Q,
20100406,LLTC,396979,623787,Q,
20100407,LLTC,428367,829003,Q,
20100408,LLTC,296506,754459,Q,
20100409,LLTC,363949,735554,Q,
20100412,LLTC,487786,983856,Q,
20100413,LLTC,771344,1511499,Q,
20100414,LLTC,1884555,3373823,Q,
20100415,LLTC,1233095,2192153,Q,
20100416,LLTC,890947,1907183,Q,
20100419,LLTC,511722,1363483,Q,
20100420,LLTC,365914,837220,Q,
20100421,LLTC,532086,1313268,Q,
20100422,LLTC,489490,970913,Q,
20100423,LLTC,302504,631404,Q,
20100426,LLTC,279552,549779,Q,
20100427,LLTC,502898,1098422,Q,
20100428,LLTC,489466,980157,Q,
20100429,LLTC,280182,618366,Q,
20100430,LLTC,448934,894926,Q,
20100503,LLTC,306254,547264,Q,
20100504,LLTC,728366,1474046,Q,
20100510,LLTC,731911,1245522,Q,
20100511,LLTC,549378,903853,Q,
20100512,LLTC,400229,792827,Q,
20100513,LLTC,445428,855450,Q,
20100517,LLTC,559209,1073699,Q,
20100518,LLTC,413761,919588,Q,
20100519,LLTC,560777,1398376,Q,
20100520,LLTC,631687,1475272,Q,
20100521,LLTC,639816,1368402,Q,
20100524,LLTC,436797,856412,Q,
20100525,LLTC,501820,986263,Q,
20100526,LLTC,516331,1175612,Q,
20100527,LLTC,390810,792769,Q,
20100528,LLTC,441206,907185,Q,
20100601,LLTC,334848,618039,Q,
20100602,LLTC,276120,588813,Q,
20100603,LLTC,482568,779820,Q,
20100604,LLTC,375982,601059,Q,
20100607,LLTC,427581,768158,Q,
20100608,LLTC,958405,2234534,Q,
20100609,LLTC,384208,859111,Q,
20100610,LLTC,288096,687180,Q,
20100611,LLTC,376509,821160,Q,
20100614,LLTC,235900,700805,Q,
20100615,LLTC,628718,1240763,Q,
20100616,LLTC,481355,1058004,Q,
20100617,LLTC,303616,783149,Q,
20100618,LLTC,175264,351539,Q,
20100621,LLTC,183357,486722,Q,
20100622,LLTC,190271,639242,Q,
20100623,LLTC,401879,897203,Q,
20100624,LLTC,491242,848727,Q,
20100625,LLTC,295233,532150,Q,
20100628,LLTC,296705,459575,Q,
20100629,LLTC,544771,1034620,Q,
20100630,LLTC,467583,711668,Q,
20100701,LLTC,513065,897537,Q,
20100702,LLTC,546227,1087624,Q,
20100706,LLTC,619361,1360650,Q,
20100707,LLTC,636515,1398584,Q,
20100708,LLTC,447111,815466,Q,
20100709,LLTC,438943,982347,Q,
20110804,LLTC,528888,1107648,,0.0
