,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,LMAT,3200,46057,Q,
20100105,LMAT,10490,19420,Q,
20100106,LMAT,1191,5053,Q,
20100107,LMAT,100,450,Q,
20100108,LMAT,1395,3686,Q,
20100111,LMAT,1500,6716,Q,
20100113,LMAT,700,700,Q,
20100115,LMAT,200,1985,Q,
20100119,LMAT,100,5834,Q,
20100120,LMAT,750,147150,Q,
20100122,LMAT,1400,3300,Q,
20100126,LMAT,1600,5163,Q,
20100127,LMAT,100,533,Q,
20100128,LMAT,3500,4900,Q,
20100129,LMAT,1200,9180,Q,
20100204,LMAT,2300,4995,Q,
20100208,LMAT,300,1000,Q,
20100209,LMAT,300,3762,Q,
20100211,LMAT,100,1600,Q,
20100212,LMAT,3000,5800,Q,
20100216,LMAT,700,1400,Q,
20100217,LMAT,1500,6768,Q,
20100222,LMAT,1000,1100,Q,
20100225,LMAT,300,800,Q,
20100226,LMAT,500,1000,Q,
20100301,LMAT,200,1979,Q,
20100303,LMAT,300,500,Q,
20100304,LMAT,2500,3849,Q,
20100305,LMAT,400,2302,Q,
20100308,LMAT,700,5705,Q,
20100309,LMAT,3600,5300,Q,
20100310,LMAT,4300,9769,Q,
20100311,LMAT,4300,8450,Q,
20100316,LMAT,3359,6109,Q,
20100317,LMAT,4382,15745,Q,
20100318,LMAT,7235,19935,Q,
20100323,LMAT,600,1796,Q,
20100324,LMAT,208,608,Q,
20100325,LMAT,500,398745,Q,
20100326,LMAT,13100,14398,Q,
20100329,LMAT,100,33369,Q,
20100330,LMAT,200,600,Q,
20100331,LMAT,775,1175,Q,
20100401,LMAT,910,1310,Q,
20100405,LMAT,100,230,Q,
20100406,LMAT,600,1300,Q,
20100407,LMAT,200,2387,Q,
20100409,LMAT,400,4340,Q,
20100412,LMAT,1200,4830,Q,
20100413,LMAT,4309,7459,Q,
20100415,LMAT,300,1850,Q,
20100416,LMAT,4269,17238,Q,
20100419,LMAT,200,8717,Q,
20100421,LMAT,100,3000,Q,
20100423,LMAT,1854,3284,Q,
20100426,LMAT,500,500,Q,
20100427,LMAT,600,1400,Q,
20100429,LMAT,1118,4390,Q,
20100430,LMAT,16731,47460,Q,
20100503,LMAT,4440,50227,Q,
20100504,LMAT,797,2497,Q,
20100510,LMAT,3100,7275,Q,
20100511,LMAT,2777,3927,Q,
20100512,LMAT,1573,6439,Q,
20100517,LMAT,2391,2891,Q,
20100518,LMAT,1848,5393,Q,
20100520,LMAT,3218,6568,Q,
20100524,LMAT,210,1866,Q,
20100525,LMAT,1200,4942,Q,
20100526,LMAT,400,1550,Q,
20100527,LMAT,7790,13067,Q,
20100528,LMAT,300,1789,Q,
20100601,LMAT,1000,2051,Q,
20100602,LMAT,2190,4959,Q,
20100603,LMAT,200,50500,Q,
20100604,LMAT,1066,4133,Q,
20100607,LMAT,800,2250,Q,
20100608,LMAT,1731,7331,Q,
20100609,LMAT,4300,5122,Q,
20100610,LMAT,100,2413,Q,
20100615,LMAT,300,1200,Q,
20100622,LMAT,800,2438,Q,
20100629,LMAT,5000,6400,Q,
20100702,LMAT,100,2796,Q,
20100707,LMAT,100,1100,Q,
20100708,LMAT,2500,4100,Q,
20100709,LMAT,500,4314,Q,
20110804,LMAT,1100,5462,,0.0
