,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MCBC,2100,18693,Q,
20100105,MCBC,13108,44574,Q,
20100106,MCBC,10759,37683,Q,
20100107,MCBC,11523,25329,Q,
20100108,MCBC,6100,27925,Q,
20100111,MCBC,2764,24245,Q,
20100112,MCBC,300,7943,Q,
20100113,MCBC,6277,10727,Q,
20100114,MCBC,3081,11769,Q,
20100115,MCBC,14704,37810,Q,
20100119,MCBC,1274,5764,Q,
20100120,MCBC,2500,16135,Q,
20100121,MCBC,18815,26490,Q,
20100122,MCBC,11399,34483,Q,
20100125,MCBC,7555,21735,Q,
20100126,MCBC,3144,9395,Q,
20100127,MCBC,1000,8170,Q,
20100128,MCBC,3900,31775,Q,
20100129,MCBC,25250,34637,Q,
20100201,MCBC,34410,43355,Q,
20100202,MCBC,6500,32360,Q,
20100203,MCBC,5820,8694,Q,
20100204,MCBC,27000,31303,Q,
20100205,MCBC,7704,18424,Q,
20100208,MCBC,3761,11353,Q,
20100209,MCBC,2700,6324,Q,
20100210,MCBC,1300,2010,Q,
20100211,MCBC,400,3763,Q,
20100212,MCBC,64860,73575,Q,
20100216,MCBC,3779,11332,Q,
20100218,MCBC,2200,7743,Q,
20100219,MCBC,800,9518,Q,
20100222,MCBC,600,3332,Q,
20100223,MCBC,3900,10194,Q,
20100224,MCBC,1059,5769,Q,
20100225,MCBC,5602,35811,Q,
20100226,MCBC,10456,38092,Q,
20100301,MCBC,2519,8844,Q,
20100302,MCBC,1200,9436,Q,
20100303,MCBC,1306,5357,Q,
20100304,MCBC,6863,13738,Q,
20100305,MCBC,10408,23574,Q,
20100308,MCBC,1600,6253,Q,
20100309,MCBC,1711,14576,Q,
20100310,MCBC,3354,23979,Q,
20100311,MCBC,1770,19878,Q,
20100312,MCBC,5711,17666,Q,
20100315,MCBC,2608,5908,Q,
20100317,MCBC,3125,14620,Q,
20100319,MCBC,50200,64576,Q,
20100322,MCBC,16866,24872,Q,
20100324,MCBC,5626,14820,Q,
20100325,MCBC,8803,18586,Q,
20100329,MCBC,550,9414,Q,
20100330,MCBC,7071,18080,Q,
20100331,MCBC,1328,6517,Q,
20100401,MCBC,13725,29994,Q,
20100405,MCBC,6367,17676,Q,
20100406,MCBC,27527,81875,Q,
20100407,MCBC,40447,78372,Q,
20100408,MCBC,21856,75008,Q,
20100409,MCBC,31826,51722,Q,
20100412,MCBC,13632,53874,Q,
20100413,MCBC,21304,74047,Q,
20100414,MCBC,9538,26476,Q,
20100415,MCBC,1896,15737,Q,
20100416,MCBC,1254,12523,Q,
20100419,MCBC,824,9729,Q,
20100420,MCBC,2100,4928,Q,
20100421,MCBC,32413,39207,Q,
20100422,MCBC,24202,52911,Q,
20100423,MCBC,107847,241756,Q,
20100426,MCBC,95693,223889,Q,
20100427,MCBC,49661,182049,Q,
20100428,MCBC,24563,92489,Q,
20100429,MCBC,41196,151329,Q,
20100430,MCBC,68832,158069,Q,
20100503,MCBC,30512,67981,Q,
20100504,MCBC,9700,24400,Q,
20100510,MCBC,12986,34433,Q,
20100511,MCBC,2944,11148,Q,
20100512,MCBC,12600,40431,Q,
20100513,MCBC,2955,15106,Q,
20100517,MCBC,2667,10734,Q,
20100518,MCBC,4200,37281,Q,
20100519,MCBC,5600,18487,Q,
20100520,MCBC,6100,18123,Q,
20100521,MCBC,2500,13452,Q,
20100524,MCBC,1000,5450,Q,
20100525,MCBC,2925,16775,Q,
20100526,MCBC,2480,28018,Q,
20100527,MCBC,4136,11472,Q,
20100528,MCBC,3100,9742,Q,
20100602,MCBC,100,5200,Q,
20100604,MCBC,2039,15168,Q,
20100607,MCBC,200,1677,Q,
20100608,MCBC,5738,12636,Q,
20100609,MCBC,1100,9588,Q,
20100610,MCBC,289,3651,Q,
20100611,MCBC,3204,13213,Q,
20100614,MCBC,1800,13016,Q,
20100615,MCBC,200,5550,Q,
20100616,MCBC,1215,8922,Q,
20100621,MCBC,2456,10661,Q,
20100622,MCBC,15857,26657,Q,
20100623,MCBC,10950,21611,Q,
20100624,MCBC,30534,61612,Q,
20100625,MCBC,10295,34667,Q,
20100628,MCBC,82646,127886,Q,
20100629,MCBC,5655,19555,Q,
20100630,MCBC,34840,57191,Q,
20100701,MCBC,9305,22252,Q,
20100702,MCBC,200,6084,Q,
20100706,MCBC,3862,8062,Q,
20100707,MCBC,6977,15686,Q,
20100708,MCBC,8350,25923,Q,
20100709,MCBC,4200,8961,Q,
20110804,MCBC,9700,30418,,0.0
