,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MCRL,30354,96821,Q,
20100105,MCRL,23017,53453,Q,
20100106,MCRL,30409,67108,Q,
20100107,MCRL,23190,71382,Q,
20100108,MCRL,12278,31240,Q,
20100111,MCRL,13857,28496,Q,
20100112,MCRL,66564,86709,Q,
20100113,MCRL,87989,155770,Q,
20100114,MCRL,22436,44177,Q,
20100115,MCRL,42088,81439,Q,
20100119,MCRL,87239,144910,Q,
20100120,MCRL,57944,111294,Q,
20100121,MCRL,92662,185077,Q,
20100122,MCRL,55193,178396,Q,
20100125,MCRL,11160,61404,Q,
20100126,MCRL,23821,86466,Q,
20100127,MCRL,21702,48577,Q,
20100128,MCRL,54132,120737,Q,
20100129,MCRL,46688,251053,Q,
20100201,MCRL,24044,115618,Q,
20100202,MCRL,39489,70519,Q,
20100203,MCRL,40082,237699,Q,
20100204,MCRL,24883,189239,Q,
20100205,MCRL,75697,203536,Q,
20100208,MCRL,26999,55655,Q,
20100209,MCRL,131933,1273588,Q,
20100210,MCRL,32406,66674,Q,
20100211,MCRL,32960,96201,Q,
20100212,MCRL,64053,146534,Q,
20100216,MCRL,46439,116534,Q,
20100217,MCRL,15507,63192,Q,
20100218,MCRL,22179,65864,Q,
20100219,MCRL,20746,114492,Q,
20100222,MCRL,114852,196095,Q,
20100223,MCRL,121829,220781,Q,
20100224,MCRL,141407,319735,Q,
20100225,MCRL,75078,328599,Q,
20100226,MCRL,94405,216024,Q,
20100301,MCRL,166539,560020,Q,
20100302,MCRL,102203,225201,Q,
20100303,MCRL,228539,389466,Q,
20100304,MCRL,139769,269683,Q,
20100305,MCRL,67812,391869,Q,
20100308,MCRL,74391,347818,Q,
20100309,MCRL,168981,512626,Q,
20100310,MCRL,320001,766605,Q,
20100311,MCRL,92610,304502,Q,
20100312,MCRL,57494,258555,Q,
20100315,MCRL,70868,298722,Q,
20100316,MCRL,56746,319426,Q,
20100317,MCRL,71413,518081,Q,
20100318,MCRL,28197,109744,Q,
20100319,MCRL,37282,103451,Q,
20100322,MCRL,80640,199513,Q,
20100323,MCRL,95833,194118,Q,
20100324,MCRL,228297,464345,Q,
20100325,MCRL,75282,162098,Q,
20100326,MCRL,37958,113787,Q,
20100329,MCRL,39710,164955,Q,
20100330,MCRL,163188,527068,Q,
20100331,MCRL,209546,374678,Q,
20100401,MCRL,161841,310179,Q,
20100405,MCRL,36298,60212,Q,
20100406,MCRL,50614,161274,Q,
20100407,MCRL,366008,481105,Q,
20100408,MCRL,69687,138988,Q,
20100409,MCRL,35883,76956,Q,
20100412,MCRL,24281,66512,Q,
20100413,MCRL,44312,73806,Q,
20100414,MCRL,86680,176222,Q,
20100415,MCRL,76241,330704,Q,
20100416,MCRL,62398,115411,Q,
20100419,MCRL,56982,116519,Q,
20100420,MCRL,26735,99222,Q,
20100421,MCRL,33270,70900,Q,
20100422,MCRL,144444,317268,Q,
20100423,MCRL,175296,433061,Q,
20100426,MCRL,79189,246680,Q,
20100427,MCRL,132326,243244,Q,
20100428,MCRL,106693,203991,Q,
20100429,MCRL,51272,160419,Q,
20100430,MCRL,204983,309764,Q,
20100503,MCRL,41895,180194,Q,
20100504,MCRL,78378,159629,Q,
20100510,MCRL,160983,239027,Q,
20100511,MCRL,68840,157329,Q,
20100512,MCRL,54902,114032,Q,
20100513,MCRL,143961,228106,Q,
20100517,MCRL,292665,409563,Q,
20100518,MCRL,119545,204271,Q,
20100519,MCRL,118293,181157,Q,
20100520,MCRL,90123,158295,Q,
20100521,MCRL,249987,379523,Q,
20100524,MCRL,144806,220343,Q,
20100525,MCRL,125785,209060,Q,
20100526,MCRL,203498,306696,Q,
20100527,MCRL,98711,203185,Q,
20100528,MCRL,115009,178430,Q,
20100601,MCRL,102505,138325,Q,
20100602,MCRL,48078,153050,Q,
20100603,MCRL,106414,222299,Q,
20100604,MCRL,109437,185567,Q,
20100607,MCRL,66079,139748,Q,
20100608,MCRL,95815,242179,Q,
20100609,MCRL,119604,193631,Q,
20100610,MCRL,72604,138914,Q,
20100611,MCRL,92532,150746,Q,
20100614,MCRL,74532,128305,Q,
20100615,MCRL,203020,311271,Q,
20100616,MCRL,34330,80612,Q,
20100617,MCRL,97767,218891,Q,
20100618,MCRL,84703,299992,Q,
20100621,MCRL,128546,323123,Q,
20100622,MCRL,28822,150110,Q,
20100623,MCRL,91213,212627,Q,
20100624,MCRL,49529,105748,Q,
20100625,MCRL,161004,358123,Q,
20100628,MCRL,50164,112738,Q,
20100629,MCRL,61444,112479,Q,
20100630,MCRL,52704,88400,Q,
20100701,MCRL,90032,141064,Q,
20100702,MCRL,70790,110019,Q,
20100706,MCRL,37914,81846,Q,
20100707,MCRL,23612,67187,Q,
20100708,MCRL,92482,198628,Q,
20100709,MCRL,82155,245615,Q,
20110804,MCRL,23121,43066,,0.0
