,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MD,19625,86199,Q,
20100105,MD,4810,31009,Q,
20100106,MD,10247,73775,Q,
20100107,MD,13985,47855,Q,
20100108,MD,6052,73609,Q,
20100111,MD,5838,44848,Q,
20100112,MD,8893,63277,Q,
20100113,MD,14464,41146,Q,
20100114,MD,6331,179276,Q,
20100115,MD,8011,122356,Q,
20100119,MD,13188,93836,Q,
20100120,MD,59782,184186,Q,
20100121,MD,41717,153877,Q,
20100122,MD,76441,361172,Q,
20100125,MD,39238,81437,Q,
20100126,MD,23590,57180,Q,
20100127,MD,66950,119978,Q,
20100128,MD,31325,132939,Q,
20100129,MD,36578,81716,Q,
20100201,MD,39271,92564,Q,
20100202,MD,51126,91032,Q,
20100203,MD,11270,37503,Q,
20100204,MD,33450,141769,Q,
20100205,MD,146190,464105,Q,
20100208,MD,60146,166082,Q,
20100209,MD,61525,111233,Q,
20100210,MD,7829,63873,Q,
20100211,MD,24730,59571,Q,
20100212,MD,73910,90407,Q,
20100216,MD,59494,98032,Q,
20100217,MD,18745,41883,Q,
20100218,MD,8157,36035,Q,
20100219,MD,120040,149821,Q,
20100222,MD,30325,54915,Q,
20100223,MD,17369,34660,Q,
20100224,MD,24936,51650,Q,
20100225,MD,38762,84308,Q,
20100226,MD,39880,52356,Q,
20100301,MD,30783,45795,Q,
20100302,MD,15469,27565,Q,
20100303,MD,15090,28482,Q,
20100304,MD,37682,51308,Q,
20100305,MD,23644,59673,Q,
20100308,MD,169114,659241,Q,
20100309,MD,99954,271635,Q,
20100310,MD,28890,204299,Q,
20100311,MD,30845,121412,Q,
20100312,MD,23490,147434,Q,
20100315,MD,15047,30604,Q,
20100316,MD,33653,148943,Q,
20100317,MD,34538,111085,Q,
20100318,MD,150432,307056,Q,
20100319,MD,27949,98534,Q,
20100322,MD,9539,45389,Q,
20100323,MD,21078,63858,Q,
20100324,MD,29506,117795,Q,
20100325,MD,32171,161398,Q,
20100326,MD,11632,160714,Q,
20100329,MD,59896,142745,Q,
20100330,MD,54925,86951,Q,
20100331,MD,24039,72771,Q,
20100401,MD,50927,257227,Q,
20100405,MD,21249,381145,Q,
20100406,MD,29451,136015,Q,
20100407,MD,49506,90034,Q,
20100408,MD,22749,152341,Q,
20100409,MD,9788,154888,Q,
20100412,MD,61069,115300,Q,
20100413,MD,18834,41321,Q,
20100414,MD,22459,40694,Q,
20100415,MD,11765,35455,Q,
20100416,MD,14439,139942,Q,
20100419,MD,7266,56541,Q,
20100420,MD,17637,289249,Q,
20100421,MD,12000,100441,Q,
20100422,MD,75842,190403,Q,
20100423,MD,48109,159701,Q,
20100426,MD,23413,62461,Q,
20100427,MD,15377,146301,Q,
20100428,MD,57051,138414,Q,
20100429,MD,127802,264335,Q,
20100430,MD,140619,254488,Q,
20100503,MD,70022,172532,Q,
20100504,MD,105392,163171,Q,
20100510,MD,41019,64312,Q,
20100511,MD,55476,91132,Q,
20100512,MD,9356,22496,Q,
20100513,MD,112442,145823,Q,
20100517,MD,22309,51146,Q,
20100518,MD,88933,162091,Q,
20100519,MD,25405,43873,Q,
20100520,MD,117710,211464,Q,
20100521,MD,52075,111620,Q,
20100524,MD,9595,22617,Q,
20100525,MD,31142,64287,Q,
20100526,MD,50014,253613,Q,
20100527,MD,30290,142634,Q,
20100528,MD,46958,92461,Q,
20100601,MD,25416,70793,Q,
20100602,MD,29774,69430,Q,
20100603,MD,34108,62585,Q,
20100604,MD,24130,38955,Q,
20100607,MD,33045,80971,Q,
20100608,MD,25705,71001,Q,
20100609,MD,79345,187710,Q,
20100610,MD,13075,30879,Q,
20100611,MD,10500,43730,Q,
20100614,MD,57005,86439,Q,
20100615,MD,47027,70736,Q,
20100616,MD,34182,54468,Q,
20100617,MD,14705,70133,Q,
20100618,MD,14475,31910,Q,
20100621,MD,16161,36205,Q,
20100622,MD,25915,87967,Q,
20100623,MD,23801,135491,Q,
20100624,MD,78452,98284,Q,
20100625,MD,45454,116271,Q,
20100628,MD,51338,124619,Q,
20100629,MD,37810,57827,Q,
20100630,MD,26108,43010,Q,
20100701,MD,210140,292010,Q,
20100702,MD,30053,50978,Q,
20100706,MD,9778,61727,Q,
20100707,MD,15890,48881,Q,
20100708,MD,23946,37530,Q,
20100709,MD,33192,151516,Q,
20110804,MD,111326,136276,,0.0
