,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MERR,700,4022,Q,
20100105,MERR,8188,64794,Q,
20100107,MERR,3590,13046,Q,
20100108,MERR,3200,5866,Q,
20100111,MERR,11100,16345,Q,
20100112,MERR,4900,5800,Q,
20100113,MERR,6100,9400,Q,
20100114,MERR,3700,4100,Q,
20100115,MERR,6686,13052,Q,
20100119,MERR,33066,48105,Q,
20100120,MERR,1800,13799,Q,
20100121,MERR,2000,9360,Q,
20100125,MERR,8800,11198,Q,
20100126,MERR,1100,2352,Q,
20100127,MERR,4010,6757,Q,
20100128,MERR,3400,5600,Q,
20100129,MERR,9100,57500,Q,
20100201,MERR,1214,17673,Q,
20100202,MERR,4400,15251,Q,
20100203,MERR,1400,6000,Q,
20100205,MERR,10900,23400,Q,
20100208,MERR,3250,5750,Q,
20100209,MERR,6800,15042,Q,
20100211,MERR,1250,1750,Q,
20100212,MERR,1000,1830,Q,
20100216,MERR,2150,4150,Q,
20100217,MERR,1100,4500,Q,
20100222,MERR,2000,2215,Q,
20100224,MERR,6000,26432,Q,
20100225,MERR,372,4442,Q,
20100305,MERR,1500,18315,Q,
20100308,MERR,320,2649,Q,
20100309,MERR,2919,18094,Q,
20100310,MERR,500,1585,Q,
20100311,MERR,2112,9224,Q,
20100312,MERR,800,14135,Q,
20100315,MERR,2450,10193,Q,
20100317,MERR,386,6436,Q,
20100318,MERR,700,2186,Q,
20100319,MERR,21825,28625,Q,
20100322,MERR,7858,14908,Q,
20100323,MERR,27351,226156,Q,
20100324,MERR,36650,41950,Q,
20100325,MERR,5450,14693,Q,
20100326,MERR,6400,34250,Q,
20100329,MERR,100,4830,Q,
20100330,MERR,3200,7217,Q,
20100331,MERR,3100,4900,Q,
20100401,MERR,2200,6200,Q,
20100405,MERR,3430,17530,Q,
20100406,MERR,6130,29336,Q,
20100407,MERR,1300,20099,Q,
20100408,MERR,3900,9995,Q,
20100409,MERR,2900,23904,Q,
20100413,MERR,13700,22965,Q,
20100414,MERR,16015,42724,Q,
20100415,MERR,8000,9200,Q,
20100416,MERR,2900,11292,Q,
20100419,MERR,1500,9850,Q,
20100420,MERR,100,10229,Q,
20100421,MERR,2790,15645,Q,
20100422,MERR,42150,101928,Q,
20100423,MERR,24900,54812,Q,
20100426,MERR,1200,22038,Q,
20100427,MERR,14700,33877,Q,
20100428,MERR,3701,11426,Q,
20100429,MERR,3975,20255,Q,
20100430,MERR,3500,12938,Q,
20100503,MERR,4443,21538,Q,
20100510,MERR,6400,16600,Q,
20100511,MERR,7300,36143,Q,
20100517,MERR,8900,16060,Q,
20100518,MERR,1800,7000,Q,
20100519,MERR,1300,5400,Q,
20100520,MERR,2350,9850,Q,
20100521,MERR,700,12100,Q,
20100525,MERR,5300,19376,Q,
20100526,MERR,13099,29899,Q,
20100527,MERR,13500,26630,Q,
20100528,MERR,12100,18430,Q,
20100601,MERR,1200,1200,Q,
20100602,MERR,5714,9728,Q,
20100603,MERR,8175,11575,Q,
20100604,MERR,5600,8600,Q,
20100607,MERR,21260,35580,Q,
20100608,MERR,1400,5590,Q,
20100609,MERR,4000,14200,Q,
20100610,MERR,8900,17424,Q,
20100611,MERR,7700,9200,Q,
20100614,MERR,6600,11729,Q,
20100615,MERR,4500,6700,Q,
20100616,MERR,500,6960,Q,
20100618,MERR,9729,13029,Q,
20100622,MERR,2900,7640,Q,
20100625,MERR,1000,6000,Q,
20100702,MERR,7700,12700,Q,
20100706,MERR,7700,16700,Q,
20100707,MERR,700,5800,Q,
20110804,MERR,1350,1850,,0.0
