,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MERX,13942,51364,Q,
20100105,MERX,51631,144008,Q,
20100106,MERX,6667,26523,Q,
20100107,MERX,7818,41466,Q,
20100108,MERX,19283,51911,Q,
20100111,MERX,5957,19514,Q,
20100112,MERX,12087,33428,Q,
20100113,MERX,22022,81737,Q,
20100114,MERX,8638,48659,Q,
20100115,MERX,26434,91943,Q,
20100119,MERX,13938,29500,Q,
20100120,MERX,7625,32878,Q,
20100121,MERX,4050,9825,Q,
20100122,MERX,11523,28923,Q,
20100125,MERX,3400,10964,Q,
20100126,MERX,500,8519,Q,
20100127,MERX,22217,47273,Q,
20100128,MERX,200,2920,Q,
20100129,MERX,1218,19785,Q,
20100201,MERX,3200,13154,Q,
20100202,MERX,27300,45973,Q,
20100203,MERX,11377,32103,Q,
20100204,MERX,1581,9125,Q,
20100205,MERX,600,7767,Q,
20100208,MERX,200,9020,Q,
20100209,MERX,900,5981,Q,
20100210,MERX,760,3560,Q,
20100212,MERX,500,25787,Q,
20100216,MERX,1100,12844,Q,
