,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MF,67091,378499,Q,
20100105,MF,30728,211517,Q,
20100106,MF,80381,415459,Q,
20100107,MF,160844,537304,Q,
20100108,MF,70210,251059,Q,
20100111,MF,70343,277483,Q,
20100112,MF,182746,396382,Q,
20100113,MF,614126,695816,Q,
20100114,MF,611830,1449792,Q,
20100115,MF,210742,643846,Q,
20100119,MF,106208,407421,Q,
20100120,MF,433201,728600,Q,
20100121,MF,430145,1235616,Q,
20100122,MF,410058,893208,Q,
20100125,MF,185357,309188,Q,
20100126,MF,198596,702014,Q,
20100127,MF,1457713,1576655,Q,
20100128,MF,153788,512101,Q,
20100129,MF,549194,723809,Q,
20100201,MF,113467,282177,Q,
20100202,MF,321789,578349,Q,
20100203,MF,207379,409981,Q,
20100204,MF,628470,878441,Q,
20100205,MF,300877,680768,Q,
20100208,MF,181515,530233,Q,
20100209,MF,585111,995216,Q,
20100210,MF,182997,248039,Q,
20100211,MF,440425,532736,Q,
20100212,MF,86529,156347,Q,
20100216,MF,178190,268914,Q,
20100217,MF,168421,346567,Q,
20100218,MF,22095,138793,Q,
20100219,MF,722047,1251336,Q,
20100222,MF,267762,522855,Q,
20100223,MF,309050,1480830,Q,
20100224,MF,77701,198430,Q,
20100225,MF,53818,222665,Q,
20100226,MF,44319,120275,Q,
20100301,MF,119650,343733,Q,
20100302,MF,23725,91019,Q,
20100303,MF,128430,371006,Q,
20100304,MF,71133,143299,Q,
20100305,MF,87634,425275,Q,
20100308,MF,49162,213520,Q,
20100309,MF,172569,391989,Q,
20100310,MF,183766,240130,Q,
20100311,MF,97960,169659,Q,
20100312,MF,472733,601515,Q,
20100315,MF,158393,343649,Q,
20100316,MF,169838,267658,Q,
20100317,MF,171428,401806,Q,
20100318,MF,130427,379881,Q,
20100319,MF,89871,283036,Q,
20100322,MF,88819,201221,Q,
20100323,MF,92111,230769,Q,
20100324,MF,6440947,11236056,Q,
20100325,MF,1241161,3758387,Q,
20100326,MF,697691,1646661,Q,
20100329,MF,541550,969131,Q,
20100330,MF,711656,1501539,Q,
20100331,MF,1205863,2661464,Q,
20100401,MF,549522,1360724,Q,
20100405,MF,274271,832709,Q,
20100406,MF,773557,1348160,Q,
20100407,MF,1070686,2151443,Q,
20100408,MF,926171,3067243,Q,
20100409,MF,779670,1510885,Q,
20100412,MF,595458,1506138,Q,
20100413,MF,376487,957316,Q,
20100414,MF,703972,2019699,Q,
20100415,MF,142784,621552,Q,
20100416,MF,365052,1408684,Q,
20100419,MF,268300,845913,Q,
20100420,MF,144533,558525,Q,
20100421,MF,136204,484822,Q,
20100422,MF,166378,630823,Q,
20100423,MF,178910,581356,Q,
20100426,MF,120319,657368,Q,
20100427,MF,294972,738974,Q,
20100428,MF,184185,551384,Q,
20100429,MF,235026,548671,Q,
20100430,MF,215174,617578,Q,
20100503,MF,546091,1816231,Q,
20100504,MF,222339,402740,Q,
20100510,MF,130218,451086,Q,
20100511,MF,170168,522190,Q,
20100512,MF,95944,353912,Q,
20100513,MF,378344,1310627,Q,
20100517,MF,522833,1935833,Q,
20100518,MF,504507,1921542,Q,
20100519,MF,191259,762548,Q,
20100520,MF,571742,2034659,Q,
20100521,MF,485191,744790,Q,
20100524,MF,230058,481168,Q,
20100525,MF,282187,684286,Q,
20100526,MF,463580,2838096,Q,
20100527,MF,248192,859215,Q,
20100528,MF,181032,419796,Q,
20100601,MF,264639,450137,Q,
20100602,MF,2325318,3233357,Q,
20100603,MF,1328605,5014939,Q,
20100604,MF,711146,1979309,Q,
20100607,MF,734328,1918806,Q,
20100608,MF,750326,1617662,Q,
20100609,MF,529575,1102980,Q,
20100610,MF,793758,1349395,Q,
20100611,MF,231959,546243,Q,
20100614,MF,202726,420611,Q,
20100615,MF,245738,634920,Q,
20100616,MF,1433687,1664751,Q,
20100617,MF,279076,604513,Q,
20100618,MF,420943,1358620,Q,
20100621,MF,542563,1939775,Q,
20100622,MF,282158,777833,Q,
20100623,MF,428185,900020,Q,
20100624,MF,107873,317125,Q,
20100625,MF,122584,386349,Q,
20100628,MF,123411,446341,Q,
20100629,MF,1851423,2598934,Q,
20100630,MF,445967,960092,Q,
20100701,MF,504182,996692,Q,
20100702,MF,208961,575066,Q,
20100706,MF,558902,1114869,Q,
20100707,MF,876218,1326737,Q,
20100708,MF,585963,1332749,Q,
20100709,MF,198791,348349,Q,
20110804,MF,715419,1808513,,0.0
