,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100112,MFNC,215,2033,Q,
20100129,MFNC,125,125,Q,
20100222,MFNC,600,715,Q,
20100226,MFNC,183,183,Q,
20100304,MFNC,200,5781,Q,
20100308,MFNC,242,942,Q,
20100309,MFNC,500,1100,Q,
20100311,MFNC,1990,4148,Q,
20100325,MFNC,700,1420,Q,
20100421,MFNC,1400,1555,Q,
20100422,MFNC,278,578,Q,
20100423,MFNC,100,345,Q,
20100426,MFNC,3303,5183,Q,
20100430,MFNC,3716,10536,Q,
20100503,MFNC,800,1200,Q,
20100504,MFNC,720,2418,Q,
20100513,MFNC,100,900,Q,
20100517,MFNC,4901,6001,Q,
20100527,MFNC,101,508,Q,
20100528,MFNC,111,111,Q,
20100604,MFNC,200,200,Q,
20100608,MFNC,200,200,Q,
20100610,MFNC,400,500,Q,
20100614,MFNC,580,680,Q,
20100615,MFNC,200,600,Q,
20100708,MFNC,100,100,Q,
20100709,MFNC,400,1300,Q,
