,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MGIC,89088,168535,Q,
20100105,MGIC,94445,215044,Q,
20100106,MGIC,61073,182061,Q,
20100107,MGIC,163735,385799,Q,
20100108,MGIC,83156,161381,Q,
20100111,MGIC,102944,241211,Q,
20100112,MGIC,41260,154271,Q,
20100113,MGIC,49612,97538,Q,
20100114,MGIC,20168,78224,Q,
20100115,MGIC,12949,74074,Q,
20100119,MGIC,18970,64333,Q,
20100120,MGIC,4000,26884,Q,
20100121,MGIC,1500,29417,Q,
20100122,MGIC,11300,114254,Q,
20100125,MGIC,7830,54605,Q,
20100126,MGIC,11707,75126,Q,
20100127,MGIC,3633,19400,Q,
20100128,MGIC,1860,18150,Q,
20100129,MGIC,14660,27766,Q,
20100201,MGIC,10170,20962,Q,
20100202,MGIC,36499,62048,Q,
20100203,MGIC,27817,79299,Q,
20100204,MGIC,1900,12032,Q,
20100205,MGIC,9260,43432,Q,
20100208,MGIC,10925,25501,Q,
20100209,MGIC,4914,14976,Q,
20100210,MGIC,37417,73378,Q,
20100211,MGIC,17162,23548,Q,
20100212,MGIC,3445,6672,Q,
20100216,MGIC,15419,47967,Q,
20100217,MGIC,12700,24747,Q,
20100218,MGIC,13410,27714,Q,
20100219,MGIC,6916,17862,Q,
20100222,MGIC,690,9562,Q,
20100223,MGIC,17853,29004,Q,
20100224,MGIC,20591,31806,Q,
20100225,MGIC,11778,18498,Q,
20100226,MGIC,500,13540,Q,
20100301,MGIC,8196,28290,Q,
20100302,MGIC,1600,10590,Q,
20100303,MGIC,16684,28067,Q,
20100304,MGIC,7834,13839,Q,
20100305,MGIC,3500,9744,Q,
20100308,MGIC,18670,25019,Q,
20100309,MGIC,131909,298720,Q,
20100310,MGIC,69414,157101,Q,
20100311,MGIC,50420,107901,Q,
20100312,MGIC,52645,142617,Q,
20100315,MGIC,106370,178341,Q,
20100316,MGIC,114443,267842,Q,
20100317,MGIC,218190,381099,Q,
20100318,MGIC,154899,622712,Q,
20100319,MGIC,92840,332040,Q,
20100322,MGIC,71456,139919,Q,
20100323,MGIC,61083,111425,Q,
20100324,MGIC,23698,82747,Q,
20100325,MGIC,28159,82265,Q,
20100326,MGIC,23578,123468,Q,
20100329,MGIC,21064,117928,Q,
20100330,MGIC,21360,131014,Q,
20100331,MGIC,8433,39819,Q,
20100401,MGIC,13028,40706,Q,
20100405,MGIC,31423,82807,Q,
20100406,MGIC,17808,43975,Q,
20100407,MGIC,19545,43930,Q,
20100408,MGIC,7666,37361,Q,
20100409,MGIC,23729,63465,Q,
20100412,MGIC,14240,45763,Q,
20100413,MGIC,18609,39125,Q,
20100414,MGIC,26672,58108,Q,
20100415,MGIC,13567,45783,Q,
20100416,MGIC,3350,22915,Q,
20100419,MGIC,10400,56122,Q,
20100420,MGIC,10948,39671,Q,
20100421,MGIC,25110,68465,Q,
20100422,MGIC,13738,32318,Q,
20100423,MGIC,13754,29276,Q,
20100426,MGIC,104933,271411,Q,
20100427,MGIC,12666,77116,Q,
20100428,MGIC,15663,82711,Q,
20100429,MGIC,56741,110732,Q,
20100430,MGIC,28834,59184,Q,
20100503,MGIC,15729,33278,Q,
20100504,MGIC,30872,82678,Q,
20100510,MGIC,11176,34801,Q,
20100511,MGIC,13568,35803,Q,
20100512,MGIC,56698,127487,Q,
20100513,MGIC,9500,21310,Q,
20100517,MGIC,33412,64937,Q,
20100518,MGIC,12264,17319,Q,
20100519,MGIC,18884,64364,Q,
20100520,MGIC,13480,73586,Q,
20100521,MGIC,9700,54220,Q,
20100524,MGIC,200,19496,Q,
20100525,MGIC,12737,69359,Q,
20100526,MGIC,7788,26904,Q,
20100527,MGIC,5250,14558,Q,
20100528,MGIC,2412,11554,Q,
20100601,MGIC,6156,30996,Q,
20100602,MGIC,2300,7100,Q,
20100603,MGIC,8710,16585,Q,
20100604,MGIC,9100,39155,Q,
20100607,MGIC,4100,16348,Q,
20100608,MGIC,12695,41392,Q,
20100609,MGIC,5199,15909,Q,
20100610,MGIC,4570,11017,Q,
20100611,MGIC,8500,19430,Q,
20100614,MGIC,6300,23984,Q,
20100615,MGIC,3903,11973,Q,
20100616,MGIC,67370,121007,Q,
20100617,MGIC,5369,13849,Q,
20100618,MGIC,32278,58498,Q,
20100621,MGIC,10200,21264,Q,
20100622,MGIC,4100,10648,Q,
20100623,MGIC,7550,13645,Q,
20100624,MGIC,2100,2774,Q,
20100625,MGIC,7884,22792,Q,
20100628,MGIC,2200,5450,Q,
20100629,MGIC,1047,10872,Q,
20100630,MGIC,1500,11041,Q,
20100701,MGIC,2062,7429,Q,
20100702,MGIC,3350,6013,Q,
20100706,MGIC,13877,32217,Q,
20100707,MGIC,40816,55584,Q,
20100708,MGIC,2400,6571,Q,
20100709,MGIC,3108,5110,Q,
20110804,MGIC,24066,198848,,200.0
