,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MGLN,24843,122926,Q,
20100105,MGLN,18959,122693,Q,
20100106,MGLN,28026,192964,Q,
20100107,MGLN,81250,118638,Q,
20100108,MGLN,7000,141069,Q,
20100111,MGLN,9285,121218,Q,
20100112,MGLN,13937,99386,Q,
20100113,MGLN,6493,22741,Q,
20100114,MGLN,6900,45095,Q,
20100115,MGLN,10100,51507,Q,
20100119,MGLN,11046,294962,Q,
20100120,MGLN,15256,90943,Q,
20100121,MGLN,10756,30673,Q,
20100122,MGLN,22674,87781,Q,
20100125,MGLN,10519,37386,Q,
20100126,MGLN,27765,56575,Q,
20100127,MGLN,11807,23159,Q,
20100128,MGLN,8438,35661,Q,
20100129,MGLN,13039,34995,Q,
20100201,MGLN,10032,43364,Q,
20100202,MGLN,10852,35294,Q,
20100203,MGLN,34211,101196,Q,
20100204,MGLN,26360,144280,Q,
20100205,MGLN,30637,84500,Q,
20100208,MGLN,23742,118004,Q,
20100209,MGLN,50269,82389,Q,
20100210,MGLN,15655,41813,Q,
20100211,MGLN,18617,34727,Q,
20100212,MGLN,29011,63206,Q,
20100216,MGLN,28625,39914,Q,
20100217,MGLN,7700,24349,Q,
20100218,MGLN,4019,24124,Q,
20100219,MGLN,8300,17100,Q,
20100222,MGLN,16229,50428,Q,
20100223,MGLN,3200,22038,Q,
20100224,MGLN,17775,87311,Q,
20100225,MGLN,12692,53735,Q,
20100226,MGLN,131300,452500,Q,
20100301,MGLN,14434,135208,Q,
20100302,MGLN,5600,121452,Q,
20100303,MGLN,17814,138552,Q,
20100304,MGLN,15430,67023,Q,
20100305,MGLN,14691,95757,Q,
20100308,MGLN,3522,49465,Q,
20100309,MGLN,16066,114528,Q,
20100310,MGLN,80531,154717,Q,
20100311,MGLN,13548,86843,Q,
20100312,MGLN,39764,189316,Q,
20100315,MGLN,8600,51304,Q,
20100316,MGLN,9785,55950,Q,
20100317,MGLN,2581,68669,Q,
20100318,MGLN,4965,55222,Q,
20100319,MGLN,5105,80296,Q,
20100322,MGLN,9033,63477,Q,
20100323,MGLN,7355,57866,Q,
20100324,MGLN,10570,65563,Q,
20100325,MGLN,4206,40555,Q,
20100326,MGLN,15649,194246,Q,
20100329,MGLN,24478,332924,Q,
20100330,MGLN,5780,86033,Q,
20100331,MGLN,9486,423039,Q,
20100401,MGLN,14497,456917,Q,
20100405,MGLN,4592,29034,Q,
20100406,MGLN,3954,43946,Q,
20100407,MGLN,8140,40607,Q,
20100408,MGLN,55906,75758,Q,
20100409,MGLN,7600,27675,Q,
20100412,MGLN,3160,82489,Q,
20100413,MGLN,4778,26665,Q,
20100414,MGLN,7583,47011,Q,
20100415,MGLN,314886,363727,Q,
20100416,MGLN,16162,64489,Q,
20100419,MGLN,6375,35228,Q,
20100420,MGLN,13612,179590,Q,
20100421,MGLN,157699,203745,Q,
20100422,MGLN,10006,106210,Q,
20100423,MGLN,11748,55691,Q,
20100426,MGLN,19914,79663,Q,
20100427,MGLN,26108,119436,Q,
20100428,MGLN,41504,288130,Q,
20100429,MGLN,18068,72332,Q,
20100430,MGLN,39400,120985,Q,
20100503,MGLN,65040,215362,Q,
20100504,MGLN,13758,59053,Q,
20100510,MGLN,13712,104471,Q,
20100511,MGLN,5600,19872,Q,
20100512,MGLN,19104,69195,Q,
20100513,MGLN,32960,68646,Q,
20100517,MGLN,8964,33893,Q,
20100518,MGLN,4005,18904,Q,
20100519,MGLN,10994,30606,Q,
20100520,MGLN,25631,52733,Q,
20100521,MGLN,14773,35762,Q,
20100524,MGLN,19329,51914,Q,
20100525,MGLN,16642,51130,Q,
20100526,MGLN,10434,28025,Q,
20100527,MGLN,4971,16944,Q,
20100528,MGLN,15319,38581,Q,
20100601,MGLN,19066,33405,Q,
20100602,MGLN,45915,129550,Q,
20100603,MGLN,6627,50443,Q,
20100604,MGLN,22221,87534,Q,
20100607,MGLN,19713,59250,Q,
20100608,MGLN,11234,23183,Q,
20100609,MGLN,10804,50978,Q,
20100610,MGLN,5778,78011,Q,
20100611,MGLN,12136,52761,Q,
20100614,MGLN,12900,47382,Q,
20100615,MGLN,8915,39884,Q,
20100616,MGLN,13086,81330,Q,
20100617,MGLN,5251,123535,Q,
20100618,MGLN,4557,26770,Q,
20100621,MGLN,15597,56216,Q,
20100622,MGLN,6250,34324,Q,
20100623,MGLN,26600,179721,Q,
20100624,MGLN,6189,34799,Q,
20100625,MGLN,9103,36345,Q,
20100628,MGLN,5417,34212,Q,
20100629,MGLN,49528,138717,Q,
20100630,MGLN,13547,93984,Q,
20100701,MGLN,19163,71636,Q,
20100702,MGLN,6259,34356,Q,
20100706,MGLN,10393,29064,Q,
20100707,MGLN,30113,124409,Q,
20100708,MGLN,19484,150516,Q,
20100709,MGLN,6376,44976,Q,
20110804,MGLN,13959,35960,,0.0
