,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MHJ,1811,3564,Q,
20100105,MHJ,2000,2000,Q,
20100106,MHJ,408,2383,Q,
20100108,MHJ,450,2885,Q,
20100111,MHJ,2900,7290,Q,
20100112,MHJ,1000,2808,Q,
20100113,MHJ,500,670,Q,
20100114,MHJ,3350,8750,Q,
20100115,MHJ,515,5865,Q,
20100119,MHJ,1490,4465,Q,
20100120,MHJ,2100,8725,Q,
20100122,MHJ,1800,7150,Q,
20100125,MHJ,500,2200,Q,
20100128,MHJ,100,2200,Q,
20100201,MHJ,110,310,Q,
20100202,MHJ,1000,1000,Q,
20100203,MHJ,220,3890,Q,
20100204,MHJ,2900,3600,Q,
20100208,MHJ,1500,2200,Q,
20100209,MHJ,600,1200,Q,
20100210,MHJ,400,400,Q,
20100211,MHJ,705,3305,Q,
20100216,MHJ,1600,5027,Q,
20100218,MHJ,1800,3849,Q,
20100219,MHJ,131346,203419,Q,
20100222,MHJ,37564,91059,Q,
20100223,MHJ,6600,27607,Q,
20100224,MHJ,2675,17883,Q,
20100225,MHJ,3957,18627,Q,
20100301,MHJ,14420,54212,Q,
20100302,MHJ,16648,61088,Q,
20100303,MHJ,5874,10728,Q,
20100304,MHJ,6318,22916,Q,
20100305,MHJ,6700,15170,Q,
20100308,MHJ,10100,20050,Q,
20100309,MHJ,3200,13461,Q,
20100310,MHJ,9800,25994,Q,
20100311,MHJ,7000,10200,Q,
20100312,MHJ,7571,24829,Q,
20100315,MHJ,10300,34470,Q,
20100316,MHJ,6300,18400,Q,
20100317,MHJ,2900,12474,Q,
20100319,MHJ,1887,68037,Q,
20100322,MHJ,5600,16600,Q,
20100324,MHJ,625,2197,Q,
20100329,MHJ,1000,1400,Q,
20100330,MHJ,16500,20420,Q,
20100331,MHJ,28200,29620,Q,
20100405,MHJ,5300,6500,Q,
20100408,MHJ,5700,8600,Q,
20100409,MHJ,2200,12125,Q,
20100412,MHJ,4200,8812,Q,
20100413,MHJ,400,1100,Q,
20100415,MHJ,1200,4300,Q,
