,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MIL,8672,23382,Q,
20100105,MIL,12409,55815,Q,
20100106,MIL,67259,128771,Q,
20100107,MIL,32904,72730,Q,
20100108,MIL,19300,36942,Q,
20100111,MIL,53636,93939,Q,
20100112,MIL,40358,100683,Q,
20100113,MIL,20467,43906,Q,
20100114,MIL,9600,76775,Q,
20100115,MIL,33250,72851,Q,
20100119,MIL,36079,86404,Q,
20100120,MIL,37832,82962,Q,
20100121,MIL,19767,60890,Q,
20100122,MIL,8495,27301,Q,
20100125,MIL,8526,19896,Q,
20100126,MIL,20185,54187,Q,
20100127,MIL,23673,75614,Q,
20100128,MIL,20986,66410,Q,
20100129,MIL,31513,78523,Q,
20100201,MIL,27375,76923,Q,
20100202,MIL,66327,129729,Q,
20100203,MIL,81794,125876,Q,
20100204,MIL,133826,253009,Q,
20100205,MIL,38930,73968,Q,
20100208,MIL,69885,124225,Q,
20100209,MIL,15336,51358,Q,
20100210,MIL,55208,78788,Q,
20100211,MIL,42864,79517,Q,
20100212,MIL,8823,50577,Q,
20100216,MIL,14358,107640,Q,
20100217,MIL,10506,78601,Q,
20100218,MIL,19600,51782,Q,
20100219,MIL,47139,86042,Q,
20100222,MIL,1581992,4137719,Q,
20100223,MIL,540939,1996489,Q,
20100224,MIL,747819,2275840,Q,
20100225,MIL,417816,1025712,Q,
20100226,MIL,170863,655158,Q,
20100301,MIL,1312857,3981331,Q,
20100302,MIL,1143884,3101761,Q,
20100303,MIL,717350,1595109,Q,
20100304,MIL,210515,923723,Q,
20100305,MIL,129660,961604,Q,
20100308,MIL,209872,562452,Q,
20100309,MIL,153587,459492,Q,
20100310,MIL,96843,386074,Q,
20100311,MIL,91660,313615,Q,
20100312,MIL,212141,457221,Q,
20100315,MIL,102910,235092,Q,
20100316,MIL,137977,339886,Q,
20100317,MIL,173447,844808,Q,
20100318,MIL,144274,280724,Q,
20100319,MIL,183650,852831,Q,
20100322,MIL,235118,425988,Q,
20100323,MIL,173993,389362,Q,
20100324,MIL,210385,366518,Q,
20100325,MIL,230662,694008,Q,
20100326,MIL,202213,395923,Q,
20100329,MIL,77563,246345,Q,
20100330,MIL,85197,240320,Q,
20100331,MIL,66204,396937,Q,
20100401,MIL,140506,252101,Q,
20100405,MIL,68433,185387,Q,
20100406,MIL,54295,119828,Q,
20100407,MIL,122714,202841,Q,
20100408,MIL,86015,212691,Q,
20100409,MIL,239740,330540,Q,
20100412,MIL,239776,418574,Q,
20100413,MIL,298028,804751,Q,
20100414,MIL,33185,130039,Q,
20100415,MIL,151644,489239,Q,
20100416,MIL,145276,314204,Q,
20100419,MIL,45484,159573,Q,
20100420,MIL,40882,158733,Q,
20100421,MIL,113244,401958,Q,
20100422,MIL,58332,113760,Q,
20100423,MIL,54564,135783,Q,
20100426,MIL,67798,114456,Q,
20100427,MIL,107773,264852,Q,
20100428,MIL,549496,858048,Q,
20100429,MIL,155693,365225,Q,
20100430,MIL,481852,795753,Q,
20100503,MIL,116192,285624,Q,
20100504,MIL,629748,1167884,Q,
20100510,MIL,707220,1109475,Q,
20100511,MIL,630035,954288,Q,
20100512,MIL,527772,735897,Q,
20100513,MIL,425978,875994,Q,
20100517,MIL,320627,526394,Q,
20100518,MIL,441818,714303,Q,
20100519,MIL,661115,928673,Q,
20100520,MIL,797433,1253887,Q,
20100521,MIL,405363,684037,Q,
20100524,MIL,314964,511875,Q,
20100525,MIL,553303,1107080,Q,
20100526,MIL,522218,860753,Q,
20100527,MIL,257981,499186,Q,
20100528,MIL,273569,495557,Q,
20100601,MIL,416411,589641,Q,
20100602,MIL,360143,655845,Q,
20100603,MIL,299305,589096,Q,
20100604,MIL,420041,790693,Q,
20100607,MIL,217627,369141,Q,
20100608,MIL,676799,1072393,Q,
20100609,MIL,453974,649659,Q,
20100610,MIL,253343,425525,Q,
20100611,MIL,132107,254159,Q,
20100614,MIL,241534,428212,Q,
20100615,MIL,159187,307155,Q,
20100616,MIL,258242,390834,Q,
20100617,MIL,239454,400820,Q,
20100618,MIL,139873,199086,Q,
20100621,MIL,142684,265829,Q,
20100622,MIL,232943,511600,Q,
20100623,MIL,466776,869549,Q,
20100624,MIL,505759,692521,Q,
20100625,MIL,445150,881558,Q,
20100628,MIL,240919,394319,Q,
20100629,MIL,773064,1088792,Q,
20100630,MIL,655102,847085,Q,
20100701,MIL,1032304,1282339,Q,
20100702,MIL,608277,787443,Q,
20100706,MIL,855628,1021994,Q,
20100707,MIL,482501,745503,Q,
20100708,MIL,229678,382013,Q,
20100709,MIL,203993,363423,Q,
