,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MMT,57803,94699,Q,
20100105,MMT,14115,40063,Q,
20100106,MMT,33220,55323,Q,
20100107,MMT,28036,77605,Q,
20100108,MMT,29365,69812,Q,
20100111,MMT,61506,84545,Q,
20100112,MMT,54220,108580,Q,
20100113,MMT,30894,73548,Q,
20100114,MMT,43545,101111,Q,
20100115,MMT,68002,151886,Q,
20100119,MMT,29117,81433,Q,
20100120,MMT,41134,141341,Q,
20100121,MMT,18265,57210,Q,
20100122,MMT,16081,45109,Q,
20100125,MMT,16676,77516,Q,
20100126,MMT,35072,115795,Q,
20100127,MMT,6443,69755,Q,
20100128,MMT,15125,149371,Q,
20100129,MMT,14130,147024,Q,
20100201,MMT,31517,113342,Q,
20100202,MMT,38558,107817,Q,
20100203,MMT,36804,101670,Q,
20100204,MMT,11033,90210,Q,
20100205,MMT,36970,224504,Q,
20100208,MMT,16847,132430,Q,
20100209,MMT,18703,67210,Q,
20100210,MMT,23124,86760,Q,
20100211,MMT,50867,187828,Q,
20100212,MMT,24725,66116,Q,
20100216,MMT,39525,87383,Q,
20100217,MMT,34946,80362,Q,
20100218,MMT,48845,114594,Q,
20100219,MMT,15690,85214,Q,
20100222,MMT,16589,90533,Q,
20100223,MMT,45035,146816,Q,
20100224,MMT,33671,137290,Q,
20100225,MMT,24852,83947,Q,
20100226,MMT,55514,168676,Q,
20100301,MMT,37828,72324,Q,
20100302,MMT,20636,60201,Q,
20100303,MMT,21568,65036,Q,
20100304,MMT,31976,99241,Q,
20100305,MMT,33840,80786,Q,
20100308,MMT,28833,74079,Q,
20100309,MMT,54878,130585,Q,
20100310,MMT,24204,76625,Q,
20100311,MMT,31310,103886,Q,
20100312,MMT,19848,94718,Q,
20100315,MMT,10984,52260,Q,
20100316,MMT,15506,102440,Q,
20100317,MMT,9628,68382,Q,
20100318,MMT,22100,68633,Q,
20100319,MMT,17689,64808,Q,
20100322,MMT,45085,122041,Q,
20100323,MMT,33938,100145,Q,
20100324,MMT,36383,90627,Q,
20100325,MMT,32284,123955,Q,
20100326,MMT,19866,69220,Q,
20100329,MMT,30853,65457,Q,
20100330,MMT,20453,75053,Q,
20100331,MMT,33688,106989,Q,
20100401,MMT,17138,60361,Q,
20100405,MMT,21264,55291,Q,
20100406,MMT,56368,102396,Q,
20100407,MMT,65500,99470,Q,
20100408,MMT,65277,95622,Q,
20100409,MMT,65115,100622,Q,
20100412,MMT,53743,98909,Q,
20100413,MMT,49632,144177,Q,
20100414,MMT,113646,169000,Q,
20100415,MMT,40979,100517,Q,
20100416,MMT,41435,66751,Q,
20100419,MMT,45973,68067,Q,
20100420,MMT,66133,121039,Q,
20100421,MMT,48047,93877,Q,
20100422,MMT,56113,113247,Q,
20100423,MMT,54171,97524,Q,
20100426,MMT,28028,107903,Q,
20100427,MMT,40705,103374,Q,
20100428,MMT,30072,59544,Q,
20100429,MMT,52088,85360,Q,
20100430,MMT,57846,92980,Q,
20100503,MMT,64221,168057,Q,
20100504,MMT,27659,61824,Q,
20100510,MMT,65233,132160,Q,
20100511,MMT,47384,107127,Q,
20100512,MMT,21689,64929,Q,
20100513,MMT,57591,101844,Q,
20100517,MMT,23748,74205,Q,
20100518,MMT,42803,77694,Q,
20100519,MMT,63508,120818,Q,
20100520,MMT,53277,149717,Q,
20100521,MMT,52764,191016,Q,
20100524,MMT,18814,76029,Q,
20100525,MMT,41978,153940,Q,
20100526,MMT,14745,81728,Q,
20100527,MMT,10214,48564,Q,
20100528,MMT,35584,87900,Q,
20100601,MMT,28455,86023,Q,
20100602,MMT,36933,81260,Q,
20100603,MMT,34036,87485,Q,
20100604,MMT,31310,50219,Q,
20100607,MMT,38213,79209,Q,
20100608,MMT,48243,104584,Q,
20100609,MMT,21704,61358,Q,
20100610,MMT,17660,33181,Q,
20100611,MMT,48424,99715,Q,
20100614,MMT,21168,55118,Q,
20100615,MMT,38586,117887,Q,
20100616,MMT,30627,73483,Q,
20100617,MMT,36801,62837,Q,
20100618,MMT,62171,125598,Q,
20100621,MMT,27221,57698,Q,
20100622,MMT,39044,73994,Q,
20100623,MMT,36666,77595,Q,
20100624,MMT,34551,87470,Q,
20100625,MMT,24817,96048,Q,
20100628,MMT,90012,148892,Q,
20100629,MMT,34390,96342,Q,
20100630,MMT,65962,121790,Q,
20100701,MMT,39098,111478,Q,
20100702,MMT,28147,87330,Q,
20100706,MMT,60950,106390,Q,
20100707,MMT,118400,199107,Q,
20100708,MMT,39075,103190,Q,
20100709,MMT,44446,110377,Q,
20110804,MMT,70834,151622,,0.0
