,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MOCO,350,1050,Q,
20100106,MOCO,800,2300,Q,
20100107,MOCO,700,880,Q,
20100108,MOCO,300,400,Q,
20100112,MOCO,100,100,Q,
20100114,MOCO,100,100,Q,
20100115,MOCO,100,200,Q,
20100119,MOCO,1150,2950,Q,
20100121,MOCO,4325,10279,Q,
20100122,MOCO,250,900,Q,
20100125,MOCO,800,3658,Q,
20100127,MOCO,1398,3217,Q,
20100128,MOCO,200,500,Q,
20100129,MOCO,150,350,Q,
20100201,MOCO,200,2720,Q,
20100202,MOCO,1300,5570,Q,
20100203,MOCO,600,3600,Q,
20100204,MOCO,690,990,Q,
20100205,MOCO,200,1300,Q,
20100208,MOCO,1095,2495,Q,
20100216,MOCO,100,300,Q,
20100217,MOCO,2271,6968,Q,
20100222,MOCO,1065,3008,Q,
20100223,MOCO,114,114,Q,
20100224,MOCO,1945,2145,Q,
20100226,MOCO,1010,1470,Q,
20100301,MOCO,1000,3901,Q,
20100302,MOCO,2564,5400,Q,
20100303,MOCO,500,700,Q,
20100304,MOCO,1661,5835,Q,
20100305,MOCO,599,3400,Q,
20100308,MOCO,924,1524,Q,
20100309,MOCO,100,355,Q,
20100310,MOCO,2363,4038,Q,
20100311,MOCO,1000,1250,Q,
20100312,MOCO,200,900,Q,
20100315,MOCO,1050,5258,Q,
20100316,MOCO,500,812,Q,
20100317,MOCO,793,1443,Q,
20100318,MOCO,2000,4388,Q,
20100319,MOCO,300,600,Q,
20100322,MOCO,100,340,Q,
20100325,MOCO,710,810,Q,
20100329,MOCO,300,500,Q,
20100330,MOCO,330,530,Q,
20100331,MOCO,400,1415,Q,
20100401,MOCO,600,1000,Q,
20100405,MOCO,700,970,Q,
20100408,MOCO,1000,1407,Q,
20100409,MOCO,200,200,Q,
20100412,MOCO,1054,1254,Q,
20100415,MOCO,367,1167,Q,
20100416,MOCO,1557,4050,Q,
20100419,MOCO,200,900,Q,
20100420,MOCO,100,400,Q,
20100421,MOCO,200,600,Q,
20100422,MOCO,950,2381,Q,
20100426,MOCO,100,670,Q,
20100428,MOCO,500,500,Q,
20100430,MOCO,1670,2380,Q,
20100504,MOCO,100,1564,Q,
20100511,MOCO,2644,6844,Q,
20100513,MOCO,200,400,Q,
20100517,MOCO,200,800,Q,
20100518,MOCO,375,17280,Q,
20100520,MOCO,528,1330,Q,
20100521,MOCO,1800,2621,Q,
20100524,MOCO,200,500,Q,
20100525,MOCO,100,1175,Q,
20100528,MOCO,600,900,Q,
20100603,MOCO,900,900,Q,
20100604,MOCO,300,1550,Q,
20100615,MOCO,2400,3570,Q,
20100616,MOCO,400,700,Q,
20100618,MOCO,100,300,Q,
20100621,MOCO,1006,1312,Q,
20100622,MOCO,100,661,Q,
20100623,MOCO,200,400,Q,
20100624,MOCO,300,2820,Q,
20100629,MOCO,100,200,Q,
20100702,MOCO,240,740,Q,
20100708,MOCO,457,757,Q,
20100709,MOCO,200,600,Q,
20110804,MOCO,3400,11940,,0.0
