,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,MYM,3299,9201,Q,
20100105,MYM,935,2655,Q,
20100106,MYM,4300,8600,Q,
20100107,MYM,5400,10405,Q,
20100108,MYM,3812,6843,Q,
20100111,MYM,2100,2800,Q,
20100112,MYM,1414,3639,Q,
20100113,MYM,3000,4750,Q,
20100114,MYM,2142,5971,Q,
20100115,MYM,1300,3800,Q,
20100119,MYM,1500,1700,Q,
20100120,MYM,3000,7951,Q,
20100121,MYM,7699,16891,Q,
20100122,MYM,500,5400,Q,
20100125,MYM,600,1100,Q,
20100126,MYM,645,1945,Q,
20100127,MYM,2500,5626,Q,
20100128,MYM,2200,11149,Q,
20100129,MYM,11840,29938,Q,
20100201,MYM,600,3053,Q,
20100202,MYM,200,3903,Q,
20100203,MYM,5920,12588,Q,
20100204,MYM,3257,6757,Q,
20100205,MYM,386,1300,Q,
20100208,MYM,4200,11743,Q,
20100209,MYM,100,3950,Q,
20100210,MYM,5000,7025,Q,
20100211,MYM,600,2467,Q,
20100212,MYM,1170,1320,Q,
20100216,MYM,2640,4739,Q,
20100217,MYM,2018,10108,Q,
20100218,MYM,1347,2967,Q,
20100219,MYM,6438,28371,Q,
20100222,MYM,1840,7680,Q,
20100223,MYM,1000,10467,Q,
20100224,MYM,1300,5370,Q,
20100225,MYM,750,5142,Q,
20100226,MYM,1700,8126,Q,
20100301,MYM,2465,11191,Q,
20100302,MYM,2106,19050,Q,
20100303,MYM,5566,10728,Q,
20100304,MYM,7000,10700,Q,
20100305,MYM,4300,6300,Q,
20100308,MYM,900,6685,Q,
20100309,MYM,4240,14552,Q,
20100310,MYM,1000,5541,Q,
20100311,MYM,303,3103,Q,
20100312,MYM,6552,14079,Q,
20100315,MYM,3100,7300,Q,
20100316,MYM,2425,2525,Q,
20100317,MYM,6125,10325,Q,
20100318,MYM,7500,24768,Q,
20100319,MYM,1120,9122,Q,
20100322,MYM,1322,17476,Q,
20100323,MYM,2250,6208,Q,
20100324,MYM,4300,9773,Q,
20100325,MYM,4250,10486,Q,
20100326,MYM,300,500,Q,
20100329,MYM,2900,4650,Q,
20100330,MYM,4914,8744,Q,
20100331,MYM,2707,6890,Q,
20100401,MYM,800,1799,Q,
20100405,MYM,2580,6412,Q,
20100407,MYM,500,6813,Q,
20100408,MYM,2900,11388,Q,
20100409,MYM,700,12074,Q,
20100412,MYM,10481,23551,Q,
20100413,MYM,852,3901,Q,
20100414,MYM,6807,10518,Q,
20100415,MYM,3360,6206,Q,
20100416,MYM,10597,10597,Q,
20100420,MYM,300,1000,Q,
20100421,MYM,7424,16563,Q,
20100422,MYM,3750,8502,Q,
20100423,MYM,5415,6318,Q,
20100426,MYM,5350,7173,Q,
20100427,MYM,1440,12190,Q,
20100428,MYM,2850,4072,Q,
20100429,MYM,980,2980,Q,
20100430,MYM,4666,11966,Q,
20100503,MYM,6028,9213,Q,
20100504,MYM,2900,8724,Q,
20100510,MYM,1300,4323,Q,
20100511,MYM,1900,6440,Q,
20100512,MYM,400,6364,Q,
20100513,MYM,200,4995,Q,
20100517,MYM,3830,6180,Q,
20100518,MYM,1283,9425,Q,
20100519,MYM,7200,10714,Q,
20100520,MYM,4192,8332,Q,
20100521,MYM,2500,4907,Q,
20100524,MYM,1200,3260,Q,
20100525,MYM,3119,7922,Q,
20100526,MYM,1200,5634,Q,
20100527,MYM,2364,6848,Q,
20100601,MYM,1200,2926,Q,
20100602,MYM,2415,4091,Q,
20100603,MYM,1285,2285,Q,
20100604,MYM,600,3202,Q,
20100607,MYM,4185,8247,Q,
20100608,MYM,1439,6810,Q,
20100609,MYM,1600,3627,Q,
20100610,MYM,1000,9671,Q,
20100611,MYM,3900,8891,Q,
20100614,MYM,1000,4130,Q,
20100615,MYM,700,14384,Q,
20100616,MYM,2824,6797,Q,
20100617,MYM,1781,5432,Q,
20100618,MYM,4651,16780,Q,
20100621,MYM,600,2700,Q,
20100622,MYM,5870,17934,Q,
20100623,MYM,3792,12449,Q,
20100624,MYM,6491,15071,Q,
20100625,MYM,4103,7840,Q,
20100628,MYM,3838,6874,Q,
20100701,MYM,1183,7424,Q,
20100702,MYM,1500,2612,Q,
20100706,MYM,4858,7420,Q,
20100707,MYM,500,4665,Q,
20100708,MYM,300,4820,Q,
20100709,MYM,562,3637,Q,
20110804,MYM,1633,4133,,0.0
