,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NATH,13017,25942,Q,
20100105,NATH,2400,4573,Q,
20100106,NATH,100,1441,Q,
20100107,NATH,732,2861,Q,
20100108,NATH,2100,4010,Q,
20100111,NATH,200,500,Q,
20100112,NATH,400,1532,Q,
20100114,NATH,5157,10556,Q,
20100115,NATH,700,1400,Q,
20100119,NATH,1215,1840,Q,
20100120,NATH,200,600,Q,
20100121,NATH,900,2200,Q,
20100122,NATH,1100,3600,Q,
20100125,NATH,2030,6130,Q,
20100126,NATH,550,3660,Q,
20100129,NATH,400,2825,Q,
20100201,NATH,550,699,Q,
20100202,NATH,500,2525,Q,
20100203,NATH,171,700,Q,
20100204,NATH,2000,6134,Q,
20100205,NATH,500,1100,Q,
20100208,NATH,500,1696,Q,
20100209,NATH,634,734,Q,
20100210,NATH,100,1600,Q,
20100212,NATH,100,46571,Q,
20100216,NATH,667,3334,Q,
20100217,NATH,1100,3400,Q,
20100218,NATH,1370,2470,Q,
20100219,NATH,200,2581,Q,
20100223,NATH,2200,4216,Q,
20100225,NATH,1600,2500,Q,
20100226,NATH,100,263,Q,
20100301,NATH,2100,3678,Q,
20100302,NATH,930,6130,Q,
20100303,NATH,824,3592,Q,
20100304,NATH,3502,5422,Q,
20100305,NATH,2450,5018,Q,
20100308,NATH,1400,3434,Q,
20100310,NATH,100,800,Q,
20100316,NATH,700,906,Q,
20100317,NATH,1307,2907,Q,
20100318,NATH,100,460,Q,
20100319,NATH,100,1500,Q,
20100322,NATH,300,300,Q,
20100323,NATH,100,935,Q,
20100324,NATH,100,600,Q,
20100325,NATH,450,657,Q,
20100326,NATH,800,2007,Q,
20100329,NATH,3300,4100,Q,
20100331,NATH,5210,18044,Q,
20100405,NATH,1000,1632,Q,
20100406,NATH,400,1532,Q,
20100407,NATH,900,1825,Q,
20100408,NATH,551,28676,Q,
20100409,NATH,959,3990,Q,
20100413,NATH,100,688,Q,
20100414,NATH,1218,3774,Q,
20100416,NATH,3700,5100,Q,
20100419,NATH,400,400,Q,
20100421,NATH,400,2436,Q,
20100422,NATH,896,2200,Q,
20100423,NATH,900,1100,Q,
20100430,NATH,32800,35037,Q,
20100503,NATH,700,2600,Q,
20100510,NATH,1500,5979,Q,
20100511,NATH,500,600,Q,
20100512,NATH,200,1100,Q,
20100513,NATH,1380,1980,Q,
20100517,NATH,2000,2370,Q,
20100521,NATH,1400,3600,Q,
20100525,NATH,25400,26400,Q,
20100526,NATH,500,1180,Q,
20100527,NATH,4200,9216,Q,
20100603,NATH,135,3735,Q,
20100604,NATH,100,500,Q,
20100607,NATH,20700,21700,Q,
20100610,NATH,1435,1835,Q,
20100611,NATH,600,2379,Q,
20100614,NATH,500,3726,Q,
20100616,NATH,130,1530,Q,
20100617,NATH,200,5922,Q,
20100618,NATH,1400,2711,Q,
20100621,NATH,3025,3925,Q,
20100623,NATH,200,2392,Q,
20100624,NATH,1862,5762,Q,
20100625,NATH,420,4451,Q,
20100628,NATH,900,4820,Q,
20100629,NATH,300,1530,Q,
20100630,NATH,1854,4503,Q,
20100701,NATH,2480,3480,Q,
20100702,NATH,300,1300,Q,
20100706,NATH,2300,7239,Q,
20100707,NATH,2001,3801,Q,
20100708,NATH,2600,5600,Q,
20100709,NATH,2100,3600,Q,
20110804,NATH,1903,5079,,0.0
