,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NCI,14093,33111,Q,
20100105,NCI,6315,119616,Q,
20100106,NCI,8014,144944,Q,
20100107,NCI,3800,14095,Q,
20100108,NCI,5740,12604,Q,
20100111,NCI,6275,30322,Q,
20100112,NCI,13090,21297,Q,
20100113,NCI,8380,25714,Q,
20100114,NCI,8103,29183,Q,
20100115,NCI,29097,61954,Q,
20100119,NCI,13157,37390,Q,
20100120,NCI,20619,64346,Q,
20100121,NCI,12691,34373,Q,
20100122,NCI,21553,33226,Q,
20100125,NCI,3800,29509,Q,
20100126,NCI,7514,30182,Q,
20100127,NCI,50748,144479,Q,
20100128,NCI,30356,68697,Q,
20100129,NCI,7665,28161,Q,
20100201,NCI,13015,25408,Q,
20100202,NCI,7823,31517,Q,
20100203,NCI,4900,23204,Q,
20100204,NCI,8719,24425,Q,
20100205,NCI,12300,25630,Q,
20100208,NCI,7217,18993,Q,
20100209,NCI,8149,18349,Q,
20100210,NCI,18000,53840,Q,
20100211,NCI,14592,72577,Q,
20100212,NCI,9835,49238,Q,
20100216,NCI,5825,18508,Q,
20100217,NCI,15125,85196,Q,
20100218,NCI,95431,614646,Q,
20100219,NCI,16255,117260,Q,
20100222,NCI,12200,266812,Q,
20100223,NCI,19876,142698,Q,
20100224,NCI,10760,91006,Q,
20100225,NCI,72511,718936,Q,
20100226,NCI,70597,311317,Q,
20100301,NCI,30325,100247,Q,
20100302,NCI,40888,113149,Q,
20100303,NCI,21157,79202,Q,
20100304,NCI,84935,189832,Q,
20100305,NCI,30749,315095,Q,
20100308,NCI,22222,212691,Q,
20100309,NCI,23068,291676,Q,
20100310,NCI,11503,168060,Q,
20100311,NCI,20906,99683,Q,
20100312,NCI,22571,77494,Q,
20100315,NCI,57972,173200,Q,
20100316,NCI,8159,36308,Q,
20100317,NCI,47248,83498,Q,
20100318,NCI,22878,51963,Q,
20100319,NCI,23672,64258,Q,
20100322,NCI,16532,48126,Q,
20100323,NCI,52935,153333,Q,
20100324,NCI,36917,109602,Q,
20100325,NCI,60465,118276,Q,
20100326,NCI,16067,66109,Q,
20100329,NCI,23762,60216,Q,
20100330,NCI,15359,57324,Q,
20100331,NCI,31407,91453,Q,
20100401,NCI,14780,67180,Q,
20100405,NCI,26845,65884,Q,
20100406,NCI,22400,256804,Q,
20100407,NCI,18050,146973,Q,
20100408,NCI,4700,49650,Q,
20100409,NCI,13751,53243,Q,
20100412,NCI,8527,48035,Q,
20100413,NCI,10400,47518,Q,
20100414,NCI,23964,86199,Q,
20100415,NCI,18075,84711,Q,
20100416,NCI,42268,288588,Q,
20100419,NCI,50937,121280,Q,
20100420,NCI,12903,36925,Q,
20100421,NCI,37221,83192,Q,
20100422,NCI,29875,88405,Q,
20100423,NCI,37447,115245,Q,
20100426,NCI,14873,48346,Q,
20100427,NCI,20682,58476,Q,
20100428,NCI,20238,64291,Q,
20100429,NCI,63000,128555,Q,
20100430,NCI,137098,182912,Q,
20100503,NCI,24991,61145,Q,
20100504,NCI,48167,156025,Q,
20100510,NCI,16567,55106,Q,
20100511,NCI,29525,62094,Q,
20100512,NCI,22635,64861,Q,
20100513,NCI,21434,61432,Q,
20100517,NCI,15148,31577,Q,
20100518,NCI,6046,23547,Q,
20100519,NCI,17710,33419,Q,
20100520,NCI,24991,69878,Q,
20100521,NCI,14292,45706,Q,
20100524,NCI,6456,36106,Q,
20100525,NCI,9962,26957,Q,
20100526,NCI,11243,32446,Q,
20100527,NCI,21270,72177,Q,
20100528,NCI,7809,20110,Q,
20100601,NCI,9700,20854,Q,
20100602,NCI,13795,51236,Q,
20100603,NCI,9229,117030,Q,
20100604,NCI,15409,29874,Q,
20100607,NCI,13013,35117,Q,
20100608,NCI,31888,66741,Q,
20100609,NCI,28185,72704,Q,
20100610,NCI,23499,71302,Q,
20100611,NCI,15125,43236,Q,
20100614,NCI,4500,13914,Q,
20100615,NCI,23146,75836,Q,
20100616,NCI,23160,90958,Q,
20100617,NCI,32200,123644,Q,
20100618,NCI,8389,14374,Q,
20100621,NCI,33634,45809,Q,
20100622,NCI,3383,11141,Q,
20100623,NCI,8557,16284,Q,
20100624,NCI,8662,29029,Q,
20100625,NCI,10728,26657,Q,
20100628,NCI,7855,31829,Q,
20100629,NCI,12929,37855,Q,
20100630,NCI,10959,32069,Q,
20100701,NCI,17175,52026,Q,
20100702,NCI,8478,37068,Q,
20100706,NCI,8640,34710,Q,
20100707,NCI,7840,692425,Q,
20100708,NCI,7555,289271,Q,
20100709,NCI,4124,224626,Q,
20110804,NCI,8053,18540,,0.0
