,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NCTY,5331,18033,Q,
20100105,NCTY,11084,47343,Q,
20100106,NCTY,18575,57759,Q,
20100107,NCTY,15651,68664,Q,
20100108,NCTY,16615,54573,Q,
20100111,NCTY,15025,46387,Q,
20100112,NCTY,30260,45309,Q,
20100113,NCTY,23000,45039,Q,
20100114,NCTY,5106,17151,Q,
20100115,NCTY,21568,74513,Q,
20100119,NCTY,12834,44034,Q,
20100120,NCTY,18056,35532,Q,
20100121,NCTY,18680,37091,Q,
20100122,NCTY,4431,15453,Q,
20100125,NCTY,21753,52929,Q,
20100126,NCTY,12903,22903,Q,
20100127,NCTY,16400,90133,Q,
20100128,NCTY,5600,16597,Q,
20100129,NCTY,5850,33528,Q,
20100201,NCTY,14130,36605,Q,
20100202,NCTY,8129,23799,Q,
20100203,NCTY,2200,14206,Q,
20100204,NCTY,8900,18047,Q,
20100205,NCTY,2240,11043,Q,
20100208,NCTY,900,12690,Q,
20100209,NCTY,4950,32838,Q,
20100210,NCTY,5885,35722,Q,
20100211,NCTY,4803,21833,Q,
20100212,NCTY,3315,9670,Q,
20100216,NCTY,3247,19076,Q,
20100217,NCTY,1950,10787,Q,
20100218,NCTY,1900,7850,Q,
20100219,NCTY,2850,10058,Q,
20100222,NCTY,4900,12150,Q,
20100223,NCTY,5190,7847,Q,
20100224,NCTY,11010,32838,Q,
20100225,NCTY,5047,14991,Q,
20100226,NCTY,6455,13163,Q,
20100301,NCTY,3020,5769,Q,
20100302,NCTY,2335,6245,Q,
20100303,NCTY,6464,12758,Q,
20100304,NCTY,10901,15238,Q,
20100305,NCTY,8900,17900,Q,
20100308,NCTY,3800,32322,Q,
20100309,NCTY,1800,26972,Q,
20100311,NCTY,1900,26682,Q,
20100312,NCTY,800,4150,Q,
20100315,NCTY,1793,4937,Q,
20100316,NCTY,5622,10763,Q,
20100317,NCTY,3500,9845,Q,
20100318,NCTY,6300,8200,Q,
20100319,NCTY,7300,14850,Q,
20100322,NCTY,1728,9942,Q,
20100323,NCTY,5700,12770,Q,
20100324,NCTY,5256,14276,Q,
20100325,NCTY,706,6456,Q,
20100326,NCTY,1110,11110,Q,
20100329,NCTY,5831,16364,Q,
20100330,NCTY,8228,13555,Q,
20100331,NCTY,16500,22983,Q,
20100401,NCTY,10400,19699,Q,
20100405,NCTY,19356,27467,Q,
20100406,NCTY,4417,16240,Q,
20100407,NCTY,1700,15079,Q,
20100408,NCTY,300,9102,Q,
20100409,NCTY,1680,6630,Q,
20100412,NCTY,2130,8030,Q,
20100413,NCTY,600,9360,Q,
20100414,NCTY,2991,26395,Q,
20100415,NCTY,2415,19517,Q,
20100416,NCTY,2391,29715,Q,
20100419,NCTY,8562,31929,Q,
20100420,NCTY,6083,34456,Q,
20100421,NCTY,1000,9600,Q,
20100422,NCTY,3800,14050,Q,
20100423,NCTY,6098,58528,Q,
20100426,NCTY,3600,17640,Q,
20100427,NCTY,600,14700,Q,
20100428,NCTY,3045,24142,Q,
20100429,NCTY,6400,34907,Q,
20100430,NCTY,3892,21930,Q,
20100503,NCTY,6600,32771,Q,
20100504,NCTY,18761,44969,Q,
20100510,NCTY,3550,25756,Q,
20100511,NCTY,13519,42685,Q,
20100512,NCTY,15084,36034,Q,
20100513,NCTY,5300,18729,Q,
20100517,NCTY,3630,45139,Q,
20100518,NCTY,15067,58696,Q,
20100519,NCTY,17092,73179,Q,
20100520,NCTY,44678,136487,Q,
20100521,NCTY,11860,159498,Q,
20100524,NCTY,3200,16350,Q,
20100525,NCTY,4839,24699,Q,
20100526,NCTY,4411,21016,Q,
20100527,NCTY,3767,36670,Q,
20100528,NCTY,2850,23731,Q,
20100601,NCTY,9500,28122,Q,
20100602,NCTY,3879,33475,Q,
20100603,NCTY,300,11010,Q,
20100604,NCTY,8316,29551,Q,
20100607,NCTY,27793,91555,Q,
20100608,NCTY,78212,121751,Q,
20100609,NCTY,48443,76203,Q,
20100610,NCTY,42400,66368,Q,
20100611,NCTY,79399,123274,Q,
20100614,NCTY,103317,150244,Q,
20100615,NCTY,93905,131221,Q,
20100616,NCTY,79676,112908,Q,
20100617,NCTY,48459,77574,Q,
20100618,NCTY,27300,69382,Q,
20100621,NCTY,80524,152604,Q,
20100622,NCTY,87604,190988,Q,
20100623,NCTY,13954,64865,Q,
20100624,NCTY,11603,44203,Q,
20100625,NCTY,11593,37823,Q,
20100628,NCTY,4026,16775,Q,
20100629,NCTY,5600,32325,Q,
20100630,NCTY,2771,21923,Q,
20100701,NCTY,5500,21915,Q,
20100702,NCTY,9511,31281,Q,
20100706,NCTY,20230,58337,Q,
20100707,NCTY,5100,20858,Q,
20100708,NCTY,18052,42327,Q,
20100709,NCTY,35140,81472,Q,
