,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NE,301966,874581,Q,
20100105,NE,346266,1110112,Q,
20100106,NE,670540,1405108,Q,
20100107,NE,360082,825548,Q,
20100108,NE,249965,796682,Q,
20100111,NE,210422,588923,Q,
20100112,NE,489527,1077804,Q,
20100113,NE,176022,518111,Q,
20100114,NE,137427,353546,Q,
20100115,NE,259245,686632,Q,
20100119,NE,147893,772290,Q,
20100120,NE,271487,1102354,Q,
20100121,NE,299748,729220,Q,
20100122,NE,232866,688202,Q,
20100125,NE,264250,755466,Q,
20100126,NE,267474,678354,Q,
20100127,NE,553793,1150799,Q,
20100128,NE,532510,1361050,Q,
20100129,NE,521395,1271655,Q,
20100201,NE,238977,700629,Q,
20100202,NE,269382,727492,Q,
20100203,NE,220575,558782,Q,
20100204,NE,257107,1058707,Q,
20100205,NE,242153,949616,Q,
20100208,NE,169083,623124,Q,
20100209,NE,408025,1119584,Q,
20100210,NE,370913,1009545,Q,
20100211,NE,273374,757132,Q,
20100212,NE,184155,628673,Q,
20100216,NE,423958,1322684,Q,
20100217,NE,176297,758844,Q,
20100218,NE,328158,1158956,Q,
20100219,NE,362670,1527445,Q,
20100222,NE,254250,578593,Q,
20100223,NE,332975,1321837,Q,
20100224,NE,353037,652563,Q,
20100225,NE,230844,752271,Q,
20100226,NE,179530,702311,Q,
20100301,NE,299218,817541,Q,
20100302,NE,335689,929528,Q,
20100303,NE,250665,621614,Q,
20100304,NE,123993,464176,Q,
20100305,NE,193002,565035,Q,
20100308,NE,153899,417361,Q,
20100309,NE,168671,488752,Q,
20100310,NE,248893,953108,Q,
20100311,NE,430866,854065,Q,
20100312,NE,150299,772299,Q,
20100315,NE,196304,735005,Q,
20100316,NE,259035,783097,Q,
20100317,NE,377472,1111091,Q,
20100318,NE,367007,1146185,Q,
20100319,NE,310254,1502198,Q,
20100322,NE,178712,1508411,Q,
20100323,NE,405270,1950816,Q,
20100324,NE,401104,1532995,Q,
20100325,NE,276011,1148014,Q,
20100326,NE,235995,1041975,Q,
20100329,NE,282910,908742,Q,
20100330,NE,289625,929529,Q,
20100331,NE,452885,1316880,Q,
20100401,NE,291812,1405642,Q,
20100405,NE,154069,632138,Q,
20100406,NE,144983,487566,Q,
20100407,NE,271451,1025227,Q,
20100408,NE,363013,1358285,Q,
20100409,NE,448694,1095289,Q,
20100412,NE,171587,505485,Q,
20100413,NE,323243,943432,Q,
20100414,NE,313320,1201815,Q,
20100415,NE,845651,1984826,Q,
20100416,NE,475685,1767522,Q,
20100419,NE,431243,1226168,Q,
20100420,NE,224837,1195661,Q,
20100421,NE,258506,1194305,Q,
20100422,NE,460890,1382114,Q,
20100423,NE,374109,1374868,Q,
20100426,NE,337631,987495,Q,
20100427,NE,420409,1116332,Q,
20100428,NE,377189,755654,Q,
20100429,NE,602450,2180558,Q,
20100430,NE,988827,3687091,Q,
20100503,NE,543430,2376749,Q,
20100504,NE,445845,1256807,Q,
20100510,NE,280834,1330036,Q,
20100511,NE,290813,1311436,Q,
20100512,NE,237545,916123,Q,
20100513,NE,585082,1653174,Q,
20100517,NE,327452,1544851,Q,
20100518,NE,404424,1669357,Q,
20100519,NE,443190,2065993,Q,
20100520,NE,520157,2529675,Q,
20100521,NE,522665,2265893,Q,
20100524,NE,553182,1955822,Q,
20100525,NE,948831,3088318,Q,
20100526,NE,1151108,2973535,Q,
20100527,NE,1342253,3792743,Q,
20100528,NE,1401239,6224879,Q,
20100601,NE,972158,4300455,Q,
20100602,NE,864076,2725771,Q,
20100603,NE,961533,3980216,Q,
20100604,NE,779055,2824235,Q,
20100607,NE,471603,1908896,Q,
20100608,NE,1101171,4889469,Q,
20100609,NE,881336,2575294,Q,
20100610,NE,524553,2164819,Q,
20100611,NE,626449,1597570,Q,
20100614,NE,936550,2049591,Q,
20100615,NE,956466,2231423,Q,
20100616,NE,2056016,5848743,Q,
20100617,NE,482707,1084919,Q,
20100618,NE,663442,1552653,Q,
20100621,NE,544905,1378353,Q,
20100622,NE,1207425,4088262,Q,
20100623,NE,684941,2188344,Q,
20100624,NE,982003,2077092,Q,
20100625,NE,1141748,2592051,Q,
20100628,NE,1048548,2724893,Q,
20100629,NE,931498,1986381,Q,
20100630,NE,1800595,3554469,Q,
20100701,NE,1843851,3865181,Q,
20100702,NE,859654,1647012,Q,
20100706,NE,994646,2543385,Q,
20100707,NE,326602,1306445,Q,
20100708,NE,607542,1536317,Q,
20100709,NE,644286,1884582,Q,
20110804,NE,447903,1268833,,2600.0
