,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,NEBS,200,1670,Q,
20100107,NEBS,600,4320,Q,
20100111,NEBS,200,1500,Q,
20100112,NEBS,870,1270,Q,
20100114,NEBS,1000,1000,Q,
20100115,NEBS,200,1200,Q,
20100119,NEBS,1585,1585,Q,
20100120,NEBS,800,1000,Q,
20100121,NEBS,1866,3166,Q,
20100122,NEBS,1200,1800,Q,
20100125,NEBS,1700,10793,Q,
20100128,NEBS,2595,6995,Q,
20100129,NEBS,1000,18000,Q,
20100201,NEBS,1100,1527,Q,
20100202,NEBS,500,3439,Q,
20100203,NEBS,3320,3320,Q,
20100204,NEBS,200,1700,Q,
20100209,NEBS,1098,1198,Q,
20100210,NEBS,600,700,Q,
20100222,NEBS,300,1300,Q,
20100301,NEBS,462,662,Q,
20100302,NEBS,600,800,Q,
20100312,NEBS,700,1250,Q,
20100315,NEBS,400,1200,Q,
20100316,NEBS,200,628,Q,
20100318,NEBS,611,1411,Q,
20100319,NEBS,100,396,Q,
20100331,NEBS,268,1268,Q,
20100401,NEBS,1000,1500,Q,
20100405,NEBS,800,1100,Q,
20100406,NEBS,432,932,Q,
20100409,NEBS,739,1046,Q,
20100412,NEBS,1100,1500,Q,
20100415,NEBS,500,25500,Q,
20100416,NEBS,100,200,Q,
20100419,NEBS,1100,3451,Q,
20100420,NEBS,950,950,Q,
20100422,NEBS,300,1600,Q,
20100427,NEBS,100,200,Q,
20100503,NEBS,100,400,Q,
20100511,NEBS,160,564,Q,
20100513,NEBS,100,600,Q,
20100521,NEBS,500,1000,Q,
20100527,NEBS,430,430,Q,
20100603,NEBS,500,1707,Q,
20100604,NEBS,400,1423,Q,
20100625,NEBS,200,200,Q,
